85.217.149.25    #AS209334  85.217.149.0/24    NL   MODAT-01 - Modat B.V., NL
115.189.182.232  #AS4771    115.189.176.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.186.113  #AS4771    115.189.176.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.224.185  #AS4771    115.189.224.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.230.115  #AS4771    115.189.224.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.235.2    #AS4771    115.189.224.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.243.61   #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
115.189.248.140  #AS4771    115.189.240.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
116.91.219.49    #AS14593   116.91.218.0/23    US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
122.56.103.138   #AS4648    122.56.103.0/24    NZ   SPARK-NZ - Global-Gateway Internet, NZ
122.56.106.226   #AS4648    122.56.106.0/24    NZ   SPARK-NZ - Global-Gateway Internet, NZ
122.58.207.26    #AS4771    122.58.200.0/21    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
122.63.3.122     #AS4771    122.63.0.0/20      NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
122.63.18.59     #AS4771    122.63.16.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
122.63.22.108    #AS4771    122.63.16.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
122.63.22.137    #AS4771    122.63.16.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
122.63.22.176    #AS4771    122.63.16.0/20     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
125.236.203.181  #AS4771    125.236.192.0/19   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
125.236.211.143  #AS4771    125.236.192.0/19   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
125.236.213.184  #AS4771    125.236.192.0/19   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
125.236.225.157  #AS4771    125.236.224.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
125.236.229.202  #AS4771    125.236.224.0/20   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
125.238.120.108  #AS4771    125.238.120.0/21   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
150.228.155.55   #AS14593   150.228.154.0/23   US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
150.228.155.62   #AS14593   150.228.154.0/23   US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
150.228.155.229  #AS14593   150.228.154.0/23   US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
150.228.155.232  #AS14593   150.228.154.0/23   US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
150.228.191.172  #AS14593   150.228.190.0/23   US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
150.228.229.14   #AS14593   150.228.228.0/23   US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
150.228.229.49   #AS14593   150.228.228.0/23   US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
150.228.229.162  #AS14593   150.228.228.0/23   US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
152.32.235.160   #AS135377  152.32.235.0/24    HK   UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
206.83.98.75     #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.98.123    #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.98.151    #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.99.7      #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.99.96     #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.99.160    #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.99.213    #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.99.216    #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.102.42    #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.102.46    #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.102.63    #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.102.149   #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.102.216   #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.102.240   #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.102.255   #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.103.117   #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.103.251   #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
206.83.103.253   #AS14593   206.83.96.0/21     US   SPACEX-STARLINK - Space Exploration Technologies Corporation, US
210.54.66.70     #AS4771    210.54.64.0/22     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
210.54.75.66     #AS4771    210.54.72.0/22     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
210.54.101.98    #AS4771    210.54.100.0/22    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
210.54.102.222   #AS4771    210.54.100.0/22    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
210.54.102.232   #AS4771    210.54.100.0/22    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
210.54.102.236   #AS4771    210.54.100.0/22    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
219.88.70.119    #AS4771    219.88.64.0/21     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
219.88.73.59     #AS4771    219.88.72.0/21     NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
219.88.101.223   #AS4771    219.88.101.0/24    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
219.89.112.232   #AS4771    219.89.112.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
219.89.114.14    #AS4771    219.89.112.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
219.89.120.100   #AS4771    219.89.112.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
219.89.127.62    #AS4771    219.89.112.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
219.89.195.243   #AS4771    219.89.192.0/20    NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
222.154.233.97   #AS4771    222.154.224.0/19   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
222.154.250.14   #AS4771    222.154.224.0/19   NZ   SPARKNZ - Spark New Zealand Trading Ltd., NZ
