1.178.141.160    #AS12975   1.178.128.0/20     PS   PALTEL-AS - Palestine Telecommunications Company (PALTEL), PS
20.219.49.21     #AS8075    20.192.0.0/10      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.220.167.104   #AS8075    20.192.0.0/10      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.226.32.175    #AS8075    20.192.0.0/10      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.226.60.146    #AS8075    20.192.0.0/10      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.226.62.44     #AS8075    20.192.0.0/10      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.226.80.139    #AS8075    20.192.0.0/10      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.234.103.94    #AS8075    20.192.0.0/10      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.253.66.44     #AS8075    20.192.0.0/10      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
23.27.244.95     #AS149440  23.27.244.0/24     US   EVOXTSDNBHD-AS-AP - Evoxt Sdn. Bhd., MY
23.95.25.133     #AS36352   23.95.25.0/24      US   AS-COLOCROSSING - HostPapa, US
23.172.217.77    #AS400992  23.172.217.0/24    US   ZHOUYISAT-COMMUNICATIONS - ZhouyiSat Communications, US
24.149.4.211     #AS13855   24.149.0.0/19      US   CFU-NET - The Municipal Communications Utility of the City of Cedar Falls, Iowa, US
31.57.38.244     #AS399486  31.57.38.0/24      AE   VIRTUO - 12651980 CANADA INC., CA
31.70.105.53     #AS8560    31.70.64.0/18      DE   IONOS-AS - IONOS SE, DE
31.70.105.54     #AS8560    31.70.64.0/18      DE   IONOS-AS - IONOS SE, DE
31.76.29.132     #AS215439  31.76.29.0/24      US   PLAY2GO-NET - PLAY2GO INTERNATIONAL LIMITED, GB
31.129.55.212    #AS49505   31.129.52.0/22     RU   SELECTEL - JSC Selectel, RU
31.148.99.199    #AS212913  31.148.99.0/24     CZ   TIMEHOST-AS - TIME-HOST LTD, GB
34.11.73.195     #AS396982  34.11.0.0/17       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.14.118.8      #AS396982  34.14.0.0/17       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.14.152.150    #AS396982  34.14.128.0/18     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.22.45.101     #AS396982  34.22.32.0/19      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.34.103.195    #AS396982  34.34.0.0/17       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.34.157.193    #AS396982  34.34.128.0/18     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.38.14.96      #AS396982  34.38.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.38.70.43      #AS396982  34.38.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.38.136.82     #AS396982  34.38.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.38.186.39     #AS396982  34.38.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.38.189.160    #AS396982  34.38.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.39.120.233    #AS396982  34.39.0.0/17       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.52.135.45     #AS396982  34.52.128.0/17     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.53.180.72     #AS396982  34.53.128.0/17     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.53.185.111    #AS396982  34.53.128.0/17     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.57.229.233    #AS396982  34.57.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.62.96.32      #AS396982  34.62.0.0/17       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.62.116.52     #AS396982  34.62.0.0/17       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.62.146.180    #AS396982  34.62.128.0/17     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.76.20.197     #AS396982  34.76.16.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.76.60.10      #AS396982  34.76.48.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.76.139.232    #AS396982  34.76.128.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.76.212.127    #AS396982  34.76.208.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.77.12.145     #AS396982  34.77.0.0/20       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.77.236.26     #AS396982  34.77.224.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.78.89.92      #AS396982  34.78.80.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.79.202.17     #AS396982  34.79.192.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.80.132.201    #AS396982  34.80.128.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.81.97.117     #AS396982  34.81.96.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.87.202.175    #AS396982  34.87.192.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.97.251.95     #AS396982  34.97.240.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.100.191.56    #AS396982  34.100.176.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.128.104.146   #AS396982  34.128.96.0/19     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.129.174.15    #AS396982  34.129.160.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.138.177.92    #AS396982  34.138.176.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.140.53.82     #AS396982  34.140.48.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.140.87.116    #AS396982  34.140.80.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.140.152.219   #AS396982  34.140.144.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.142.183.143   #AS396982  34.142.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.143.245.163   #AS396982  34.143.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.148.253.79    #AS396982  34.148.240.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.156.36.2      #AS396982  34.156.0.0/17      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.156.76.173    #AS396982  34.156.0.0/17      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.156.77.9      #AS396982  34.156.0.0/17      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.156.105.212   #AS396982  34.156.0.0/17      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.156.129.119   #AS396982  34.156.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.156.130.180   #AS396982  34.156.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.156.168.216   #AS396982  34.156.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.156.182.50    #AS396982  34.156.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.181.207.68    #AS396982  34.181.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.186.56.172    #AS396982  34.186.32.0/19     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.197.70.90     #AS14618   34.192.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
34.228.104.231   #AS14618   34.224.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
35.185.11.194    #AS396982  35.185.0.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.187.23.170    #AS396982  35.187.16.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.187.118.182   #AS396982  35.187.112.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.189.213.181   #AS396982  35.189.208.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.195.81.193    #AS396982  35.195.80.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.195.183.140   #AS396982  35.195.176.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.195.212.12    #AS396982  35.195.208.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.198.139.161   #AS396982  35.198.128.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.205.198.64    #AS396982  35.205.192.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.205.202.199   #AS396982  35.205.192.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.233.59.19     #AS396982  35.233.0.0/17      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.237.240.142   #AS396982  35.237.0.0/16      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.240.15.136    #AS396982  35.240.0.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.240.97.62     #AS396982  35.240.96.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.241.240.80    #AS396982  35.241.240.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.252.232.194   #AS396982  35.252.128.0/17    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
36.38.56.82      #AS9770    36.38.56.0/24      KR   SPEEDONSTV-AS-KR-KR - LG HelloVision Corp., KR
36.103.177.191   #AS134761  36.103.176.0/20    CN   CHINANET-NINGXIA-ZHONGWEI-IDC - CHINANET NINGXIA province ZHONGWEI IDC network, CN
36.255.33.115    #AS9541    36.255.33.0/24     PK   CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK
37.120.213.13    #AS9009    37.120.213.0/24    RO   M247 - M247 Europe SRL, RO
38.76.165.207    #AS401701  38.76.164.0/22     US   COGNETCLOUD-2 - cognetcloud INC, US
38.76.182.117    #AS401701  38.76.180.0/22     US   COGNETCLOUD-2 - cognetcloud INC, US
39.3.101.210     #AS4725    39.3.0.0/16        JP   ODN - SoftBank Corp., JP
39.104.164.200   #AS37963   39.104.0.0/15      CN   ALIBABA-CN-NET - Hangzhou Alibaba Advertising Co.,Ltd., CN
40.75.94.154     #AS8075    40.74.0.0/15       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.76.137.103    #AS8075    40.76.0.0/14       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.76.140.215    #AS8075    40.76.0.0/14       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.80.207.25     #AS8075    40.80.0.0/12       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.116.93.52     #AS8075    40.112.0.0/13      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.119.41.182    #AS8075    40.112.0.0/13      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.114.161   #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
