40.76.117.18     #AS8075    40.76.0.0/14       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.76.250.51     #AS8075    40.76.0.0/14       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.174.148   #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.175.16    #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.175.29    #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.186.101   #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
44.201.107.251   #AS14618   44.192.0.0/11      US   AMAZON-AES - Amazon.com, Inc., US
44.201.252.11    #AS14618   44.192.0.0/11      US   AMAZON-AES - Amazon.com, Inc., US
44.212.74.78     #AS14618   44.192.0.0/11      US   AMAZON-AES - Amazon.com, Inc., US
45.33.105.76     #AS63949   45.33.104.0/21     US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
45.142.154.10    #AS9465    45.142.154.0/24    HK   AGOTOZPTELTD-AS-AP - AGOTOZ PTE. LTD., SG
45.156.128.52    #AS211680  45.156.128.0/24    PT   #AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
46.105.132.35    #AS16276   46.105.0.0/16      FR   OVH - OVH SAS, FR
47.50.126.213    #AS20115   47.50.64.0/18      US   CHARTER-20115 - Charter Communications LLC, US
47.81.39.232     #AS45102   47.81.32.0/19      US   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
47.86.47.175     #AS45102   47.86.0.0/17       US   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
47.245.141.179   #AS45102   47.245.128.0/18    US   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
47.250.135.69    #AS45102   47.250.128.0/18    US   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
48.214.144.31    #AS8075    48.208.0.0/13      GB   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
48.217.84.135    #AS8075    48.216.0.0/14      GB   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.15.78.252     #AS16509   52.15.64.0/18      US   AMAZON-02 - Amazon.com, Inc., US
52.20.198.190    #AS14618   52.20.0.0/14       US   AMAZON-AES - Amazon.com, Inc., US
52.91.27.64      #AS14618   52.90.0.0/15       US   AMAZON-AES - Amazon.com, Inc., US
52.146.90.191    #AS8075    52.146.0.0/15      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.180.137.14    #AS8075    52.160.0.0/11      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.180.157.88    #AS8075    52.160.0.0/11      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
52.206.216.57    #AS14618   52.200.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
52.207.215.86    #AS14618   52.200.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
52.231.164.86    #AS8075    52.224.0.0/11      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
54.81.128.62     #AS14618   54.80.0.0/14       US   AMAZON-AES - Amazon.com, Inc., US
54.89.101.241    #AS14618   54.89.0.0/16       US   AMAZON-AES - Amazon.com, Inc., US
54.146.156.132   #AS14618   54.144.0.0/14      US   AMAZON-AES - Amazon.com, Inc., US
54.163.40.36     #AS14618   54.160.0.0/14      US   AMAZON-AES - Amazon.com, Inc., US
54.167.96.173    #AS14618   54.167.0.0/17      US   AMAZON-AES - Amazon.com, Inc., US
54.172.133.72    #AS14618   54.172.0.0/15      US   AMAZON-AES - Amazon.com, Inc., US
54.173.13.198    #AS14618   54.172.0.0/15      US   AMAZON-AES - Amazon.com, Inc., US
54.175.31.44     #AS14618   54.174.0.0/15      US   AMAZON-AES - Amazon.com, Inc., US
54.175.149.14    #AS14618   54.174.0.0/15      US   AMAZON-AES - Amazon.com, Inc., US
