20.163.58.244    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.11.76     #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.116.235   #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.117.5     #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.122.55    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.169.49.49     #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.169.50.176    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.171.10.121    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.171.10.210    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
23.92.26.16      #AS63949   23.92.24.0/22      US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
23.92.26.21      #AS63949   23.92.24.0/22      US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
23.92.27.179     #AS63949   23.92.24.0/22      US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
23.238.46.196    #AS36352   23.238.46.0/24     US   AS-COLOCROSSING - HostPapa, US
24.199.91.49     #AS14061   24.199.80.0/20     US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
31.40.19.93      #AS197131  31.40.16.0/22      UA   ASCATNET - Ketnet Telecom Ltd, UA
31.59.40.122     #AS56971   31.59.40.0/24      AE   AS56971 - CGI GLOBAL LIMITED, HK
31.76.20.19      #AS215439  31.76.20.0/24      US   PLAY2GO-NET - PLAY2GO INTERNATIONAL LIMITED, GB
34.13.52.219     #AS396982  34.13.0.0/18       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.24.93.12      #AS396982  34.24.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.39.228.216    #AS396982  34.39.128.0/17     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.60.254.210    #AS396982  34.60.0.0/16       US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.64.142.188    #AS396982  34.64.136.0/21     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.65.143.203    #AS396982  34.65.128.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.75.150.242    #AS396982  34.75.144.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.79.217.49     #AS396982  34.79.208.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.91.30.173     #AS396982  34.91.16.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.97.137.167    #AS396982  34.97.128.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.140.92.235    #AS396982  34.140.80.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.141.149.16    #AS396982  34.141.144.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.147.210.58    #AS396982  34.147.208.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.168.69.118    #AS396982  34.168.0.0/17      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.230.221.101   #AS14618   34.224.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
36.255.33.254    #AS9541    36.255.33.0/24     PK   CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK
38.99.239.208    #AS398991  38.99.239.0/24     US   X99-US - X99, US
40.76.101.196    #AS8075    40.76.0.0/14       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.76.120.183    #AS8075    40.76.0.0/14       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.84.194    #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.121.48    #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.121.219   #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
42.229.223.120   #AS4837    42.224.0.0/12      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
43.98.180.213    #AS45102   43.98.128.0/17     SG   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
43.153.88.198    #AS132203  43.153.64.0/18     SG   TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN
44.215.219.236   #AS14618   44.192.0.0/11      US   AMAZON-AES - Amazon.com, Inc., US
45.12.221.26     #AS9009    45.12.221.0/24     RO   M247 - M247 Europe SRL, RO
45.33.41.118     #AS63949   45.33.32.0/19      US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
45.33.52.85      #AS63949   45.33.32.0/19      US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
45.43.55.8       #AS135377  45.43.55.0/24      US   UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
45.43.60.133     #AS135377  45.43.60.0/24      US   UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
45.56.83.247     #AS63949   45.56.80.0/20      US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
45.79.109.236    #AS63949   45.79.96.0/20      US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
45.79.130.153    #AS63949   45.79.128.0/19     US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
45.79.177.245    #AS63949   45.79.176.0/20     US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
45.79.190.10     #AS63949   45.79.176.0/20     US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
45.82.76.107     #AS212512  45.82.76.0/24      DE   DETAI - Detai Prosperous Technologies Limited, GB
45.82.76.125     #AS212512  45.82.76.0/24      DE   DETAI - Detai Prosperous Technologies Limited, GB
45.91.64.6       #AS214664  45.91.64.0/24      RU   Buduschee - JSC Buduschee, RU
45.133.173.85    #AS25369   45.133.173.0/24    AE   BANDWIDTH-AS - Hydra Communications Ltd, GB
45.133.173.168   #AS25369   45.133.173.0/24    AE   BANDWIDTH-AS - Hydra Communications Ltd, GB
45.135.193.159   #AS51396   45.135.193.0/24    DE   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
45.135.194.113   #AS51396   45.135.194.0/24    DE   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
45.138.12.14     #AS218785  45.138.12.0/24     LT   TC-DATACENTER - TC DATACENTER LIMITED, HK
45.142.193.169   #AS214295  45.142.193.0/24    RO   SKYNET - SKYNET NETWORK LTD, GB
45.148.10.95     #AS48090   45.148.10.0/24     RO   DMZHOST - TECHOFF SRV LIMITED, GB
45.148.10.175    #AS48090   45.148.10.0/24     RO   DMZHOST - TECHOFF SRV LIMITED, GB
45.156.128.13    #AS211680  45.156.128.0/24    PT   AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
45.156.128.41    #AS211680  45.156.128.0/24    PT   AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
45.156.128.73    #AS211680  45.156.128.0/24    PT   #AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
45.156.128.79    #AS211680  45.156.128.0/24    PT   #AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
45.156.128.126   #AS211680  45.156.128.0/24    PT   AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
45.156.129.46    #AS211680  45.156.129.0/24    PT   AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
45.156.129.130   #AS211680  45.156.129.0/24    PT   #AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
45.156.129.131   #AS211680  45.156.129.0/24    PT   AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
45.156.129.133   #AS211680  45.156.129.0/24    PT   #AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
45.156.129.134   #AS211680  45.156.129.0/24    PT   AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
45.156.129.135   #AS211680  45.156.129.0/24    PT   #AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
45.156.129.171   #AS211680  45.156.129.0/24    PT   AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
