AS6939     IP: 184.105.247.244   PREFIX: 184.104.0.0/15       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 184.105.247.246   PREFIX: 184.104.0.0/15       CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 216.218.206.81    PREFIX: 216.218.128.0/17     CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 216.218.206.84    PREFIX: 216.218.128.0/17     CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 216.218.206.88    PREFIX: 216.218.128.0/17     CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 216.218.206.91    PREFIX: 216.218.128.0/17     CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 216.218.206.118   PREFIX: 216.218.128.0/17     CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS6939     IP: 216.218.206.120   PREFIX: 216.218.128.0/17     CC: US  DESC: HURRICANE - Hurricane Electric LLC, US
AS8075     IP: 20.14.95.138      PREFIX: 20.0.0.0/11          CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.40.250.17      PREFIX: 20.40.0.0/13         CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.46.251.132     PREFIX: 20.40.0.0/13         CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.55.3.241       PREFIX: 20.48.0.0/12         CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.64.105.245     PREFIX: 20.64.0.0/10         CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.65.193.201     PREFIX: 20.64.0.0/10         CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.65.194.16      PREFIX: 20.64.0.0/10         CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.65.194.142     PREFIX: 20.64.0.0/10         CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.65.195.37      PREFIX: 20.64.0.0/10         CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.65.201.33      PREFIX: 20.64.0.0/10         CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.83.49.34       PREFIX: 20.64.0.0/10         CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.84.58.231      PREFIX: 20.64.0.0/10         CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.118.227.29     PREFIX: 20.64.0.0/10         CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.127.202.120    PREFIX: 20.64.0.0/10         CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.163.34.54      PREFIX: 20.160.0.0/12        CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.168.0.134      PREFIX: 20.160.0.0/12        CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.168.6.79       PREFIX: 20.160.0.0/12        CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.168.13.44      PREFIX: 20.160.0.0/12        CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.168.123.252    PREFIX: 20.160.0.0/12        CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.169.107.210    PREFIX: 20.160.0.0/12        CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 20.221.72.241     PREFIX: 20.192.0.0/10        CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 40.80.201.49      PREFIX: 40.80.0.0/12         CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 40.124.185.206    PREFIX: 40.124.0.0/16        CC: US  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 130.131.161.148   PREFIX: 130.131.0.0/16       CC: GB  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 135.222.40.118    PREFIX: 135.222.0.0/16       CC: GB  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 135.237.125.213   PREFIX: 135.236.0.0/15       CC: GB  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 135.237.126.41    PREFIX: 135.236.0.0/15       CC: GB  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 135.237.126.72    PREFIX: 135.236.0.0/15       CC: GB  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 135.237.126.205   PREFIX: 135.236.0.0/15       CC: GB  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 135.237.126.228   PREFIX: 135.236.0.0/15       CC: GB  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 172.202.117.124   PREFIX: 172.200.0.0/13       CC: GB  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS8075     IP: 172.202.117.170   PREFIX: 172.200.0.0/13       CC: GB  DESC: MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
AS9465     IP: 45.142.154.99     PREFIX: 45.142.154.0/24      CC: HK  DESC: AGOTOZPTELTD-AS-AP AGOTOZ PTE. LTD., SG
AS9808     IP: 120.232.150.70    PREFIX: 120.232.150.0/24     CC: CN  DESC: CHINAMOBILE-CN China Mobile Communications Group Co., Ltd., CN
AS14061    IP: 24.199.80.121     PREFIX: 24.199.80.0/20       CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 24.199.92.202     PREFIX: 24.199.80.0/20       CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 64.227.15.246     PREFIX: 64.227.0.0/20        CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 134.199.154.212   PREFIX: 134.199.144.0/20     CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 137.184.148.130   PREFIX: 137.184.144.0/20     CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 147.182.200.141   PREFIX: 147.182.192.0/20     CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
AS14061    IP: 157.230.251.67    PREFIX: 157.230.240.0/20     CC: US  DESC: DIGITALOCEAN-ASN - DigitalOcean, LLC, US
