36.229.223.222   #AS3462    36.229.0.0/16      TW   HINET - Data Communication Business Group, TW
36.229.228.36    #AS3462    36.229.0.0/16      TW   HINET - Data Communication Business Group, TW
36.232.115.220   #AS3462    36.232.0.0/16      TW   HINET - Data Communication Business Group, TW
36.232.214.101   #AS3462    36.232.0.0/16      TW   HINET - Data Communication Business Group, TW
36.232.220.45    #AS3462    36.232.0.0/16      TW   HINET - Data Communication Business Group, TW
36.233.227.24    #AS3462    36.233.0.0/16      TW   HINET - Data Communication Business Group, TW
36.233.237.11    #AS3462    36.233.0.0/16      TW   HINET - Data Communication Business Group, TW
36.234.12.7      #AS3462    36.234.0.0/16      TW   HINET - Data Communication Business Group, TW
36.234.64.140    #AS3462    36.234.0.0/16      TW   HINET - Data Communication Business Group, TW
36.234.207.156   #AS3462    36.234.0.0/16      TW   HINET - Data Communication Business Group, TW
36.234.224.63    #AS3462    36.234.0.0/16      TW   HINET - Data Communication Business Group, TW
36.234.226.125   #AS3462    36.234.0.0/16      TW   HINET - Data Communication Business Group, TW
36.234.229.54    #AS3462    36.234.0.0/16      TW   HINET - Data Communication Business Group, TW
36.234.243.185   #AS3462    36.234.0.0/16      TW   HINET - Data Communication Business Group, TW
36.235.154.74    #AS3462    36.235.0.0/16      TW   HINET - Data Communication Business Group, TW
36.235.156.146   #AS3462    36.235.0.0/16      TW   HINET - Data Communication Business Group, TW
36.235.171.67    #AS3462    36.235.0.0/16      TW   HINET - Data Communication Business Group, TW
36.236.225.181   #AS3462    36.236.0.0/16      TW   HINET - Data Communication Business Group, TW
36.236.248.245   #AS3462    36.236.0.0/16      TW   HINET - Data Communication Business Group, TW
36.237.77.46     #AS3462    36.237.0.0/16      TW   HINET - Data Communication Business Group, TW
36.239.10.99     #AS3462    36.239.0.0/16      TW   HINET - Data Communication Business Group, TW
36.239.79.98     #AS3462    36.239.0.0/16      TW   HINET - Data Communication Business Group, TW
37.44.238.68     #AS34534   37.44.238.0/24     FR   BULLIONET - FBW NETWORKS SAS, FR
38.181.1.1       #AS140227  38.181.1.0/24      US   HKCICL-AS-AP - Hong Kong Communications International Co., Limited, HK
39.67.66.164     #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
39.67.69.181     #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
39.71.167.96     #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
39.71.172.176    #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
39.72.214.99     #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
39.72.214.147    #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
39.73.139.90     #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
39.73.185.122    #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
39.73.187.13     #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
39.73.187.175    #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
39.81.130.52     #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
39.81.133.109    #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
39.82.2.6        #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
39.86.106.92     #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
39.86.107.24     #AS4837    39.64.0.0/11       CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
40.76.124.110    #AS8075    40.76.0.0/14       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.90.249.111    #AS8075    40.80.0.0/12       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
43.228.157.8     #AS205759  43.228.157.0/24    PK   GHOSTYNETWORKS - Ghosty Networks LLC, US
43.228.157.9     #AS205759  43.228.157.0/24    PK   GHOSTYNETWORKS - Ghosty Networks LLC, US
43.228.157.10    #AS205759  43.228.157.0/24    PK   GHOSTYNETWORKS - Ghosty Networks LLC, US
45.79.173.39     #AS63949   45.79.160.0/20     US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
45.79.190.10     #AS63949   45.79.176.0/20     US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
45.142.154.10    #AS9465    45.142.154.0/24    HK   AGOTOZPTELTD-AS-AP - AGOTOZ PTE. LTD., SG
45.153.34.7      #AS197170  45.153.34.0/24     DE   TECHTIES-AS - TechTies Inc., SC
45.156.128.59    #AS211680  45.156.128.0/24    PT   #AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
45.194.67.120    #AS215925  45.194.67.0/24     SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.194.92.58     #AS215925  45.194.92.0/24     SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.198.224.236   #AS215925  45.198.224.0/24    SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.198.224.246   #AS215925  45.198.224.0/24    SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.70      #AS215925  45.205.1.0/24      SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
47.89.225.161    #AS45102   47.89.224.0/19     US   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
47.251.93.165    #AS45102   47.251.0.0/17      US   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
47.251.93.227    #AS45102   47.251.0.0/17      US   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
49.143.190.168   #AS38684   49.143.190.0/24    KR   CMBDAEJEON-AS-KR-KR - CMB Daejeon Broadcasting Co,.Ltd, KR
49.236.120.180   #AS17858   49.236.96.0/19     KR   POWERVIS-AS-KR-KR - LG POWERCOMM, KR
52.73.169.169    #AS14618   52.72.0.0/15       US   AMAZON-AES - Amazon.com, Inc., US
57.152.33.247    #AS8075    57.152.0.0/14      GB   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
59.3.199.88      #AS4766    59.0.0.0/13        KR   KIXS-AS-KR-KR - Korea Telecom, KR
59.21.151.142    #AS4766    59.16.0.0/13       KR   KIXS-AS-KR-KR - Korea Telecom, KR
59.24.168.54     #AS4766    59.24.0.0/13       KR   KIXS-AS-KR-KR - Korea Telecom, KR
60.163.251.188   #AS4134    60.162.0.0/15      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.176.14.47     #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.176.55.106    #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.176.87.214    #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.176.147.137   #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.176.161.118   #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.176.232.30    #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.176.234.90    #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.177.71.161    #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.177.126.180   #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.177.191.162   #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.177.197.100   #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.177.202.141   #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.177.216.78    #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.177.231.215   #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.186.106.226   #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.186.108.26    #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.186.110.178   #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.188.222.144   #AS4134    60.176.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
60.211.33.90     #AS4837    60.208.0.0/13      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
60.213.60.18     #AS4837    60.208.0.0/13      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
60.215.208.19    #AS4837    60.208.0.0/13      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
61.39.208.232    #AS3786    61.32.0.0/13       KR   LGDACOM-KR - LG DACOM Corporation, KR
61.82.245.55     #AS4766    61.80.0.0/14       KR   KIXS-AS-KR-KR - Korea Telecom, KR
61.162.146.166   #AS4837    61.162.0.0/16      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
61.162.148.118   #AS4837    61.162.0.0/16      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
61.174.151.84    #AS4134    61.174.0.0/15      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
61.174.151.99    #AS4134    61.174.0.0/15      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
61.175.169.172   #AS4134    61.174.0.0/15      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
61.179.176.126   #AS4837    61.179.0.0/16      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
61.179.179.136   #AS4837    61.179.0.0/16      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
61.179.184.252   #AS4837    61.179.0.0/16      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
61.179.235.20    #AS4837    61.179.0.0/16      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
61.179.235.134   #AS4837    61.179.0.0/16      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
61.223.111.228   #AS3462    61.223.0.0/16      TW   HINET - Data Communication Business Group, TW
61.224.2.23      #AS3462    61.224.0.0/16      TW   HINET - Data Communication Business Group, TW
61.224.8.220     #AS3462    61.224.0.0/16      TW   HINET - Data Communication Business Group, TW
61.224.37.23     #AS3462    61.224.0.0/16      TW   HINET - Data Communication Business Group, TW
61.224.45.232    #AS3462    61.224.0.0/16      TW   HINET - Data Communication Business Group, TW
61.224.143.137   #AS3462    61.224.0.0/16      TW   HINET - Data Communication Business Group, TW
61.228.166.69    #AS3462    61.228.0.0/16      TW   HINET - Data Communication Business Group, TW
61.230.4.43      #AS3462    61.230.0.0/16      TW   HINET - Data Communication Business Group, TW
61.230.7.54      #AS3462    61.230.0.0/16      TW   HINET - Data Communication Business Group, TW
61.230.86.190    #AS3462    61.230.0.0/16      TW   HINET - Data Communication Business Group, TW
64.62.156.22     #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.99     #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.119    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.146    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.157    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.175    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.198    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.208    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.227.10.61     #AS14061   64.227.0.0/20      US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
65.49.1.43       #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.75       #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.125      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.137      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.168      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.181      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.182      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.230      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.20.72      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.20.80      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.20.88      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
66.132.172.132   #AS398324  66.132.172.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.172.143   #AS398324  66.132.172.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.172.228   #AS398324  66.132.172.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.172.230   #AS398324  66.132.172.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.166   #AS398324  66.132.186.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.211   #AS398324  66.132.186.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.242   #AS398324  66.132.186.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.195.45    #AS398324  66.132.195.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.195.53    #AS398324  66.132.195.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.195.54    #AS398324  66.132.195.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.195.120   #AS398324  66.132.195.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.224.16    #AS398324  66.132.224.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.224.19    #AS398324  66.132.224.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.224.20    #AS398324  66.132.224.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.175.212.77    #AS63949   66.175.208.0/21    US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
66.240.223.240   #AS10439   66.240.192.0/18    US   CARINET - CariNet, Inc., US
69.5.169.81      #AS25369   69.5.169.0/24      GB   BANDWIDTH-AS - Hydra Communications Ltd, GB
69.55.54.71      #AS14061   69.55.54.0/24      US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
71.6.199.65      #AS10439   71.6.128.0/17      US   CARINET - CariNet, Inc., US
