220.67.160.0/21 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.67.168.0/23 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.67.170.0/24 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.69.224.0/20 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
117.16.170.0/23 #AS18329 SMUC-AS Sangmyung University, KR
117.16.172.0/22 #AS18329 SMUC-AS Sangmyung University, KR
203.230.192.0/22 #AS18329 SMUC-AS Sangmyung University, KR
203.230.196.0/23 #AS18329 SMUC-AS Sangmyung University, KR
203.230.198.0/24 #AS18329 SMUC-AS Sangmyung University, KR
203.237.176.0/21 #AS18329 SMUC-AS Sangmyung University, KR
203.237.201.0/24 #AS18329 SMUC-AS Sangmyung University, KR
211.229.180.0/22 #AS18329 SMUC-AS Sangmyung University, KR
220.67.144.0/23 #AS18329 SMUC-AS Sangmyung University, KR
220.67.146.0/24 #AS18329 SMUC-AS Sangmyung University, KR
185.190.28.0/23 #AS12812 ASN-AUBNET AMERICAN UNIVERSITY of BEIRUT, LB
193.188.128.0/22 #AS12812 ASN-AUBNET AMERICAN UNIVERSITY of BEIRUT, LB
133.91.0.0/16 #AS23623 CHUO-U Chuo University, JP
137.37.0.0/16 #AS55282 SUNYCANTON-AS State University of New York College of Technology at Canton, US
103.37.48.0/22 #AS132905 ADDU-AS-AP Ateneo de Davao University, PH
160.129.0.0/16 #AS393529 VUMC Vanderbilt University Medical Center, US
8.27.78.0/24 #AS55209 HACKENSACKUMC Hackensack University Medical Center, US
24.38.86.0/24 #AS55209 HACKENSACKUMC Hackensack University Medical Center, US
198.148.152.0/23 #AS55209 HACKENSACKUMC Hackensack University Medical Center, US
103.126.36.0/22 #AS138462 RUET-AS-AP Rajshahi University of Engineering & Technology (RUET), BD
103.221.252.0/22 #AS135524 UNIVERSITYOFDHAKA-AS-AP university of dhaka, BD
211.225.30.0/23 #AS17856 KONYANG-AS Konyang University, KR
211.225.32.0/21 #AS17856 KONYANG-AS Konyang University, KR
220.83.237.0/24 #AS17856 KONYANG-AS Konyang University, KR
220.123.79.0/24 #AS17856 KONYANG-AS Konyang University, KR
220.123.126.0/23 #AS17856 KONYANG-AS Konyang University, KR
222.118.152.0/23 #AS17856 KONYANG-AS Konyang University, KR
222.118.154.0/24 #AS17856 KONYANG-AS Konyang University, KR
190.169.0.0/16 #AS19192 UNIVERSIDAD-CENTRAL-VENEZUELA Universidad Central de Venezuela, VE
192.100.55.0/24 #AS20306 ADELPHI Adelphi University, US
192.147.12.0/24 #AS20306 ADELPHI Adelphi University, US
192.160.130.0/23 #AS20306 ADELPHI Adelphi University, US
114.70.61.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
114.70.62.0/23 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
114.70.64.0/23 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.41.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.42.0/23 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.44.0/22 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.48.0/23 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.51.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.53.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.54.0/23 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.56.0/22 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.60.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.62.0/23 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.64.0/22 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.69.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.70.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
210.207.36.0/22 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
223.194.0.0/19 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
223.194.32.0/20 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
223.194.48.0/23 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
223.194.53.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
200.34.171.0/24 #AS61463 CORPORACION-UNIVERSIDAD-MEDELLIN CORPORACION UNIVERSIDAD DE MEDELLIN, CO
76.165.0.0/16 #AS401290 LSUAA Louisiana State University at Alexandria, US
198.62.176.0/24 #AS401290 LSUAA Louisiana State University at Alexandria, US
129.89.0.0/16 #AS7050 UW-MILWAUKEE-AS1 University of Wisconsin - Milwaukee, US
192.107.47.0/24 #AS7050 UW-MILWAUKEE-AS1 University of Wisconsin - Milwaukee, US
192.107.164.0/24 #AS7050 UW-MILWAUKEE-AS1 University of Wisconsin - Milwaukee, US
103.23.232.0/23 #AS58475 UNLAM-AS-ID Universitas Lambung Mangkurat, ID
103.81.100.0/24 #AS58475 UNLAM-AS-ID Universitas Lambung Mangkurat, ID
200.10.191.0/24 #AS264650 UNIVERSIDAD-TECNOLOGICA-NACIONAL UNIVERSIDAD TECNOLOGICA NACIONAL - FACULTAD REGIONAL CORDOBA, AR
103.60.234.0/23 #AS55680 KSI-UAJY-AS-ID Kantor Sistem Informasi Universitas Atma Jaya Yogyakarta, ID
202.14.92.0/23 #AS55680 KSI-UAJY-AS-ID Kantor Sistem Informasi Universitas Atma Jaya Yogyakarta, ID
199.222.128.0/23 #AS399828 COKER-CAMPUS-01 Coker University, US
132.247.0.0/16 #AS278 UNIVERSIDAD-NACIONAL-AUTONOMA Universidad Nacional Autonoma de Mexico, MX
132.248.0.0/16 #AS278 UNIVERSIDAD-NACIONAL-AUTONOMA Universidad Nacional Autonoma de Mexico, MX
192.100.199.0/24 #AS278 UNIVERSIDAD-NACIONAL-AUTONOMA Universidad Nacional Autonoma de Mexico, MX
192.100.200.0/24 #AS278 UNIVERSIDAD-NACIONAL-AUTONOMA Universidad Nacional Autonoma de Mexico, MX
103.175.124.0/23 #AS136496 DPU-AS-AP Dhurakij Pundit University, TH
128.135.0.0/16 #AS160 U-CHICAGO-AS The University of Chicago, US
192.5.85.0/24 #AS160 U-CHICAGO-AS The University of Chicago, US
192.170.192.0/18 #AS160 U-CHICAGO-AS The University of Chicago, US
198.177.153.0/24 #AS160 U-CHICAGO-AS The University of Chicago, US
205.208.0.0/17 #AS160 U-CHICAGO-AS The University of Chicago, US
