100.42.160.0/20 #AS13692 DFN-ASN-1 - Douglas FastNet, US
103.111.184.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.111.200.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.111.208.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.1.116.0/22 #AS7629 EPLDT-AS-AP 5F L.V. Locsin Bldg, PH
103.112.222.0/24 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.112.81.0/24 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.113.116.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.113.120.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.113.128.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.113.48.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.113.72.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.11.4.0/23 #AS15830 EQUINIX, NL
103.114.108.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.114.112.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.114.120.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.114.136.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.114.173.0/24 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.114.80.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.115.16.0/24 #AS9009 M247, RO
103.115.185.0/24 #AS9009 M247, RO
103.115.186.0/24 #AS6079 RCN-AS - RCN, US
103.1.156.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.118.128.0/20 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.118.224.0/20 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.118.96.0/20 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.119.36.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.119.4.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.119.8.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.120.12.0/22 #AS15830 EQUINIX, NL
103.120.68.0/24 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.108.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.132.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.136.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.144.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.168.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.180.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.244.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.96.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.12.206.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.12.224.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.12.248.0/22 #AS10181 KRS-AS-KR Korea Register of Shipping, KR
103.124.16.0/22 #AS15830 EQUINIX, NL
103.124.72.0/22 #AS7539 TWAREN-TW National Center for High-performance Computing, TW
103.125.232.0/23 #AS9312 XTOM xTom, HK
103.127.212.0/24 #AS10186 REDCROSSNET-AS-KR Korean Red Cross, KR
103.127.214.0/23 #AS10186 REDCROSSNET-AS-KR Korean Red Cross, KR
103.127.249.0/24 #AS13444 TRS-GL-01 - TRS, US
103.129.118.0/23 #AS9009 M247, RO
103.129.20.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.129.24.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.129.40.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.129.4.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.129.48.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.129.56.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.129.68.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.130.176.0/23 #AS9009 M247, RO
103.130.238.0/24 #AS9009 M247, RO
103.130.252.0/22 #AS9264 ASNET Academia Sinica, TW
103.131.130.0/23 #AS931 HYONIX - Hyonix, SG
103.13.164.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.132.128.0/23 #AS9215 VMIND, TR
103.132.130.0/24 #AS9215 VMIND, TR
103.132.32.0/22 #AS10157 NHNBUGS-AS-KR NHN Bugs, KR
103.13.4.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
