100.42.160.0/20 #AS13692 DFN-ASN-1 - Douglas FastNet, US
192.175.48.1/32 #AS2931 BIS - Baird Information Systems, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3065 NYCENET-AS - NYCENETInformation Resources Unit, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3068 DENINF-IVAN, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3115 DSMNET - Infotex of Iowa, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3151 CEDEL-MRS Cedel, EU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3204 XTOM-V-PS xTom V.PS, EE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3211 Arcor AG, DE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3234 Republic, CZ - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3256 Paris-GIX, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3265 XS4ALL-NL Amsterdam, NL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3277 RUSNET-AS NPO RUSnet, RU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3286 IOL Formerly Ireland Online, IE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3294 ITER-ORGANIZATION France, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3317 FWI, NL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3318 EXPERIMENTAL-NET, AU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3338 HUNGARNET-SZTAKI, HU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3357 VLAN24-AS-KR VLAN24, KR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3362 GROUP-NAMES - Data Transfer Group, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3396 EGG - T G & A, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3400 POWERDOG - Powerdog Industries, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3406 UUN - UUN, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3407 INTERPATH-NC - Interpath, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3409 CALLVOX - Callvox, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3451 DTD-AS - Downtown Digital, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3501 ES-USDA - USDA, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3511 INFONET - INFONET, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3552 UMI-AS2 - UMI, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3553 COVANET - Commonwealth of Virginia, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3554 HALW - Holland America Line, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3556 Intevep S.A., VE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3558 ERX-MRWA Main Roads Western Australia, AU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3575 GIGABITNOW - GigabitNow, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3594 RAIN1 - RAIN, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3604 CPBX - Linder Computer Enterprises, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3628 NYSERNET-BLK - NYSERNet, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3658 LIGHTLINK - Lightning PC, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3669 IQUEST - Small Systems Specialists, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3670 OPTIMUM-AS - Optimum Group, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3674 RCN-AS6 - RCN, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3682 RACIN - CRACIN, PR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3698 RJRNI-INTL1 - Nabisco Foods Group, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3699 HYPEENT-LA2 - Hype Enterprises, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3723 IXP-GYE - Electronic Press, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3726 JCALS-NET - CSC- JCALS, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3739 SLPO - Smart Link Project Office, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3749 TECNET - Tennessee Board Of Regents, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3752 ELIZA-NETAXIS - Net Axis, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3759 CALTEX-AS - Caltex, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3765 SSC-299-Z-3765 - Shared Services Canada, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3771 SPERRY-AS - Sperry, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3772 CETYS-AS - CETYS - Centro de Ensenanza Tecnica Y Superior, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3773 ERX-TGE-1 TGE, NZ - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3780 ASN-ADVANTIS2 - Advantis, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3803 RCN-AS1 - RCN, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3827 ELECTRICITI - Electriciti, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3829 METROBBS - Metropolis BBS, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3843 INTEXO-MRS Van Ommeren Intexo, EU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3849 NET-HA - DMSSCOAD, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3906 ADS-1-AS - Advanced Data Systems, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3919 HARBORNET - Harbor Net, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3922 OPENTEXT-EMEA-NL-AMSTELVEEN - GXS, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3924 TX-OAG - Texas Attorney General, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3956 TX-METRO - Texas Metronet, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3969 ERX-STPHNET Software Technology Park, IN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS3974 REZONET - Rezonet, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4012 DCM - DCM, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4041 RGNET-SJ0 - The Little Garden, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4047 CIRS-AS - Community Information & Referral, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4053 USRX-AS - U.S.Robotics, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4059 WENG-AS - Wagner Engineering, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4061 GTTW-NET - Jax Gateway to the World, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4063 ELCSCI-ASN - Electro Scientific Industries, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4126 SPTEL2 - SP Tel, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4127 DUPONT-SCD - DuPont Scientific Computing, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4131 USIS-AS - USIS, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4145 UPS-AS4145 - UNITED PARCEL SERVICE, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4151 USDA-1 - USDA, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4153 USDA-1 - USDA, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4154 USDA-1 - USDA, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4156 USDA-1 - USDA, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4157 USDA-1 - USDA, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4159 ONEWORLD-AS-1 - One World Productions, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4173 WATER - Water Wheel Systems, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4177 WORLTEK - AT73, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4178 AZTEC, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4187 INFOBAHN - infobahn, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4189 OSSHENET1 - OSSHENET1, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4204 ALLWARE-AS - Allware, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4209 Pequiven, VE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4233 DWRSCADA - State of Caligornia, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4238 TX-TREASNET - Texas Treasury, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4242 Soluciones Avanzadas de Redes, MX - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4244 INFOTEC CENTRO DE INVESTIGACION E INNOVACION EN TECNOLOGIAS DE LA INFORMACION Y COMUNICACION, MX - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4248 CYBERTRIBE - Nexus System, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4271 NETWORX - Networx, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4279 INTERSOURCE - INTERSOURCE, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4320 TASA-GW - Television Audio Support Activity, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4359 DIGIPRESS-AS - Graphics Express, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4365 DIGITAL-CAFE-ASN - Digital Cafe, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4375 KEY - KeyNet, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4386 SOO-ASN - State of Oregon, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4391 BRI-NET - B R I, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4433 ERX-ACCESS-ONE UUNET, AU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4439 IMEFDJOSS - Commanding General, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4440 IIIMEFDJOSS - Commanding General, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4441 MARFORPACDJOSS - Marine Forces Pacific, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4449 ASN-GALSTAR - Galaxy Star Systems, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4458 CCNET CarelComp Oy, EU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4464 TWNAO-AS - DPRO HoneywellAlliant Tech Systems, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4475 HUNTINGTON-TRAVEL - Huntington Travel, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4477 BBDATA - B&B Data Link, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4479 JTM - JTM Multimedia, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4516 TRENDLINE - Trendline, IL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4521 MIRACLE - Miracle Net Communication, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4523 OPENTEXT-NA-US-BROOKPARK-1 - GXS, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4524 TRU-MRS Toys R Us, EU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4525 POPPE - 707 California Street, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4527 RCN-AS-1 - RCN, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4530 RCN-AS5 - RCN, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4545 SONNET-ASN - Sonora ONline, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4562 INTEX - Intex-Net, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4570 IH2000 - IH2000, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4571 UUNET-SA, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4573 SEQUEL2 - Sequel Concepts, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4586 TX-TNRIS - Texas Natural Resources Information System, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4588 FINNPAP-MRS FinnPap, EU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4617 UNN-BN Borneo-IX, BN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4625 UNSPECIFIED Hong Kong, HK - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4634 IRIX-AS-AP IRIX SDN. BHD., MY - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4654 YAUYIPING-AS YAU YI PING, HK - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4666 SAMSUNGELECTRONICS-AS-KR Samsung Electronics, KR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4672 KYNDRYLNET Kyndryl Japan KK, JP - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4738 AARNET-TEST-AS-AP AARNET Test, AU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4745 GMARKET-AS-KR GMARKET, KR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4747 TFN-TW-TTN TTN ASN merged by TFN, TW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4751 ZJCL-CN NING BO SHI YIN ZHOU CHANG LIAN XIN XI JI SHU YOU XIAN GONG SI, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4754 STPN-GAC-ICANN 1016, Electronics Niketan, 6, CGO Complex, IN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4789 CERNAP1-CN NAP1 at CERNET, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4798 UNSPECIFIED SBI&S, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4805 EQUANT-OCEANIA Orange Business AS for Oceania, AU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4806 INTERNODE-PROF-ACCESS-AP Internode Professional Access, AU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4832 INTERNUXNET-AS-ID PT. INTERNUX, ID - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4839 CERNAP2-CN NAP2 at CERNET located in Shanghai, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4840 CERNAP3-CN NAP3 at CERNET located in Guangzhou, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4841 TLRGNET-AS-AP Level 5, 100 Harris St, AU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4854 IINET-AU Netspace Online Systems, AU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4904 COATUE - Coatue Management, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4915 TRANE-UPG - The TRANE Co.UPG, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4918 THEPOINT-NET - Silver Creek Industries, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4930 DMG1 - Digital Management Group, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4934 LANIER-WW - Lanier Worldwide, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4941 FDT - The CD-ROM Store, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4944 Petroleos de Venezuela S.A., VE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4952 CAPECOD - Intramedia, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4956 LOGICSYS - Logic Systems, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4958 LDSNET - Long Distance Savers, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4964 Refineria ISLA Curazao S.A., CW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4967 STARTEL S.A., AR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4970 ASN1 - Thrivent Financial for Lutherans, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4973 UPS-AS4973 - UNITED PARCEL SERVICE, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4974 GROVE-MRS Rawdon House, EU - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4979 AS4979 - GXS, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4982 JAZZIE - Jazzie Systems, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS4998 LANDE - The Lande Group, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS5001 SONIC - Sonicnet, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS5005 Asociados Espada C.A., VE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS5007 COMPUTOPIA - Computopia, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS5020 MEA - Mitsubishi Electronics, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS5030 TAL - Transamerica Leasing, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS5039 TECNET2 - Tecnet, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS5042 INFOWAVE - Discnet, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS5047 ARNET2 - ARNet, US - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS5057 XENITEC - GS1115, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
192.175.48.1/32 #AS5060 DE-KAT, NL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain asn info
