44.40.44.0/22 #AS40761 PRECISE-NETWORKS-INC Precise Networks Inc., US
104.36.96.0/22 #AS40761 PRECISE-NETWORKS-INC Precise Networks Inc., US
68.67.116.0/24 #AS607 RNM-15-ASN-01 Revelation Network Management Inc., US
80.240.106.0/24 #AS205362 SKYWISP SKY WISP SERVICES LTD, CY
128.0.42.0/23 #AS205362 SKYWISP SKY WISP SERVICES LTD, CY
185.216.4.0/22 #AS205362 SKYWISP SKY WISP SERVICES LTD, CY
188.212.251.0/24 #AS205362 SKYWISP SKY WISP SERVICES LTD, CY
188.215.32.0/24 #AS205362 SKYWISP SKY WISP SERVICES LTD, CY
160.22.18.0/23 #AS152886 GREENNETWORK-AS-AP Green Network, BD
217.21.128.0/20 #AS48768 BMNETWORKS GTECH SWEDEN INTERACTIVE AB, SE
103.88.24.0/23 #AS136438 ADDANETWORK-AS-AP Adda Network, BD
72.2.20.0/23 #AS397569 VELOCITYNET-01 TELUS Communications Inc., CA
172.83.56.0/22 #AS397569 VELOCITYNET-01 TELUS Communications Inc., CA
208.84.36.0/22 #AS397569 VELOCITYNET-01 TELUS Communications Inc., CA
208.118.120.0/24 #AS397569 VELOCITYNET-01 TELUS Communications Inc., CA
98.158.226.0/24 #AS395953 WLN-ASID World Line Networks, US
199.34.125.0/24 #AS395953 WLN-ASID World Line Networks, US
23.146.144.0/24 #AS397391 HON-ASN Hop One Networks LLC, US
23.159.176.0/24 #AS397391 HON-ASN Hop One Networks LLC, US
23.175.49.0/24 #AS397391 HON-ASN Hop One Networks LLC, US
23.175.144.0/23 #AS397391 HON-ASN Hop One Networks LLC, US
23.175.146.0/24 #AS397391 HON-ASN Hop One Networks LLC, US
5.100.248.0/21 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
31.133.100.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
31.133.102.0/23 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
45.83.40.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
45.83.42.0/23 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
45.93.92.0/22 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
62.219.10.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
62.219.14.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
62.219.83.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
62.219.106.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
62.219.197.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
63.250.61.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
63.250.62.0/23 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
66.55.79.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
80.244.173.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
80.244.174.0/23 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
81.28.7.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
83.229.70.0/23 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
83.229.72.0/23 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
83.229.74.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
91.198.70.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
91.202.168.0/22 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
91.223.106.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
91.226.72.0/24 #AS44709 CLOUDWEBMANAGE-IL O.M.C. COMPUTERS & COMMUNICATIONS LTD, IL
