199.241.28.0/22 #AS3842 RAMNODE - InMotion Hosting, Inc., US
192.175.48.1/32 #AS3995 IWEB - Interweb Corporation, US - ASN BGP NULL PREFIX use prisoner.iana.org to retain asn info
64.113.24.0/22 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
66.172.0.0/18 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
66.180.192.0/20 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
66.186.32.0/21 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
66.186.40.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
66.186.46.0/23 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
66.186.50.0/23 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
66.186.52.0/23 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
66.186.62.0/23 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
66.201.40.0/23 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
66.211.96.0/20 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
67.198.213.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
67.198.230.0/23 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
67.229.241.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
67.229.254.0/23 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
69.194.0.0/22 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
74.112.254.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
74.222.131.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
74.222.132.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
74.222.140.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
74.222.142.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
74.222.147.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
74.222.168.0/23 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
76.8.16.0/20 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
97.64.96.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
97.64.98.0/23 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
98.126.101.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
98.126.102.0/23 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
98.126.153.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
98.126.166.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
98.126.201.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
107.6.233.0/24 #AS4213 EVOCATIVE-GLOBAL - Krypt Technologies, US
