3.142.121.219 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.142.124.61 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.142.164.142 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.143.232.86 #AS16509 PREFIX: 3.136.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.144.43.164 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.144.79.255 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.144.120.250 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.144.134.123 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.144.237.84 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.145.4.67 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.145.21.20 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.145.32.120 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.145.35.41 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.145.77.194 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.145.88.62 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.145.213.94 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.148.171.117 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.148.172.190 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.148.185.137 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.149.24.209 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.149.214.87 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.149.237.41 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
3.150.135.52 #AS16509 PREFIX: 3.144.0.0/13 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.48.13.139 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.48.23.166 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.48.24.5 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.48.31.131 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.48.43.55 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.48.132.186 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.48.190.170 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.49.0.168 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.49.41.36 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.49.41.175 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.49.68.137 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.49.70.166 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.49.75.35 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.49.77.167 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.49.127.169 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.49.183.197 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.49.223.64 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
13.49.226.111 #AS16509 PREFIX: 13.48.0.0/15 CC: US DESC: AMAZON-02 - Amazon.com, Inc., US
