# Last 14 days where more than 2 ports overlap per host
# Common ports included in list if not already part of top50 ports found:
# 21,22,23,53,80,123,139,161,162,389,443,445,500,1001,3306,3389,4500,5000,5001,5900,8000,8001,8080,8443,10000
#
# PORTS REPORTED ON INCL TOP50 FOUND
# 0,21,22,23,53,68,80,81,82,83,88,123,137,139,161,162,389,443,445,500,1001,1433,1900,2222,2375,3000,3306,3389,4500,5000,5001,5021,5060,5122,5432,5555,5900,6021,6080,6379,7777,8000,8001,8080,8081,8082,8088,8443,8728,8888,9000,9200,9443,10000,17000,27015,27017
#
#
45.205.1.244     #AS215925   28 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,8181,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.245     #AS215925   28 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,8181,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.246     #AS215925   28 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,8181,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.247     #AS215925   28 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,8181,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
54.206.185.27    #AS16509    28 ports   10000,1433,21,22,2222,23,27017,3000,3306,3389,443,445,500,5000,5432,6379,80,8000,8001,8080,8081,8082,8088,8443,8888,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
54.252.11.191    #AS16509    28 ports   10000,1433,21,22,2222,23,27017,3000,3306,3389,443,445,500,5000,5432,6379,80,8000,8001,8080,8081,8082,8088,8443,8888,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
149.50.96.175    #AS201814   27 ports   10000,10001,1001,1433,17000,1900,2222,27015,3306,4500,5000,5001,5021,5060,5432,5555,5900,6021,6080,8001,8080,8082,8088,8888,9000,9200,9443 Mevspace - MEVSPACE sp. z o.o., PL
35.169.206.177   #AS14618    27 ports   10000,1080,110,123,1723,2087,25,27017,3000,3306,3389,389,445,6379,8000,8001,8008,8082,8083,8088,81,8181,8443,88,8888,9000,9200 AMAZON-AES - Amazon.com, Inc., US
45.194.67.26     #AS215925   27 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.194.67.27     #AS215925   27 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.194.67.29     #AS215925   27 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.194.67.30     #AS215925   25 ports   10000,2222,3000,443,5000,5001,5555,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.91.64.7       #AS214664   24 ports   10000,10001,1080,110,143,161,21,2222,23,2375,25,27017,3000,3306,500,5000,5060,53,5900,6379,80,8080,83,8888 Buduschee - JSC Buduschee, RU
151.243.11.231   #AS209630   23 ports   10000,2222,3000,443,5000,5001,5555,7547,7777,80,8000,8001,8081,8082,8088,8090,81,82,83,8443,88,9000,9443 KREDIT-AS - LLC VASH KREDIT BANK, UA
151.217.4.34     #AS60079    22 ports   0,123,137,139,143,161,162,21,22,23,3389,389,443,445,53,5900,68,80,8080,82,83,8443 EMF-AS - Electromagnetic Field Ltd., GB
151.243.11.232   #AS209630   22 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,80,8000,8001,8082,8088,8090,81,83,8443,88,8888,9000,9443 KREDIT-AS - LLC VASH KREDIT BANK, UA
170.64.173.46    #AS14061    22 ports   110,123,143,1433,1900,21,22,2222,23,25,27017,3000,3306,445,6379,7547,8080,8443,8888,9000,9200,9443 DIGITALOCEAN-ASN - DigitalOcean, LLC, US
45.194.67.28     #AS215925   22 ports   10000,2222,3389,443,5000,5001,5555,7777,8000,8001,8080,8081,8083,8088,8090,81,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
151.243.11.236   #AS209630   21 ports   10000,3000,443,5000,5001,5555,7547,80,8000,8081,8082,8088,8090,81,82,83,8443,88,8888,9000,9443 KREDIT-AS - LLC VASH KREDIT BANK, UA
151.243.11.237   #AS209630   21 ports   10000,3000,443,5000,5001,7547,7777,80,8001,8080,8081,8082,8088,8090,81,82,83,8443,8888,9000,9443 KREDIT-AS - LLC VASH KREDIT BANK, UA
13.219.1.233     #AS14618    20 ports   111,137,1433,2087,21,22,2375,389,443,445,5432,6379,6443,8081,8082,8088,8181,8443,88,9200 AMAZON-AES - Amazon.com, Inc., US
34.193.119.44    #AS14618    19 ports   110,111,137,161,162,2087,2375,27017,3306,389,443,445,53,6379,80,8082,8088,8181,9443 AMAZON-AES - Amazon.com, Inc., US
5.187.35.26      #AS206264   19 ports   10000,21,22,23,25,445,5000,53,6080,68,7547,80,8000,8001,8080,8082,8088,8090,8181 AMARUTU-TECHNOLOGY - Amarutu Technology Ltd, SC
66.240.223.208   #AS10439    19 ports   123,139,1433,1900,21,22,23,25,27017,3306,3389,443,445,53,5432,5900,6379,80,9200 CARINET - CariNet, Inc., US
98.89.204.118    #AS14618    19 ports   137,1433,161,2087,2375,3306,389,443,6379,6443,80,8006,8081,8082,8181,8443,88,9200,9443 AMAZON-AES - Amazon.com, Inc., US
5.61.209.43      #AS206264   18 ports   10001,17000,2222,3000,5000,5555,6080,7777,80,8080,8081,8082,81,82,83,88,9000,9200 AMARUTU-TECHNOLOGY - Amarutu Technology Ltd, SC
94.154.43.36     #AS219502   18 ports   10000,10001,110,21,22,23,8000,8001,8080,8081,8082,8088,8090,8443,8888,9000,9200,9443 STORMCLOUD-AS - Storm Industries LLC, US
44.215.219.236   #AS14618    17 ports   111,143,161,162,27017,3306,3389,389,5432,5900,6379,80,8000,8006,8081,8181,9443 AMAZON-AES - Amazon.com, Inc., US
78.128.114.106   #AS50360    17 ports   1001,123,137,143,162,21,22,23,389,500,53,554,68,80,81,82,83 TAMATIYA-AS - Tamatiya EOOD, BG
156.225.1.98     #AS9465     16 ports   139,143,1433,2222,23,3389,445,5000,5001,5432,554,7777,8000,81,82,88 AGOTOZPTELTD-AS-AP - AGOTOZ PTE. LTD., SG
45.153.34.89     #AS197170   16 ports   10000,443,80,8000,8001,8080,8081,8082,8090,81,82,83,8443,88,8888,9000 TECHTIES-AS - TechTies Inc., SC
52.207.196.234   #AS14618    16 ports   123,161,1900,22,27017,5001,80,8000,8082,8088,81,82,8443,88,8888,9443 AMAZON-AES - Amazon.com, Inc., US
151.243.11.233   #AS209630   15 ports   2222,3000,3389,443,5000,5001,7547,8080,8081,8082,81,82,83,8443,9443 KREDIT-AS - LLC VASH KREDIT BANK, UA
156.225.1.10     #AS9465     15 ports   123,21,22,25,27017,3306,443,5060,53,7547,80,8080,8443,9200,9443 AGOTOZPTELTD-AS-AP - AGOTOZ PTE. LTD., SG
79.124.40.126    #AS50360    15 ports   389,443,6080,8000,8001,8008,8080,8081,8082,8083,82,8443,8888,9000,9443 TAMATIYA-AS - Tamatiya EOOD, BG
100.51.6.16      #AS14618    14 ports   162,22,2375,27017,3306,443,53,5432,5900,6443,80,8000,8006,8081 AMAZON-AES - Amazon.com, Inc., US
151.243.11.234   #AS209630   14 ports   10000,3000,5000,5555,7547,7777,8001,8080,8081,8088,8090,82,8443,8888 KREDIT-AS - LLC VASH KREDIT BANK, UA
