152.230.60.0/22 #AS18822 Manquehuenet, CL
152.230.7.0/24 #AS18822 Manquehuenet, CL
152.230.72.0/24 #AS18822 Manquehuenet, CL
152.230.75.0/24 #AS18822 Manquehuenet, CL
152.230.76.0/22 #AS18822 Manquehuenet, CL
152.230.80.0/22 #AS18822 Manquehuenet, CL
152.230.84.0/23 #AS18822 Manquehuenet, CL
152.230.86.0/24 #AS18822 Manquehuenet, CL
152.230.88.0/23 #AS18822 Manquehuenet, CL
152.230.91.0/24 #AS18822 Manquehuenet, CL
152.230.92.0/24 #AS18822 Manquehuenet, CL
152.230.97.0/24 #AS18822 Manquehuenet, CL
152.230.98.0/23 #AS18822 Manquehuenet, CL
152.231.110.0/23 #AS27986 ENTEL CHILE S.A., CL
152.231.64.0/18 #AS27651 ENTEL CHILE S.A., CL
152.74.0.0/16 #AS11340 Red Universitaria Nacional, CL
156.235.77.0/24 #AS262167 Redcol S.A., CL
156.235.78.0/24 #AS262167 Redcol S.A., CL
158.170.0.0/16 #AS27897 UNIVERSIDAD DE SANTIAGO DE CHILE, CL
158.251.0.0/16 #AS16742 Universidad Catolica de Valparaiso, CL
160.19.200.0/23 #AS28319 WISP, CL
160.19.202.0/23 #AS266771 MAKRONET CONSULTING TECNOLOGIA E INFORMATICA LIMITADA, CL
160.20.188.0/22 #AS265703 AUSTRO INTERNET S.A., CL
160.20.92.0/22 #AS265714 TV CABLE DEL SUR LTDA, CL
160.238.212.0/24 #AS27952 Banco Central de Chile, CL
160.238.214.0/23 #AS27952 Banco Central de Chile, CL
160.238.252.0/22 #AS264859 Comunicaciones Cablevision Ltda., CL
161.0.160.0/20 #AS262237 Orbyta S.A., CL
161.0.184.0/21 #AS61460 NETLAND CHILE S.A., CL
161.131.0.0/24 #AS14795 Banco de Credito e Inversiones, CL
161.131.144.0/24 #AS14795 Banco de Credito e Inversiones, CL
161.131.149.0/24 #AS14795 Banco de Credito e Inversiones, CL
161.131.164.0/24 #AS14795 Banco de Credito e Inversiones, CL
161.131.182.0/24 #AS14795 Banco de Credito e Inversiones, CL
161.131.185.0/24 #AS14795 Banco de Credito e Inversiones, CL
161.131.205.0/24 #AS14795 Banco de Credito e Inversiones, CL
161.131.221.0/24 #AS14795 Banco de Credito e Inversiones, CL
161.131.243.0/24 #AS14795 Banco de Credito e Inversiones, CL
161.131.4.0/24 #AS14795 Banco de Credito e Inversiones, CL
161.195.142.0/24 #AS262224 Central de Restaurantes Aramark Ltda., CL
161.238.235.0/24 #AS263758 Bolsa de Comercio de Santiago, CL
161.238.236.0/24 #AS263758 Bolsa de Comercio de Santiago, CL
161.238.251.0/24 #AS263758 Bolsa de Comercio de Santiago, CL
161.238.252.0/22 #AS263758 Bolsa de Comercio de Santiago, CL
163.247.0.0/16 #AS17147 Ministerio del Interior y de Seguridad Publica - Gobierno de Chile, CL
164.163.81.0/24 #AS265769 ALBANETWORK INGENIERIA S.A., CL
164.163.82.0/23 #AS265769 ALBANETWORK INGENIERIA S.A., CL
164.163.88.0/22 #AS61466 TV Cable Loncomilla S.A., CL
164.77.0.0/16 #AS27651 ENTEL CHILE S.A., CL
164.77.101.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.102.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.104.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.118.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.120.0/23 #AS6471 ENTEL CHILE S.A., CL
164.77.123.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.125.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.157.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.219.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.243.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.27.0/24 #AS7004 TELEFONICA CHILE S.A., CL
164.77.70.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.83.0/24 #AS6471 ENTEL CHILE S.A., CL
164.77.97.0/24 #AS6471 ENTEL CHILE S.A., CL
165.182.0.0/16 #AS52226 CODELCO Chuquicamata, CL
165.182.0.0/16 #AS6429 Telmex Chile Internet S.A., CL
166.0.14.0/24 #AS64161 GRUPO ZGH SPA, CL
166.88.75.0/24 #AS213606 GAMER-HOST, CL
167.249.29.0/24 #AS64139 GRUPO METROWAN TELECOM SPA, CL
167.249.30.0/23 #AS64131 GLOBALCONNECT SPA, CL
167.250.196.0/23 #AS267748 TNS CHILE-TECHNETSECURITY S.A, CL
167.250.53.0/24 #AS27901 Pacifico Cable SPA., CL
167.250.54.0/23 #AS27901 Pacifico Cable SPA., CL
167.28.193.0/24 #AS264729 BANCO DEL ESTADO DE CHILE, CL
168.121.80.0/22 #AS264707 Opciones S. A., CL
168.194.196.0/22 #AS28099 iHosting Servicios Internet Ltda., CL
168.195.128.0/22 #AS263702 GRUPO ZGH SPA, CL
168.196.184.0/22 #AS10778 MCL Internet, CL
168.196.200.0/22 #AS52341 WOM S.A., CL
168.196.2.0/24 #AS271997 BIOCABLE SUR E I R L, CL
168.197.88.0/22 #AS262213 Comsat Limitada, CL
168.205.204.0/22 #AS61466 TV Cable Loncomilla S.A., CL
168.228.248.0/22 #AS264780 HomeNet LTDA, CL
168.231.0.0/18 #AS64112 PIT CHILE SP, CL
168.231.128.0/18 #AS274136 DB TERRA CHILE HOLDCO SpA, CL
168.231.192.0/21 #AS64112 PIT CHILE SP, CL
168.231.200.0/23 #AS27918 SISTEMA NACIONAL DE COMUNICACIONES FINANCIERAS S.A., CL
168.231.201.0/24 #AS14259 Gtd Internet S.A., CL
168.231.202.0/23 #AS64112 PIT CHILE SP, CL
168.231.203.0/24 #AS27918 SISTEMA NACIONAL DE COMUNICACIONES FINANCIERAS S.A., CL
168.231.204.0/22 #AS64112 PIT CHILE SP, CL
168.231.208.0/20 #AS64112 PIT CHILE SP, CL
168.231.220.0/24 #AS27918 SISTEMA NACIONAL DE COMUNICACIONES FINANCIERAS S.A., CL
168.231.224.0/19 #AS64112 PIT CHILE SP, CL
168.231.242.0/24 #AS27918 SISTEMA NACIONAL DE COMUNICACIONES FINANCIERAS S.A., CL
168.232.164.0/22 #AS52368 ZAM LTDA., CL
168.90.220.0/22 #AS269993 COMPANIA CHILENA DE COMUNICACIONES PARALLEL S.A., CL
