194.243.0.0/16 #AS3269 ASN-IBSNAZ, IT
195.31.0.0/16 #AS3269 ASN-IBSNAZ, IT
195.32.68.0/24 #AS3269 ASN-IBSNAZ, IT
195.103.0.0/16 #AS3269 ASN-IBSNAZ, IT
195.120.0.0/16 #AS3269 ASN-IBSNAZ, IT
195.223.0.0/16 #AS3269 ASN-IBSNAZ, IT
212.14.135.0/24 #AS3269 ASN-IBSNAZ, IT
212.131.0.0/16 #AS3269 ASN-IBSNAZ, IT
212.171.0.0/16 #AS3269 ASN-IBSNAZ, IT
212.210.0.0/16 #AS3269 ASN-IBSNAZ, IT
212.216.0.0/16 #AS3269 ASN-IBSNAZ, IT
213.26.0.0/16 #AS3269 ASN-IBSNAZ, IT
213.45.0.0/16 #AS3269 ASN-IBSNAZ, IT
213.82.0.0/16 #AS3269 ASN-IBSNAZ, IT
213.108.31.0/24 #AS3269 ASN-IBSNAZ, IT
217.56.0.0/14 #AS3269 ASN-IBSNAZ, IT
217.141.0.0/16 #AS3269 ASN-IBSNAZ, IT
217.172.192.0/19 #AS3269 ASN-IBSNAZ, IT
217.222.0.0/15 #AS3269 ASN-IBSNAZ, IT
130.186.64.0/18 #AS3275 ASN-CINECA, IT
5.150.128.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
31.10.48.0/21 #AS3302 AS-RETELIT-IRIDEOS, IT
37.220.44.0/22 #AS3302 AS-RETELIT-IRIDEOS, IT
45.95.210.0/24 #AS3302 AS-RETELIT-IRIDEOS, IT
46.228.240.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
62.94.0.0/16 #AS3302 AS-RETELIT-IRIDEOS, IT
62.173.160.0/19 #AS3302 AS-RETELIT-IRIDEOS, IT
62.196.0.0/16 #AS3302 AS-RETELIT-IRIDEOS, IT
77.43.0.0/17 #AS3302 AS-RETELIT-IRIDEOS, IT
77.94.68.0/22 #AS3302 AS-RETELIT-IRIDEOS, IT
77.94.72.0/21 #AS3302 AS-RETELIT-IRIDEOS, IT
77.94.80.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
77.246.0.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
80.74.176.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
81.27.176.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
81.92.32.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
82.193.0.0/19 #AS3302 AS-RETELIT-IRIDEOS, IT
83.211.0.0/16 #AS3302 AS-RETELIT-IRIDEOS, IT
84.253.128.0/18 #AS3302 AS-RETELIT-IRIDEOS, IT
88.86.160.0/19 #AS3302 AS-RETELIT-IRIDEOS, IT
91.234.237.0/24 #AS3302 AS-RETELIT-IRIDEOS, IT
94.138.32.0/19 #AS3302 AS-RETELIT-IRIDEOS, IT
128.65.112.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
185.53.0.0/22 #AS3302 AS-RETELIT-IRIDEOS, IT
185.58.44.0/22 #AS3302 AS-RETELIT-IRIDEOS, IT
185.82.0.0/22 #AS3302 AS-RETELIT-IRIDEOS, IT
185.97.156.0/22 #AS3302 AS-RETELIT-IRIDEOS, IT
185.148.108.0/22 #AS3302 AS-RETELIT-IRIDEOS, IT
185.169.176.0/22 #AS3302 AS-RETELIT-IRIDEOS, IT
194.20.0.0/16 #AS3302 AS-RETELIT-IRIDEOS, IT
194.21.0.0/18 #AS3302 AS-RETELIT-IRIDEOS, IT
194.153.192.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
194.153.208.0/22 #AS3302 AS-RETELIT-IRIDEOS, IT
194.242.192.0/19 #AS3302 AS-RETELIT-IRIDEOS, IT
194.244.0.0/16 #AS3302 AS-RETELIT-IRIDEOS, IT
195.62.224.0/19 #AS3302 AS-RETELIT-IRIDEOS, IT
195.78.192.0/19 #AS3302 AS-RETELIT-IRIDEOS, IT
195.110.128.0/19 #AS3302 AS-RETELIT-IRIDEOS, IT
212.90.0.0/19 #AS3302 AS-RETELIT-IRIDEOS, IT
212.110.0.0/19 #AS3302 AS-RETELIT-IRIDEOS, IT
213.21.128.0/18 #AS3302 AS-RETELIT-IRIDEOS, IT
213.136.128.0/18 #AS3302 AS-RETELIT-IRIDEOS, IT
213.149.192.0/19 #AS3302 AS-RETELIT-IRIDEOS, IT
213.183.128.0/19 #AS3302 AS-RETELIT-IRIDEOS, IT
213.198.128.0/18 #AS3302 AS-RETELIT-IRIDEOS, IT
213.203.128.0/18 #AS3302 AS-RETELIT-IRIDEOS, IT
213.217.29.0/24 #AS3302 AS-RETELIT-IRIDEOS, IT
217.11.80.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
217.12.176.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
217.15.208.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
217.26.80.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
217.29.160.0/20 #AS3302 AS-RETELIT-IRIDEOS, IT
31.12.8.0/22 #AS3313 INET-AS, IT
81.174.64.0/18 #AS3313 INET-AS, IT
192.106.192.0/24 #AS3313 INET-AS, IT
193.36.47.0/24 #AS3313 INET-AS, IT
193.43.15.0/24 #AS3313 INET-AS, IT
193.201.171.0/24 #AS3313 INET-AS, IT
194.20.8.0/21 #AS3313 INET-AS, IT
194.177.96.0/19 #AS3313 INET-AS, IT
194.185.0.0/16 #AS3313 INET-AS, IT
212.239.0.0/17 #AS3313 INET-AS, IT
213.92.0.0/17 #AS3313 INET-AS, IT
194.179.128.0/22 #AS5382 TELESYSTEM-NET Via Pietro Ronzoni 18, IT
195.36.0.0/18 #AS5392 TELNET-ITALY TELNET S.r.l., IT
77.39.160.0/19 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
77.39.224.0/19 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
81.29.180.0/22 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
81.29.184.0/21 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
82.145.104.0/21 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
82.145.112.0/20 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
82.192.120.0/21 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
91.213.153.0/24 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
193.109.112.0/24 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
194.20.96.0/21 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
194.79.192.0/19 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
194.145.231.0/24 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
194.183.0.0/19 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
195.94.128.0/18 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
195.250.224.0/19 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
213.233.0.0/18 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
217.72.96.0/20 #AS5394 UNIDATA Unidata S.p.A. NOC - Italy, IT
91.225.180.0/22 #AS5396 AS-IRIDEOS-MC, IT
92.60.67.0/24 #AS5396 AS-IRIDEOS-MC, IT
92.60.68.0/24 #AS5396 AS-IRIDEOS-MC, IT
92.60.71.0/24 #AS5396 AS-IRIDEOS-MC, IT
92.60.76.0/24 #AS5396 AS-IRIDEOS-MC, IT
185.63.87.0/24 #AS5396 AS-IRIDEOS-MC, IT
195.130.195.0/24 #AS5396 AS-IRIDEOS-MC, IT
193.46.180.0/24 #AS5397 INROMA-AS Sede di Roma, IT
194.242.224.0/19 #AS5397 INROMA-AS Sede di Roma, IT
31.44.32.0/20 #AS5398 INTERNETONE, IT
46.21.22.0/24 #AS5398 INTERNETONE, IT
46.21.29.0/24 #AS5398 INTERNETONE, IT
77.220.64.0/19 #AS5398 INTERNETONE, IT
