192.175.48.1/32 #AS1228 UNINET-ASNBLOCK, ZA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
152.111.84.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.88.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.90.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.92.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.94.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.96.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.99.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.100.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.104.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.108.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.130.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.132.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.136.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.139.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.140.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.144.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.146.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.148.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.151.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.154.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.159.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.162.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.165.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.166.0/23 #AS3741 NTT-DATA-Inc, ZA
152.111.168.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.172.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.177.0/24 #AS3741 NTT-DATA-Inc, ZA
152.111.180.0/22 #AS3741 NTT-DATA-Inc, ZA
152.111.185.0/24 #AS3741 NTT-DATA-Inc, ZA
