185.159.228.0/22 #AS50601 CROSSIVITY Crossivity bv, NL
31.186.160.0/21 #AS35467 DDF-AS DDFR IT Infra & Security B.V., NL
37.0.16.0/21 #AS35467 DDF-AS DDFR IT Infra & Security B.V., NL
81.92.176.0/20 #AS35467 DDF-AS DDFR IT Infra & Security B.V., NL
83.136.192.0/21 #AS35467 DDF-AS DDFR IT Infra & Security B.V., NL
91.106.224.0/21 #AS35467 DDF-AS DDFR IT Infra & Security B.V., NL
93.95.144.0/21 #AS35467 DDF-AS DDFR IT Infra & Security B.V., NL
145.87.224.0/19 #AS35467 DDF-AS DDFR IT Infra & Security B.V., NL
147.12.0.0/20 #AS35467 DDF-AS DDFR IT Infra & Security B.V., NL
185.35.32.0/22 #AS35467 DDF-AS DDFR IT Infra & Security B.V., NL
185.55.108.0/22 #AS35467 DDF-AS DDFR IT Infra & Security B.V., NL
185.250.160.0/22 #AS35467 DDF-AS DDFR IT Infra & Security B.V., NL
212.52.224.0/19 #AS35467 DDF-AS DDFR IT Infra & Security B.V., NL
217.27.224.0/20 #AS35467 DDF-AS DDFR IT Infra & Security B.V., NL
89.169.96.0/20 #AS213291 NEBIUSCLOUD Nebius B.V., NL
89.169.112.0/22 #AS213291 NEBIUSCLOUD Nebius B.V., NL
89.169.120.0/22 #AS213291 NEBIUSCLOUD Nebius B.V., NL
91.210.70.0/24 #AS213291 NEBIUSCLOUD Nebius B.V., NL
195.242.0.0/23 #AS213291 NEBIUSCLOUD Nebius B.V., NL
195.242.7.0/24 #AS213291 NEBIUSCLOUD Nebius B.V., NL
195.242.8.0/21 #AS213291 NEBIUSCLOUD Nebius B.V., NL
195.242.16.0/20 #AS213291 NEBIUSCLOUD Nebius B.V., NL
2.27.93.0/24 #AS213821 KRIEK-AS Kriek Networks BV, NL
2.27.95.0/24 #AS213821 KRIEK-AS Kriek Networks BV, NL
104.164.78.0/24 #AS213821 KRIEK-AS Kriek Networks BV, NL
193.203.11.0/24 #AS213821 KRIEK-AS Kriek Networks BV, NL
81.173.44.0/22 #AS51942 EKMEDIA EK-Media B.V., NL
91.221.150.0/23 #AS51942 EKMEDIA EK-Media B.V., NL
91.235.174.0/24 #AS51942 EKMEDIA EK-Media B.V., NL
185.133.36.0/22 #AS51942 EKMEDIA EK-Media B.V., NL
188.227.204.0/22 #AS51942 EKMEDIA EK-Media B.V., NL
195.69.225.0/24 #AS51942 EKMEDIA EK-Media B.V., NL
195.88.202.0/23 #AS51942 EKMEDIA EK-Media B.V., NL
185.134.248.0/22 #AS203439 QUINTIQ-CLOUD Dassault Systemes B.V., NL
193.108.71.0/24 #AS8238 ATT-CH-0C AT&T Global Network Services Nederland B.V., NL
