138.16.156.0/22 #AS29226 MASTERTEL-AS JSC Mastertel, RU
170.168.11.0/24 #AS29226 MASTERTEL-AS JSC Mastertel, RU
178.238.112.0/20 #AS29226 MASTERTEL-AS JSC Mastertel, RU
185.11.196.0/24 #AS29226 MASTERTEL-AS JSC Mastertel, RU
185.30.16.0/22 #AS29226 MASTERTEL-AS JSC Mastertel, RU
185.115.92.0/22 #AS29226 MASTERTEL-AS JSC Mastertel, RU
185.231.56.0/24 #AS29226 MASTERTEL-AS JSC Mastertel, RU
193.33.208.0/24 #AS29226 MASTERTEL-AS JSC Mastertel, RU
193.246.167.0/24 #AS29226 MASTERTEL-AS JSC Mastertel, RU
195.133.216.0/22 #AS29226 MASTERTEL-AS JSC Mastertel, RU
195.133.240.0/20 #AS29226 MASTERTEL-AS JSC Mastertel, RU
195.209.208.0/20 #AS29226 MASTERTEL-AS JSC Mastertel, RU
212.8.236.0/24 #AS29226 MASTERTEL-AS JSC Mastertel, RU
212.8.238.0/23 #AS29226 MASTERTEL-AS JSC Mastertel, RU
212.24.115.0/24 #AS29226 MASTERTEL-AS JSC Mastertel, RU
217.67.176.0/20 #AS29226 MASTERTEL-AS JSC Mastertel, RU
217.144.168.0/22 #AS29226 MASTERTEL-AS JSC Mastertel, RU
87.249.192.0/19 #AS41925 IZET-CHELYABINSK Limited Liability Company Izet Telecom Ural, RU
147.45.113.0/24 #AS41925 IZET-CHELYABINSK Limited Liability Company Izet Telecom Ural, RU
109.248.34.0/24 #AS207387 GRAVITEL-AS Gravitel OOO, RU
94.142.143.0/24 #AS215115 OPTICS-KUBAN-AS Kovalishin Alexey Sergeevich PE, RU
194.31.75.0/24 #AS215115 OPTICS-KUBAN-AS Kovalishin Alexey Sergeevich PE, RU
31.40.64.0/23 #AS50174 INTEXCOM-AS Intexcom OOO, RU
31.40.67.0/24 #AS50174 INTEXCOM-AS Intexcom OOO, RU
31.40.76.0/23 #AS50174 INTEXCOM-AS Intexcom OOO, RU
31.40.84.0/22 #AS50174 INTEXCOM-AS Intexcom OOO, RU
31.40.88.0/21 #AS50174 INTEXCOM-AS Intexcom OOO, RU
91.229.100.0/24 #AS50174 INTEXCOM-AS Intexcom OOO, RU
109.229.35.0/24 #AS50174 INTEXCOM-AS Intexcom OOO, RU
109.229.36.0/24 #AS50174 INTEXCOM-AS Intexcom OOO, RU
109.229.44.0/23 #AS50174 INTEXCOM-AS Intexcom OOO, RU
109.229.46.0/24 #AS50174 INTEXCOM-AS Intexcom OOO, RU
193.106.4.0/24 #AS50174 INTEXCOM-AS Intexcom OOO, RU
46.111.0.0/16 #AS2854 ROSPRINT-AS LLC Orange Business Services, RU
91.199.16.0/24 #AS2854 ROSPRINT-AS LLC Orange Business Services, RU
91.199.26.0/24 #AS2854 ROSPRINT-AS LLC Orange Business Services, RU
91.223.108.0/24 #AS2854 ROSPRINT-AS LLC Orange Business Services, RU
185.128.196.0/24 #AS2854 ROSPRINT-AS LLC Orange Business Services, RU
193.105.40.0/24 #AS2854 ROSPRINT-AS LLC Orange Business Services, RU
194.24.9.0/24 #AS2854 ROSPRINT-AS LLC Orange Business Services, RU
194.84.0.0/16 #AS2854 ROSPRINT-AS LLC Orange Business Services, RU
194.99.116.0/24 #AS2854 ROSPRINT-AS LLC Orange Business Services, RU
195.151.0.0/16 #AS2854 ROSPRINT-AS LLC Orange Business Services, RU
212.176.0.0/16 #AS2854 ROSPRINT-AS LLC Orange Business Services, RU
46.47.0.0/18 #AS197298 ATEL-LTDR Multifunctional Telecommunications Systems LTD, RU
45.12.124.0/24 #AS208981 DPC24 Data Center LLC, RU
45.12.126.0/24 #AS208981 DPC24 Data Center LLC, RU
91.213.144.0/24 #AS208981 DPC24 Data Center LLC, RU
91.232.93.0/24 #AS208981 DPC24 Data Center LLC, RU
91.243.190.0/23 #AS208981 DPC24 Data Center LLC, RU
31.177.70.0/24 #AS43489 ANYCAST-AS JSC RU-CENTER, RU
89.104.72.0/23 #AS43489 ANYCAST-AS JSC RU-CENTER, RU
89.104.75.0/24 #AS43489 ANYCAST-AS JSC RU-CENTER, RU
89.104.93.0/24 #AS43489 ANYCAST-AS JSC RU-CENTER, RU
89.104.95.0/24 #AS43489 ANYCAST-AS JSC RU-CENTER, RU
89.111.135.0/24 #AS43489 ANYCAST-AS JSC RU-CENTER, RU
188.94.215.0/24 #AS198210 BAYKALSR-AS LLC Baikal-Servis TK, RU
91.245.60.0/22 #AS198122 DIGITAL-TECHNOLOGY-AS Digital Technology Ltd., RU
45.67.33.0/24 #AS202838 INTERCOM OOO Intercom, RU
185.103.165.0/24 #AS202838 INTERCOM OOO Intercom, RU
185.153.44.0/22 #AS202838 INTERCOM OOO Intercom, RU
195.95.133.0/24 #AS202838 INTERCOM OOO Intercom, RU
77.73.24.0/21 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
77.94.160.0/19 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
81.26.144.0/21 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
81.26.152.0/22 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.128.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.131.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.134.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.136.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.140.0/22 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.144.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.147.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.150.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.152.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.156.0/22 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.160.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.162.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.164.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.168.0/22 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.174.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.176.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.178.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.182.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.186.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
84.47.190.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
85.91.96.0/21 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
85.91.112.0/22 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
85.91.118.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
85.91.120.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
85.91.122.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
185.106.107.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
193.105.11.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.135.64.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.135.67.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.135.69.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.135.70.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.135.72.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.135.77.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.135.82.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.135.84.0/22 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.135.88.0/22 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.135.92.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.135.94.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.208.160.0/21 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.208.168.0/23 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.208.170.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.208.172.0/22 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.208.176.0/21 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.208.184.0/24 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
213.208.188.0/22 #AS8641 NAUKANET-AS LLC Nauka-Svyaz, RU
109.236.254.0/23 #AS50443 RU-SIBINTEK-KRSK Siberian Internet Company LLC, RU
217.78.228.0/24 #AS206501 RCLOUD-AS LLC Russian clouds, RU
178.237.240.0/21 #AS197150 MCRBN-AS JSC Russian Broadcasting and Notification Networks, RU
46.8.104.0/24 #AS207952 ET-AS Evro Telecom OOO, RU
109.248.57.0/24 #AS207952 ET-AS Evro Telecom OOO, RU
176.96.228.0/23 #AS207952 ET-AS Evro Telecom OOO, RU
188.130.149.0/24 #AS207952 ET-AS Evro Telecom OOO, RU
62.164.156.0/22 #AS213922 VOLTA Volta LLC, RU
91.188.248.0/23 #AS213922 VOLTA Volta LLC, RU
91.188.251.0/24 #AS213922 VOLTA Volta LLC, RU
91.202.245.0/24 #AS213922 VOLTA Volta LLC, RU
91.202.246.0/23 #AS213922 VOLTA Volta LLC, RU
181.202.0.0/16 #AS213922 VOLTA Volta LLC, RU
109.248.3.0/24 #AS212712 IP-AS PE Alexey Grishin, RU
91.198.155.0/24 #AS43787 ING-MOSCOW-AS ING BANK (EURASIA) AO, RU
31.148.32.0/21 #AS41575 INTERCITY-AS Intercity Ltd., RU
31.148.224.0/20 #AS41575 INTERCITY-AS Intercity Ltd., RU
92.253.240.0/20 #AS41575 INTERCITY-AS Intercity Ltd., RU
93.171.48.0/20 #AS41575 INTERCITY-AS Intercity Ltd., RU
93.171.80.0/20 #AS41575 INTERCITY-AS Intercity Ltd., RU
93.171.104.0/21 #AS41575 INTERCITY-AS Intercity Ltd., RU
95.46.34.0/23 #AS41575 INTERCITY-AS Intercity Ltd., RU
95.46.48.0/20 #AS41575 INTERCITY-AS Intercity Ltd., RU
95.46.144.0/24 #AS41575 INTERCITY-AS Intercity Ltd., RU
146.158.32.0/20 #AS41575 INTERCITY-AS Intercity Ltd., RU
62.76.73.0/24 #AS207397 EFIR-MUROM-AS EFIR LLC, RU
91.245.210.0/23 #AS59614 URALMICRO-AS Uralmicro Ltd, RU
176.110.120.0/22 #AS59498 TERALINESVIAZ-AS Teraline Telecom Ltd, RU
176.110.127.0/24 #AS59498 TERALINESVIAZ-AS Teraline Telecom Ltd, RU
185.46.155.0/24 #AS59498 TERALINESVIAZ-AS Teraline Telecom Ltd, RU
