185.104.229.0/24 #AS24631 FANAPTELECOM-FCP, IR
185.104.230.0/23 #AS24631 FANAPTELECOM-FCP, IR
185.142.232.0/24 #AS24631 FANAPTELECOM-FCP, IR
185.153.184.0/22 #AS24631 FANAPTELECOM-FCP, IR
185.208.148.0/23 #AS24631 FANAPTELECOM-FCP, IR
188.75.64.0/20 #AS24631 FANAPTELECOM-FCP, IR
188.75.80.0/21 #AS24631 FANAPTELECOM-FCP, IR
188.75.88.0/22 #AS24631 FANAPTELECOM-FCP, IR
188.75.93.0/24 #AS24631 FANAPTELECOM-FCP, IR
188.75.95.0/24 #AS24631 FANAPTELECOM-FCP, IR
188.75.96.0/22 #AS24631 FANAPTELECOM-FCP, IR
188.75.100.0/23 #AS24631 FANAPTELECOM-FCP, IR
188.75.104.0/23 #AS24631 FANAPTELECOM-FCP, IR
188.75.106.0/24 #AS24631 FANAPTELECOM-FCP, IR
188.75.108.0/24 #AS24631 FANAPTELECOM-FCP, IR
188.75.118.0/23 #AS24631 FANAPTELECOM-FCP, IR
188.75.120.0/23 #AS24631 FANAPTELECOM-FCP, IR
188.75.124.0/22 #AS24631 FANAPTELECOM-FCP, IR
188.136.130.0/24 #AS24631 FANAPTELECOM-FCP, IR
188.136.133.0/24 #AS24631 FANAPTELECOM-FCP, IR
188.136.142.0/23 #AS24631 FANAPTELECOM-FCP, IR
188.136.144.0/24 #AS24631 FANAPTELECOM-FCP, IR
188.136.152.0/22 #AS24631 FANAPTELECOM-FCP, IR
188.136.156.0/24 #AS24631 FANAPTELECOM-FCP, IR
188.136.160.0/24 #AS24631 FANAPTELECOM-FCP, IR
188.136.162.0/24 #AS24631 FANAPTELECOM-FCP, IR
188.136.165.0/24 #AS24631 FANAPTELECOM-FCP, IR
188.136.190.0/23 #AS24631 FANAPTELECOM-FCP, IR
188.136.196.0/24 #AS24631 FANAPTELECOM-FCP, IR
213.195.0.0/20 #AS24631 FANAPTELECOM-FCP, IR
217.66.192.0/22 #AS24631 FANAPTELECOM-FCP, IR
217.66.198.0/23 #AS24631 FANAPTELECOM-FCP, IR
217.66.200.0/21 #AS24631 FANAPTELECOM-FCP, IR
217.66.209.0/24 #AS24631 FANAPTELECOM-FCP, IR
217.66.210.0/24 #AS24631 FANAPTELECOM-FCP, IR
217.66.212.0/22 #AS24631 FANAPTELECOM-FCP, IR
217.66.216.0/21 #AS24631 FANAPTELECOM-FCP, IR
217.146.208.0/20 #AS24631 FANAPTELECOM-FCP, IR
185.122.80.0/22 #AS24707 NIOPDC, IR
192.175.48.1/32 #AS24737 IRPOST-QAZVIN, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS24741 IRPOST-KURDESTAN, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS24779 IRPOST-KERMAN, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS24988 IRPOST-HORMOZGAN, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
81.91.128.0/20 #AS25124 DATAK **********Rightel Communication Service Company PJS**********, IR
91.184.80.0/20 #AS25124 DATAK **********Rightel Communication Service Company PJS**********, IR
109.162.128.0/18 #AS25124 DATAK **********Rightel Communication Service Company PJS**********, IR
109.162.192.0/19 #AS25124 DATAK **********Rightel Communication Service Company PJS**********, IR
109.162.224.0/20 #AS25124 DATAK **********Rightel Communication Service Company PJS**********, IR
213.207.208.0/20 #AS25124 DATAK **********Rightel Communication Service Company PJS**********, IR
213.207.240.0/20 #AS25124 DATAK **********Rightel Communication Service Company PJS**********, IR
31.14.112.0/20 #AS25184 AFRANET to AS62265 announce AS25184, IR
31.47.32.0/19 #AS25184 AFRANET to AS62265 announce AS25184, IR
46.38.144.0/24 #AS25184 AFRANET to AS62265 announce AS25184, IR
46.102.128.0/20 #AS25184 AFRANET to AS62265 announce AS25184, IR
78.109.192.0/20 #AS25184 AFRANET to AS62265 announce AS25184, IR
79.175.128.0/18 #AS25184 AFRANET to AS62265 announce AS25184, IR
80.75.0.0/20 #AS25184 AFRANET to AS62265 announce AS25184, IR
81.90.144.0/20 #AS25184 AFRANET to AS62265 announce AS25184, IR
86.104.32.0/20 #AS25184 AFRANET to AS62265 announce AS25184, IR
93.113.224.0/20 #AS25184 AFRANET to AS62265 announce AS25184, IR
185.3.125.0/24 #AS25184 AFRANET to AS62265 announce AS25184, IR
185.3.126.0/23 #AS25184 AFRANET to AS62265 announce AS25184, IR
217.11.16.0/20 #AS25184 AFRANET to AS62265 announce AS25184, IR
192.175.48.1/32 #AS25202 IRPOST-GOLESTAN, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS25207 IRPOST-RAZAVI, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS25239 IRPOST-HAMEDAN, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS25243 IRPOST-YAZD, IR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
109.206.252.0/24 #AS25264 AADP, IR
109.206.254.0/23 #AS25264 AADP, IR
185.105.184.0/22 #AS25264 AADP, IR
81.28.32.0/19 #AS25306 INSTITUTE-ISIRAN Tehran,Iran, IR
194.225.101.0/24 #AS25306 INSTITUTE-ISIRAN Tehran,Iran, IR
