87.239.120.0/21 #AS39662 FI-FICORA-AS Finnish Transport and Communications Agency, FI
82.181.0.0/16 #AS16086 DNA DNA Oyj, FI
82.203.128.0/17 #AS16086 DNA DNA Oyj, FI
83.100.0.0/17 #AS16086 DNA DNA Oyj, FI
83.102.0.0/17 #AS16086 DNA DNA Oyj, FI
84.253.192.0/18 #AS16086 DNA DNA Oyj, FI
85.23.0.0/16 #AS16086 DNA DNA Oyj, FI
85.131.0.0/17 #AS16086 DNA DNA Oyj, FI
87.92.0.0/14 #AS16086 DNA DNA Oyj, FI
87.100.128.0/17 #AS16086 DNA DNA Oyj, FI
88.148.128.0/17 #AS16086 DNA DNA Oyj, FI
89.27.0.0/17 #AS16086 DNA DNA Oyj, FI
89.166.0.0/17 #AS16086 DNA DNA Oyj, FI
91.145.64.0/18 #AS16086 DNA DNA Oyj, FI
109.108.0.0/19 #AS16086 DNA DNA Oyj, FI
143.51.128.0/17 #AS16086 DNA DNA Oyj, FI
146.211.0.0/16 #AS16086 DNA DNA Oyj, FI
157.94.16.0/24 #AS16086 DNA DNA Oyj, FI
157.200.0.0/16 #AS16086 DNA DNA Oyj, FI
159.255.224.0/19 #AS16086 DNA DNA Oyj, FI
176.93.0.0/16 #AS16086 DNA DNA Oyj, FI
178.55.0.0/16 #AS16086 DNA DNA Oyj, FI
178.75.128.0/18 #AS16086 DNA DNA Oyj, FI
185.15.212.0/22 #AS16086 DNA DNA Oyj, FI
185.158.162.0/24 #AS16086 DNA DNA Oyj, FI
185.174.24.0/22 #AS16086 DNA DNA Oyj, FI
185.196.4.0/22 #AS16086 DNA DNA Oyj, FI
188.67.0.0/16 #AS16086 DNA DNA Oyj, FI
188.94.64.0/21 #AS16086 DNA DNA Oyj, FI
192.102.52.0/24 #AS16086 DNA DNA Oyj, FI
192.107.200.0/21 #AS16086 DNA DNA Oyj, FI
192.107.208.0/20 #AS16086 DNA DNA Oyj, FI
192.107.224.0/21 #AS16086 DNA DNA Oyj, FI
193.142.247.0/24 #AS16086 DNA DNA Oyj, FI
193.143.70.0/23 #AS16086 DNA DNA Oyj, FI
193.143.73.0/24 #AS16086 DNA DNA Oyj, FI
193.143.79.0/24 #AS16086 DNA DNA Oyj, FI
193.143.80.0/21 #AS16086 DNA DNA Oyj, FI
193.143.88.0/23 #AS16086 DNA DNA Oyj, FI
193.143.91.0/24 #AS16086 DNA DNA Oyj, FI
193.143.93.0/24 #AS16086 DNA DNA Oyj, FI
193.143.94.0/23 #AS16086 DNA DNA Oyj, FI
193.234.216.0/22 #AS16086 DNA DNA Oyj, FI
194.100.0.0/16 #AS16086 DNA DNA Oyj, FI
194.145.32.0/20 #AS16086 DNA DNA Oyj, FI
194.145.48.0/22 #AS16086 DNA DNA Oyj, FI
194.145.52.0/24 #AS16086 DNA DNA Oyj, FI
195.8.60.0/23 #AS16086 DNA DNA Oyj, FI
195.10.128.0/18 #AS16086 DNA DNA Oyj, FI
195.95.208.0/23 #AS16086 DNA DNA Oyj, FI
212.50.128.0/19 #AS16086 DNA DNA Oyj, FI
212.86.0.0/19 #AS16086 DNA DNA Oyj, FI
212.90.64.0/19 #AS16086 DNA DNA Oyj, FI
212.146.0.0/18 #AS16086 DNA DNA Oyj, FI
212.149.128.0/17 #AS16086 DNA DNA Oyj, FI
213.139.160.0/19 #AS16086 DNA DNA Oyj, FI
213.141.96.0/19 #AS16086 DNA DNA Oyj, FI
213.186.224.0/19 #AS16086 DNA DNA Oyj, FI
213.216.192.0/18 #AS16086 DNA DNA Oyj, FI
213.243.128.0/18 #AS16086 DNA DNA Oyj, FI
217.78.192.0/19 #AS16086 DNA DNA Oyj, FI
185.50.244.0/22 #AS62022 ESPOO-FI City of Espoo, FI
80.71.192.0/20 #AS20798 EPTE-FI EPTE Oy, FI
185.250.132.0/22 #AS39278 CUSTOMIT-AS CustomIT Oy, FI
185.36.148.0/22 #AS200134 IPCONNECT IP-Connect AB, FI
193.181.196.0/23 #AS200134 IPCONNECT IP-Connect AB, FI
193.234.48.0/22 #AS200134 IPCONNECT IP-Connect AB, FI
194.71.144.0/23 #AS200134 IPCONNECT IP-Connect AB, FI
194.132.144.0/23 #AS200134 IPCONNECT IP-Connect AB, FI
45.8.128.0/22 #AS199508 S1NETWORKS-AS S1 Networks Oy, FI
62.220.224.0/22 #AS199508 S1NETWORKS-AS S1 Networks Oy, FI
62.220.252.0/22 #AS199508 S1NETWORKS-AS S1 Networks Oy, FI
85.194.236.0/23 #AS199508 S1NETWORKS-AS S1 Networks Oy, FI
89.41.48.0/24 #AS199508 S1NETWORKS-AS S1 Networks Oy, FI
89.42.43.0/24 #AS199508 S1NETWORKS-AS S1 Networks Oy, FI
185.11.208.0/22 #AS199508 S1NETWORKS-AS S1 Networks Oy, FI
185.195.149.0/24 #AS199508 S1NETWORKS-AS S1 Networks Oy, FI
185.195.150.0/23 #AS199508 S1NETWORKS-AS S1 Networks Oy, FI
194.110.224.0/21 #AS199508 S1NETWORKS-AS S1 Networks Oy, FI
194.110.232.0/22 #AS199508 S1NETWORKS-AS S1 Networks Oy, FI
195.20.149.0/24 #AS199508 S1NETWORKS-AS S1 Networks Oy, FI
195.192.250.0/23 #AS199508 S1NETWORKS-AS S1 Networks Oy, FI
45.154.68.0/22 #AS30798 TNNET-AS TNNet Oy, FI
62.204.0.0/19 #AS30798 TNNET-AS TNNet Oy, FI
89.236.64.0/18 #AS30798 TNNET-AS TNNet Oy, FI
213.185.32.0/19 #AS30798 TNNET-AS TNNet Oy, FI
217.112.240.0/20 #AS30798 TNNET-AS TNNet Oy, FI
109.69.36.0/22 #AS200630 VALTORI-DC-AS Valtion tieto - Ja viestintatekniikkakeskus Valtori, FI
5.253.72.0/22 #AS209457 EPSHP-FI Etela-Pohjanmaan Hyvinvointialue, FI
91.220.241.0/24 #AS52004 STOCKMANN-AS Lindex Group Oyj, FI
185.52.164.0/22 #AS52004 STOCKMANN-AS Lindex Group Oyj, FI
185.230.198.0/24 #AS211929 KUUSAMO Kuusamon kaupunki, FI
45.82.148.0/22 #AS208599 KALAJOENKUITU Lounea Palvelut Oy, FI
193.106.8.0/22 #AS215722 LAPIT-AS LapIT Oy, FI
185.82.144.0/22 #AS41993 CLOUDCENTER Cloud Center Finland Oy, FI
185.196.4.0/23 #AS214494 OYKARLFAZERAB Oy Karl Fazer Ab, FI
185.196.6.0/24 #AS214494 OYKARLFAZERAB Oy Karl Fazer Ab, FI
193.23.20.0/22 #AS210252 MINTLY Mintly Oy, FI
91.224.160.0/23 #AS34801 ASNUCODE Magna Capax Finland Oy, FI
91.224.228.0/23 #AS34801 ASNUCODE Magna Capax Finland Oy, FI
158.90.16.0/22 #AS60869 JSVOY-AS Jarvi-Suomen Valokuitu Oy, FI
158.90.32.0/20 #AS60869 JSVOY-AS Jarvi-Suomen Valokuitu Oy, FI
158.90.52.0/23 #AS60869 JSVOY-AS Jarvi-Suomen Valokuitu Oy, FI
158.90.54.0/24 #AS60869 JSVOY-AS Jarvi-Suomen Valokuitu Oy, FI
158.90.80.0/21 #AS60869 JSVOY-AS Jarvi-Suomen Valokuitu Oy, FI
185.171.176.0/22 #AS206927 BITTIUM Bittium Technologies Oy, FI
80.246.160.0/20 #AS16228 AS-VERKKOPALVELUT Pohjoisen Keski-Suomen Verkkopalvelut Oy, FI
185.40.17.0/24 #AS211799 TAIVALKOSKI Taivalkosken kunta, FI
46.254.209.0/24 #AS204779 LOCALNETFI Local Loop Oy, FI
46.254.212.0/22 #AS204779 LOCALNETFI Local Loop Oy, FI
185.185.168.0/22 #AS204779 LOCALNETFI Local Loop Oy, FI
185.128.160.0/22 #AS60903 TYRNAVA-AS Tyrnavan kunta, FI
109.68.128.0/21 #AS202246 VALOO Valoo Oy, FI
109.204.176.0/20 #AS202246 VALOO Valoo Oy, FI
171.22.241.0/24 #AS202246 VALOO Valoo Oy, FI
178.22.16.0/21 #AS202246 VALOO Valoo Oy, FI
185.25.200.0/22 #AS202246 VALOO Valoo Oy, FI
185.128.16.0/22 #AS202246 VALOO Valoo Oy, FI
185.33.72.0/22 #AS213070 MEDIAM-INT-AS Mediam Group Oy, FI
195.191.122.0/23 #AS50603 ARTIO-AS Artio Oy, FI
87.254.204.0/23 #AS28723 NOKIA-INDIA Nokia Oyj, FI
87.254.206.0/24 #AS28723 NOKIA-INDIA Nokia Oyj, FI
93.183.16.0/23 #AS28723 NOKIA-INDIA Nokia Oyj, FI
93.183.28.0/23 #AS28723 NOKIA-INDIA Nokia Oyj, FI
93.183.30.0/24 #AS28723 NOKIA-INDIA Nokia Oyj, FI
131.228.64.0/21 #AS28723 NOKIA-INDIA Nokia Oyj, FI
131.228.76.0/24 #AS28723 NOKIA-INDIA Nokia Oyj, FI
131.228.80.0/24 #AS28723 NOKIA-INDIA Nokia Oyj, FI
135.249.82.0/24 #AS28723 NOKIA-INDIA Nokia Oyj, FI
135.249.110.0/23 #AS28723 NOKIA-INDIA Nokia Oyj, FI
135.249.132.0/24 #AS28723 NOKIA-INDIA Nokia Oyj, FI
135.249.162.0/23 #AS28723 NOKIA-INDIA Nokia Oyj, FI
135.250.125.0/24 #AS28723 NOKIA-INDIA Nokia Oyj, FI
135.250.127.0/24 #AS28723 NOKIA-INDIA Nokia Oyj, FI
135.250.171.0/24 #AS28723 NOKIA-INDIA Nokia Oyj, FI
135.250.242.0/23 #AS28723 NOKIA-INDIA Nokia Oyj, FI
37.114.84.0/23 #AS198514 ALSOCLOUDOY ALSO Cloud Oy, FI
37.98.128.0/20 #AS57732 IPPOY-AS Ikaalisten-Parkanon Puhelin Osakeyhtio Ltd, FI
62.106.48.0/20 #AS57732 IPPOY-AS Ikaalisten-Parkanon Puhelin Osakeyhtio Ltd, FI
85.209.168.0/22 #AS57732 IPPOY-AS Ikaalisten-Parkanon Puhelin Osakeyhtio Ltd, FI
185.6.180.0/22 #AS57732 IPPOY-AS Ikaalisten-Parkanon Puhelin Osakeyhtio Ltd, FI
195.60.204.0/22 #AS57732 IPPOY-AS Ikaalisten-Parkanon Puhelin Osakeyhtio Ltd, FI
185.10.196.0/22 #AS61340 PROG-IT Prog-It Oy, FI
195.226.202.0/24 #AS204452 VRK-AS Vaestorekisterikeskus, FI
185.85.96.0/22 #AS200905 LIAISONTECH Open Text Oy, FI
37.153.133.0/24 #AS216421 ADVEN Adven Group Oy, FI
194.103.214.0/24 #AS216421 ADVEN Adven Group Oy, FI
164.5.0.0/17 #AS208272 VR-AS-FI VR-Group Ltd, FI
164.5.130.0/23 #AS208272 VR-AS-FI VR-Group Ltd, FI
164.5.132.0/22 #AS208272 VR-AS-FI VR-Group Ltd, FI
164.5.136.0/21 #AS208272 VR-AS-FI VR-Group Ltd, FI
164.5.144.0/20 #AS208272 VR-AS-FI VR-Group Ltd, FI
45.157.104.0/22 #AS212664 PORI-ENERGIA Pori Energia Oy, FI
185.173.152.0/22 #AS47983 OPTIMESYS Cinia Oy, FI
109.69.120.0/21 #AS56900 WESTLINK Lansilinkki Oy, FI
185.163.12.0/24 #AS207202 LIGHTHOUSE Lighthouse Network Ltd Oy, FI
31.47.64.0/21 #AS199486 TIETOKESKUS-AS Tietokeskus Finland Oy, FI
185.214.156.0/22 #AS199486 TIETOKESKUS-AS Tietokeskus Finland Oy, FI
45.151.128.0/22 #AS207265 REMEDY Remedy Entertainment Oyj, FI
89.190.0.0/19 #AS199087 KASENET KaseNet Oy, FI
188.95.66.0/24 #AS203486 PALVELINPUISTO Palvelinpuisto Oy, FI
81.22.240.0/20 #AS39324 MEDIAM-AS Mediam Group Oy, FI
185.179.236.0/22 #AS39324 MEDIAM-AS Mediam Group Oy, FI
217.64.32.0/20 #AS39324 MEDIAM-AS Mediam Group Oy, FI
91.224.4.0/23 #AS52170 HELEN-AS Helen Oy, FI
5.61.92.0/24 #AS31389 ATOMIDATA-AS Atomidata Oy, FI
45.14.201.0/24 #AS31389 ATOMIDATA-AS Atomidata Oy, FI
164.5.224.0/21 #AS31389 ATOMIDATA-AS Atomidata Oy, FI
185.151.248.0/22 #AS207390 OSAO Koulutuskuntayhtyma OSAO, FI
193.142.63.0/24 #AS207670 KUNTARAHOITUS Kuntarahoitus Oyj, FI
193.142.100.0/24 #AS207670 KUNTARAHOITUS Kuntarahoitus Oyj, FI
192.81.123.0/24 #AS61990 VAISALA Vaisala Oyj, FI
193.143.230.0/24 #AS61990 VAISALA Vaisala Oyj, FI
195.244.88.0/23 #AS200444 GLH1 Glenn Haeger trading as GLH Netsolutions, FI
85.208.92.0/22 #AS8145 GW Trans-Atlantic Communications, FI
204.80.150.0/24 #AS8145 GW Trans-Atlantic Communications, FI
158.127.160.0/22 #AS209875 SANOMA-AS-NL Sanoma Oyj, FI
158.233.224.0/24 #AS201271 NORDEA-AS Nordea Bank Abp, FI
158.233.227.0/24 #AS201271 NORDEA-AS Nordea Bank Abp, FI
158.233.228.0/22 #AS201271 NORDEA-AS Nordea Bank Abp, FI
158.233.232.0/24 #AS201271 NORDEA-AS Nordea Bank Abp, FI
158.233.242.0/23 #AS201271 NORDEA-AS Nordea Bank Abp, FI
158.233.244.0/22 #AS201271 NORDEA-AS Nordea Bank Abp, FI
158.233.248.0/22 #AS201271 NORDEA-AS Nordea Bank Abp, FI
193.234.184.0/23 #AS201271 NORDEA-AS Nordea Bank Abp, FI
45.8.168.0/22 #AS208987 SVV Suomen Videoviestinta SVV Oy, FI
91.234.204.0/23 #AS198443 IRONNET-AS Advania Finland Oy, FI
45.82.108.0/22 #AS57359 PYHANET-AS Pyhanet Oy, FI
62.220.232.0/21 #AS57359 PYHANET-AS Pyhanet Oy, FI
146.19.200.0/24 #AS57359 PYHANET-AS Pyhanet Oy, FI
185.130.64.0/22 #AS57359 PYHANET-AS Pyhanet Oy, FI
185.223.206.0/24 #AS57359 PYHANET-AS Pyhanet Oy, FI
185.242.149.0/24 #AS57359 PYHANET-AS Pyhanet Oy, FI
185.242.150.0/23 #AS57359 PYHANET-AS Pyhanet Oy, FI
195.8.63.0/24 #AS57359 PYHANET-AS Pyhanet Oy, FI
85.136.176.0/24 #AS204187 CREANOVA-AS-DRP Oy Crea Nova Hosting Solution Ltd, FI
91.132.199.0/24 #AS204187 CREANOVA-AS-DRP Oy Crea Nova Hosting Solution Ltd, FI
185.25.94.0/24 #AS207509 VERKKOKAUPPA Verkkokauppa.com Oyj, FI
92.240.152.0/21 #AS59650 LNOY-AS LahtiNetwork Oy, FI
193.104.196.0/24 #AS50296 SCANDICOM Nettia Oy, FI
85.194.224.0/21 #AS201587 KUUSKAISTA verkko-osuuskunta Kuuskaista, FI
185.72.116.0/22 #AS201587 KUUSKAISTA verkko-osuuskunta Kuuskaista, FI
139.74.124.0/24 #AS1780 VALNET Valmet Oyj, FI
139.74.126.0/23 #AS1780 VALNET Valmet Oyj, FI
139.74.128.0/23 #AS1780 VALNET Valmet Oyj, FI
193.135.20.0/24 #AS207282 HUH HUS Group, FI
149.154.120.0/21 #AS198859 ASKESKIKAISTA Osuuskunta Keskikaista, FI
185.131.216.0/22 #AS198859 ASKESKIKAISTA Osuuskunta Keskikaista, FI
185.69.140.0/22 #AS201599 KIMITOTELEFON Kimito Telefonaktiebolag Ltd, FI
130.233.0.0/16 #AS15496 AALTO-UNIVERSITY Aalto University, FI
87.254.194.0/24 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
87.254.196.0/24 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
87.254.213.0/24 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
93.183.31.0/24 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
93.183.52.0/23 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
93.183.54.0/24 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
131.228.8.0/23 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
131.228.13.0/24 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
131.228.32.0/23 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
131.228.38.0/24 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
135.87.8.0/21 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
139.54.0.0/16 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
155.132.0.0/16 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
159.217.0.0/16 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
193.23.132.0/24 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
194.34.56.0/24 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
194.113.59.0/24 #AS200656 NOKIA-EMEA Nokia Solutions and Networks Oy, FI
46.163.192.0/18 #AS51935 SPY-AS BLC Telecom Oy, FI
62.220.240.0/21 #AS51935 SPY-AS BLC Telecom Oy, FI
62.220.248.0/22 #AS51935 SPY-AS BLC Telecom Oy, FI
83.146.160.0/19 #AS51935 SPY-AS BLC Telecom Oy, FI
185.192.24.0/22 #AS51935 SPY-AS BLC Telecom Oy, FI
194.56.151.0/24 #AS48755 ILJOJA-AS ILJOJA Oy, FI
45.88.227.0/24 #AS206381 PINJA Pinja Digital Oy, FI
91.237.151.0/24 #AS206381 PINJA Pinja Digital Oy, FI
185.186.40.0/22 #AS206381 PINJA Pinja Digital Oy, FI
185.249.253.0/24 #AS211599 PROFIRATOR Profirator OY, FI
91.239.117.0/24 #AS211848 PRINTCOM-AS Fraidei Oy, FI
37.16.96.0/20 #AS51691 FSOL-AS F-Solutions Oy, FI
178.213.232.0/21 #AS51691 FSOL-AS F-Solutions Oy, FI
44.30.104.0/24 #AS202858 ALASTAIR Alastair Barber, FI
44.30.126.0/24 #AS202858 ALASTAIR Alastair Barber, FI
94.154.13.0/24 #AS207261 LUOLAKALLIO Luolakallio Oy, FI
185.75.128.0/22 #AS59397 REMOD-AS Remod Oy, FI
198.34.226.0/23 #AS197351 FLUENTSCALE-AS Fluentscale Oy, FI
198.34.228.0/22 #AS197351 FLUENTSCALE-AS Fluentscale Oy, FI
185.50.88.0/22 #AS200711 INM Telia Cygate Oy, FI
81.31.48.0/20 #AS41242 SOFOR-RIPE Sofor Oy, FI
193.142.121.0/24 #AS41242 SOFOR-RIPE Sofor Oy, FI
185.251.112.0/22 #AS60354 RICHIE Richie Ltd, FI
91.232.154.0/23 #AS57692 KAPSI-AS Kapsi Internet-kayttajat ry, FI
91.232.156.0/24 #AS57692 KAPSI-AS Kapsi Internet-kayttajat ry, FI
194.146.111.0/24 #AS57692 KAPSI-AS Kapsi Internet-kayttajat ry, FI
185.47.76.0/22 #AS60156 SDI-AS Solution Design Inc Oy, FI
45.82.16.0/22 #AS52056 HTP-AS Lounea Palvelut Oy, FI
46.23.160.0/20 #AS52056 HTP-AS Lounea Palvelut Oy, FI
185.40.200.0/22 #AS196655 MSOYNET-AS Nivos Energia Oy, FI
193.142.23.0/24 #AS196655 MSOYNET-AS Nivos Energia Oy, FI
185.163.13.0/24 #AS206364 SUOMICOM Suomi Communications Oy, FI
81.20.224.0/20 #AS51188 CRESCOM-AS Telia Cygate Oy, FI
185.166.28.0/22 #AS51188 CRESCOM-AS Telia Cygate Oy, FI
193.28.203.0/24 #AS51188 CRESCOM-AS Telia Cygate Oy, FI
193.93.132.0/22 #AS51188 CRESCOM-AS Telia Cygate Oy, FI
193.93.136.0/22 #AS51188 CRESCOM-AS Telia Cygate Oy, FI
194.28.0.0/22 #AS51188 CRESCOM-AS Telia Cygate Oy, FI
194.187.232.0/22 #AS51188 CRESCOM-AS Telia Cygate Oy, FI
91.123.128.0/20 #AS42540 ATEA-AS Atea Finland Oy, FI
185.43.120.0/22 #AS42540 ATEA-AS Atea Finland Oy, FI
45.66.192.0/22 #AS209325 LINECARRIER Line Carrier Oy, FI
77.234.96.0/19 #AS42885 PARTEL Paraisten Puhelin Oy, FI
185.225.120.0/22 #AS42885 PARTEL Paraisten Puhelin Oy, FI
89.190.6.0/24 #AS206125 TIMNET Nicklas Yli-Lantta, FI
134.37.0.0/16 #AS25213 CARGOTEC-CORPORATE-AS Hiab Oyj, FI
185.147.20.0/22 #AS203034 PLANMECA Planmeca oy, FI
193.105.76.0/24 #AS8236 DNA-CE DNA Oyj, FI
195.234.142.0/24 #AS8236 DNA-CE DNA Oyj, FI
195.234.196.0/22 #AS8236 DNA-CE DNA Oyj, FI
45.95.8.0/24 #AS211215 FIBERNET Fibernet Finland Oy, FI
164.5.216.0/21 #AS211215 FIBERNET Fibernet Finland Oy, FI
176.97.197.0/24 #AS49189 ILJOJANET-AS Joonas Ahonen trading as ILJOJA Networks, FI
146.81.0.0/16 #AS41648 RUUKKI Rautaruukki Oyj, FI
193.201.244.0/22 #AS41561 SRYHMA-AS Suomen Osuuskauppojen Keskuskunta, FI
195.78.70.0/23 #AS41561 SRYHMA-AS Suomen Osuuskauppojen Keskuskunta, FI
130.230.0.0/16 #AS1926 UTANET-AS Tampere University Foundation, FI
153.1.0.0/16 #AS1926 UTANET-AS Tampere University Foundation, FI
46.254.96.0/21 #AS13170 KPO-AS Kaisanet Oy, FI
62.145.160.0/19 #AS13170 KPO-AS Kaisanet Oy, FI
77.223.32.0/19 #AS13170 KPO-AS Kaisanet Oy, FI
85.29.64.0/18 #AS13170 KPO-AS Kaisanet Oy, FI
185.69.36.0/22 #AS13170 KPO-AS Kaisanet Oy, FI
185.69.72.0/22 #AS13170 KPO-AS Kaisanet Oy, FI
212.116.32.0/19 #AS13170 KPO-AS Kaisanet Oy, FI
213.143.160.0/19 #AS13170 KPO-AS Kaisanet Oy, FI
213.145.192.0/19 #AS13170 KPO-AS Kaisanet Oy, FI
213.255.164.0/24 #AS13170 KPO-AS Kaisanet Oy, FI
5.83.56.0/21 #AS61395 SYSOPS-FINLAND sysops Finland Oy, FI
185.209.40.0/24 #AS214100 RUBYNET-AS RubyNet Oy, FI
80.83.0.0/20 #AS29243 MMD-AS Domainkeskus Oy, FI
109.163.208.0/21 #AS29243 MMD-AS Domainkeskus Oy, FI
185.168.212.0/22 #AS29243 MMD-AS Domainkeskus Oy, FI
193.143.74.0/24 #AS213524 OE-AS Oulun Energia Oy, FI
185.220.76.0/22 #AS202509 CLOUDCITY Cloud City Oy, FI
194.107.113.0/24 #AS202509 CLOUDCITY Cloud City Oy, FI
87.254.192.0/21 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
87.254.209.0/24 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
87.254.210.0/23 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
87.254.212.0/24 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
87.254.214.0/23 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
87.254.216.0/21 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
93.183.0.0/21 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
93.183.12.0/23 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
93.183.15.0/24 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
93.183.20.0/23 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
93.183.25.0/24 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
93.183.26.0/24 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
131.228.0.0/21 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
131.228.14.0/24 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
135.87.38.0/23 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
135.245.192.0/18 #AS8983 NOKIA-AS Nokia Solutions and Networks Oy, FI
185.139.168.0/22 #AS203296 DEI Kristillinen Media Oy, FI
37.16.100.0/22 #AS60109 FSOL-AS-VECTOR F-Solutions Oy, FI
37.16.108.0/24 #AS60109 FSOL-AS-VECTOR F-Solutions Oy, FI
185.57.180.0/22 #AS60109 FSOL-AS-VECTOR F-Solutions Oy, FI
185.77.244.0/22 #AS29240 LANWAN-AS Loihde Trust Oy, FI
185.118.224.0/22 #AS29240 LANWAN-AS Loihde Trust Oy, FI
185.217.236.0/22 #AS29240 LANWAN-AS Loihde Trust Oy, FI
185.244.244.0/22 #AS29240 LANWAN-AS Loihde Trust Oy, FI
192.103.85.0/24 #AS29240 LANWAN-AS Loihde Trust Oy, FI
193.142.1.0/24 #AS29240 LANWAN-AS Loihde Trust Oy, FI
193.142.16.0/23 #AS29240 LANWAN-AS Loihde Trust Oy, FI
195.225.176.0/22 #AS29240 LANWAN-AS Loihde Trust Oy, FI
213.255.160.0/19 #AS29240 LANWAN-AS Loihde Trust Oy, FI
2.58.88.0/22 #AS209123 RBIT-AS rBit Ab, FI
185.85.52.0/22 #AS201139 FI-ALAVUS-AS Alavuden Kaupunki, FI
185.153.232.0/24 #AS212574 F9-IP-1 F9 Distribution Oy, FI
185.251.48.0/22 #AS28883 SAMLINK-AS Oy Samlink Ab, FI
194.240.69.0/24 #AS28883 SAMLINK-AS Oy Samlink Ab, FI
195.237.80.0/24 #AS28883 SAMLINK-AS Oy Samlink Ab, FI
5.250.160.0/21 #AS41369 DATACENTER-AS Advania Finland Oy, FI
77.240.16.0/23 #AS41369 DATACENTER-AS Advania Finland Oy, FI
77.240.24.0/21 #AS41369 DATACENTER-AS Advania Finland Oy, FI
79.171.224.0/21 #AS41369 DATACENTER-AS Advania Finland Oy, FI
80.242.16.0/20 #AS41369 DATACENTER-AS Advania Finland Oy, FI
89.250.48.0/20 #AS41369 DATACENTER-AS Advania Finland Oy, FI
91.213.97.0/24 #AS41369 DATACENTER-AS Advania Finland Oy, FI
93.191.120.0/21 #AS41369 DATACENTER-AS Advania Finland Oy, FI
94.199.112.0/21 #AS41369 DATACENTER-AS Advania Finland Oy, FI
185.87.244.0/22 #AS41369 DATACENTER-AS Advania Finland Oy, FI
185.136.20.0/22 #AS41369 DATACENTER-AS Advania Finland Oy, FI
185.145.172.0/22 #AS41369 DATACENTER-AS Advania Finland Oy, FI
194.48.220.0/22 #AS41369 DATACENTER-AS Advania Finland Oy, FI
195.60.252.0/22 #AS41369 DATACENTER-AS Advania Finland Oy, FI
185.163.56.0/22 #AS205449 DEVNET DevNet Oy, FI
185.218.88.0/22 #AS205449 DEVNET DevNet Oy, FI
91.216.79.0/24 #AS41666 PYRO-AS Institute for Pyrotechnical Cleaning (limited company), FI
195.138.203.0/24 #AS41666 PYRO-AS Institute for Pyrotechnical Cleaning (limited company), FI
85.202.201.0/24 #AS206860 OULUNKAARI LapIT Oy, FI
178.251.144.0/21 #AS51319 KAJONET KajoNet Oy, FI
185.164.8.0/22 #AS51319 KAJONET KajoNet Oy, FI
31.15.124.0/22 #AS50290 VK-VALTORI-AS Valtion tieto - Ja viestintatekniikkakeskus Valtori, FI
46.30.130.0/23 #AS50290 VK-VALTORI-AS Valtion tieto - Ja viestintatekniikkakeskus Valtori, FI
46.30.132.0/22 #AS50290 VK-VALTORI-AS Valtion tieto - Ja viestintatekniikkakeskus Valtori, FI
109.69.32.0/22 #AS50290 VK-VALTORI-AS Valtion tieto - Ja viestintatekniikkakeskus Valtori, FI
185.74.174.0/24 #AS50290 VK-VALTORI-AS Valtion tieto - Ja viestintatekniikkakeskus Valtori, FI
44.139.0.0/16 #AS34387 NETCREW Netcrew ry, FI
85.188.0.0/18 #AS34387 NETCREW Netcrew ry, FI
80.66.160.0/20 #AS51728 SELTIMIL-AS Seltimil Oy, FI
91.190.192.0/21 #AS51728 SELTIMIL-AS Seltimil Oy, FI
146.66.24.0/22 #AS51728 SELTIMIL-AS Seltimil Oy, FI
