45.131.62.0/23 #AS6848 TELENET-AS, BE
46.253.160.0/20 #AS6848 TELENET-AS, BE
62.205.64.0/18 #AS6848 TELENET-AS, BE
78.20.0.0/14 #AS6848 TELENET-AS, BE
78.24.168.0/21 #AS6848 TELENET-AS, BE
78.29.192.0/18 #AS6848 TELENET-AS, BE
81.82.0.0/15 #AS6848 TELENET-AS, BE
81.164.0.0/15 #AS6848 TELENET-AS, BE
82.143.64.0/18 #AS6848 TELENET-AS, BE
82.210.64.0/19 #AS6848 TELENET-AS, BE
83.217.128.0/19 #AS6848 TELENET-AS, BE
84.192.0.0/13 #AS6848 TELENET-AS, BE
85.28.64.0/18 #AS6848 TELENET-AS, BE
85.118.208.0/21 #AS6848 TELENET-AS, BE
85.255.192.0/20 #AS6848 TELENET-AS, BE
91.241.79.0/24 #AS6848 TELENET-AS, BE
94.72.64.0/19 #AS6848 TELENET-AS, BE
94.104.96.0/19 #AS6848 TELENET-AS, BE
94.104.192.0/19 #AS6848 TELENET-AS, BE
94.110.0.0/18 #AS6848 TELENET-AS, BE
94.110.96.0/19 #AS6848 TELENET-AS, BE
94.110.128.0/18 #AS6848 TELENET-AS, BE
94.110.192.0/19 #AS6848 TELENET-AS, BE
94.111.0.0/17 #AS6848 TELENET-AS, BE
94.111.224.0/19 #AS6848 TELENET-AS, BE
94.224.0.0/14 #AS6848 TELENET-AS, BE
141.134.0.0/15 #AS6848 TELENET-AS, BE
155.73.100.0/24 #AS6848 TELENET-AS, BE
157.173.128.0/18 #AS6848 TELENET-AS, BE
176.62.136.0/21 #AS6848 TELENET-AS, BE
178.116.0.0/14 #AS6848 TELENET-AS, BE
185.23.244.0/22 #AS6848 TELENET-AS, BE
185.29.5.0/24 #AS6848 TELENET-AS, BE
185.29.6.0/23 #AS6848 TELENET-AS, BE
185.30.52.0/22 #AS6848 TELENET-AS, BE
185.32.168.0/23 #AS6848 TELENET-AS, BE
185.32.170.0/24 #AS6848 TELENET-AS, BE
185.35.52.0/22 #AS6848 TELENET-AS, BE
185.143.188.0/24 #AS6848 TELENET-AS, BE
185.152.56.0/22 #AS6848 TELENET-AS, BE
185.158.184.0/23 #AS6848 TELENET-AS, BE
185.158.187.0/24 #AS6848 TELENET-AS, BE
185.248.40.0/22 #AS6848 TELENET-AS, BE
188.44.64.0/19 #AS6848 TELENET-AS, BE
188.95.146.0/23 #AS6848 TELENET-AS, BE
188.137.192.0/19 #AS6848 TELENET-AS, BE
188.188.0.0/15 #AS6848 TELENET-AS, BE
193.53.37.0/24 #AS6848 TELENET-AS, BE
193.58.40.0/23 #AS6848 TELENET-AS, BE
193.58.160.0/22 #AS6848 TELENET-AS, BE
193.104.159.0/24 #AS6848 TELENET-AS, BE
193.108.201.0/24 #AS6848 TELENET-AS, BE
193.110.92.0/24 #AS6848 TELENET-AS, BE
193.149.246.0/23 #AS6848 TELENET-AS, BE
193.242.101.0/24 #AS6848 TELENET-AS, BE
194.8.52.0/24 #AS6848 TELENET-AS, BE
194.62.73.0/24 #AS6848 TELENET-AS, BE
194.110.151.0/24 #AS6848 TELENET-AS, BE
194.242.58.0/24 #AS6848 TELENET-AS, BE
195.16.0.0/19 #AS6848 TELENET-AS, BE
195.130.128.0/19 #AS6848 TELENET-AS, BE
195.162.192.0/19 #AS6848 TELENET-AS, BE
195.234.32.0/24 #AS6848 TELENET-AS, BE
212.76.224.0/19 #AS6848 TELENET-AS, BE
212.88.224.0/19 #AS6848 TELENET-AS, BE
212.123.0.0/19 #AS6848 TELENET-AS, BE
213.118.0.0/15 #AS6848 TELENET-AS, BE
213.132.128.0/19 #AS6848 TELENET-AS, BE
213.214.32.0/19 #AS6848 TELENET-AS, BE
213.224.0.0/16 #AS6848 TELENET-AS, BE
213.251.64.0/18 #AS6848 TELENET-AS, BE
217.72.224.0/20 #AS6848 TELENET-AS, BE
217.168.120.0/21 #AS6848 TELENET-AS, BE
193.218.193.0/24 #AS8221 ISABEL Isabel Group, BE
193.218.194.0/23 #AS8221 ISABEL Isabel Group, BE
193.218.199.0/24 #AS8221 ISABEL Isabel Group, BE
195.122.96.0/19 #AS8221 ISABEL Isabel Group, BE
192.175.48.1/32 #AS8227 CODENET-AS, BE - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
2.59.136.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
31.3.72.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
37.26.176.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
45.91.123.0/24 #AS8368 DSTNY-BACKBONE International Backbone, BE
45.134.192.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
45.149.96.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
46.243.24.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
46.247.160.0/19 #AS8368 DSTNY-BACKBONE International Backbone, BE
62.213.192.0/19 #AS8368 DSTNY-BACKBONE International Backbone, BE
62.213.238.0/24 #AS8368 DSTNY-BACKBONE International Backbone, BE
78.41.64.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
78.110.192.0/20 #AS8368 DSTNY-BACKBONE International Backbone, BE
80.88.152.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
80.253.192.0/20 #AS8368 DSTNY-BACKBONE International Backbone, BE
82.146.96.0/19 #AS8368 DSTNY-BACKBONE International Backbone, BE
82.150.128.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
85.119.240.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
85.158.105.0/24 #AS8368 DSTNY-BACKBONE International Backbone, BE
85.158.106.0/23 #AS8368 DSTNY-BACKBONE International Backbone, BE
85.158.208.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
87.237.8.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
88.82.32.0/19 #AS8368 DSTNY-BACKBONE International Backbone, BE
89.35.16.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
89.37.84.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
89.41.44.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
89.41.52.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
89.250.176.0/20 #AS8368 DSTNY-BACKBONE International Backbone, BE
91.197.108.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
91.212.215.0/24 #AS8368 DSTNY-BACKBONE International Backbone, BE
91.236.192.0/24 #AS8368 DSTNY-BACKBONE International Backbone, BE
92.118.212.0/23 #AS8368 DSTNY-BACKBONE International Backbone, BE
94.127.48.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
94.140.160.0/19 #AS8368 DSTNY-BACKBONE International Backbone, BE
94.143.80.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
94.158.248.0/24 #AS8368 DSTNY-BACKBONE International Backbone, BE
94.158.250.0/24 #AS8368 DSTNY-BACKBONE International Backbone, BE
94.247.160.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
95.36.80.0/20 #AS8368 DSTNY-BACKBONE International Backbone, BE
95.128.100.0/22 #AS8368 DSTNY-BACKBONE International Backbone, BE
95.171.160.0/19 #AS8368 DSTNY-BACKBONE International Backbone, BE
109.70.48.0/21 #AS8368 DSTNY-BACKBONE International Backbone, BE
