201.220.25.0/24 #AS52445 FINANCIERA PARAGUAYO JAPONESA S.A., PY
131.72.24.0/22 #AS52455 TEMPUS GROUP S.A., PY
170.233.216.0/22 #AS52455 TEMPUS GROUP S.A., PY
190.113.92.0/22 #AS52455 TEMPUS GROUP S.A., PY
38.52.132.0/22 #AS61512 GIG@NET SOCIEDAD ANONIMA, PY
38.57.60.0/23 #AS61512 GIG@NET SOCIEDAD ANONIMA, PY
45.161.236.0/22 #AS61512 GIG@NET SOCIEDAD ANONIMA, PY
45.170.128.0/22 #AS61512 GIG@NET SOCIEDAD ANONIMA, PY
143.255.140.0/22 #AS61512 GIG@NET SOCIEDAD ANONIMA, PY
192.175.48.1/32 #AS64159 IX CDE SOCIEDAD ANONIMA, PY - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
38.211.117.0/24 #AS64165 EXTRA S.A., PY
45.183.62.0/24 #AS64165 EXTRA S.A., PY
192.175.48.1/32 #AS64170 ASOCIACION PARAGUAYA DE PROVEEDORES DE INTERNET Y TELECOMUNICACIONES, PY - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
144.31.38.0/24 #AS199566 DATAPASA-AS, PY
