192.175.48.1/32 #AS58 SSC-299-Z-58 - Shared Services Canada, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
205.237.216.0/21 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.224.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.231.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.243.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.237.244.0/22 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
205.250.194.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.116.86.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.123.48.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.0.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.10.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.12.0/22 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.16.0/22 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.23.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.24.0/22 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.32.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.36.0/22 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.40.0/21 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.49.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.57.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.64.0/22 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.68.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.74.0/24 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.76.0/23 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.80.0/20 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.96.0/19 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
206.167.128.0/17 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
207.162.0.0/17 #AS376 RISQ-AS - Reseau dInformations Scientifiques du Quebec RISQ Inc., CA
128.144.0.0/20 #AS542 ARNET - Alberta Research Council, CA
142.74.1.0/24 #AS566 SSC-299-Z-566 - Shared Services Canada, CA
142.74.2.0/23 #AS566 SSC-299-Z-566 - Shared Services Canada, CA
142.74.4.0/24 #AS566 SSC-299-Z-566 - Shared Services Canada, CA
142.74.8.0/24 #AS566 SSC-299-Z-566 - Shared Services Canada, CA
24.142.116.0/24 #AS577 BACOM - Bell Canada, CA
44.31.12.0/23 #AS577 BACOM - Bell Canada, CA
44.31.14.0/24 #AS577 BACOM - Bell Canada, CA
47.54.2.0/23 #AS577 BACOM - Bell Canada, CA
47.54.20.0/22 #AS577 BACOM - Bell Canada, CA
47.54.72.0/22 #AS577 BACOM - Bell Canada, CA
47.54.88.0/21 #AS577 BACOM - Bell Canada, CA
47.54.96.0/20 #AS577 BACOM - Bell Canada, CA
47.54.124.0/22 #AS577 BACOM - Bell Canada, CA
47.54.128.0/22 #AS577 BACOM - Bell Canada, CA
47.54.148.0/22 #AS577 BACOM - Bell Canada, CA
47.54.152.0/21 #AS577 BACOM - Bell Canada, CA
47.54.183.0/24 #AS577 BACOM - Bell Canada, CA
47.55.36.0/22 #AS577 BACOM - Bell Canada, CA
47.55.160.0/22 #AS577 BACOM - Bell Canada, CA
47.55.164.0/24 #AS577 BACOM - Bell Canada, CA
47.55.166.0/23 #AS577 BACOM - Bell Canada, CA
47.55.169.0/24 #AS577 BACOM - Bell Canada, CA
47.55.170.0/23 #AS577 BACOM - Bell Canada, CA
47.55.172.0/22 #AS577 BACOM - Bell Canada, CA
47.55.229.0/24 #AS577 BACOM - Bell Canada, CA
50.100.0.0/15 #AS577 BACOM - Bell Canada, CA
64.34.240.0/24 #AS577 BACOM - Bell Canada, CA
64.42.192.0/18 #AS577 BACOM - Bell Canada, CA
64.228.0.0/15 #AS577 BACOM - Bell Canada, CA
64.230.224.0/24 #AS577 BACOM - Bell Canada, CA
64.230.230.0/23 #AS577 BACOM - Bell Canada, CA
64.231.0.0/16 #AS577 BACOM - Bell Canada, CA
65.92.0.0/14 #AS577 BACOM - Bell Canada, CA
66.38.128.0/17 #AS577 BACOM - Bell Canada, CA
66.201.192.0/18 #AS577 BACOM - Bell Canada, CA
67.68.0.0/14 #AS577 BACOM - Bell Canada, CA
69.156.0.0/14 #AS577 BACOM - Bell Canada, CA
70.24.0.0/13 #AS577 BACOM - Bell Canada, CA
70.48.0.0/13 #AS577 BACOM - Bell Canada, CA
72.28.64.0/21 #AS577 BACOM - Bell Canada, CA
72.28.76.0/24 #AS577 BACOM - Bell Canada, CA
72.28.80.0/20 #AS577 BACOM - Bell Canada, CA
74.12.0.0/14 #AS577 BACOM - Bell Canada, CA
76.64.0.0/13 #AS577 BACOM - Bell Canada, CA
99.192.0.0/22 #AS577 BACOM - Bell Canada, CA
99.192.8.0/22 #AS577 BACOM - Bell Canada, CA
99.192.20.0/22 #AS577 BACOM - Bell Canada, CA
99.192.32.0/22 #AS577 BACOM - Bell Canada, CA
99.192.56.0/22 #AS577 BACOM - Bell Canada, CA
99.192.68.0/22 #AS577 BACOM - Bell Canada, CA
99.192.73.0/24 #AS577 BACOM - Bell Canada, CA
99.192.74.0/23 #AS577 BACOM - Bell Canada, CA
99.192.76.0/22 #AS577 BACOM - Bell Canada, CA
99.192.80.0/23 #AS577 BACOM - Bell Canada, CA
99.192.120.0/24 #AS577 BACOM - Bell Canada, CA
104.88.156.0/22 #AS577 BACOM - Bell Canada, CA
104.98.196.0/22 #AS577 BACOM - Bell Canada, CA
132.225.5.0/24 #AS577 BACOM - Bell Canada, CA
132.225.12.0/24 #AS577 BACOM - Bell Canada, CA
134.41.146.0/23 #AS577 BACOM - Bell Canada, CA
134.41.148.0/22 #AS577 BACOM - Bell Canada, CA
134.41.152.0/22 #AS577 BACOM - Bell Canada, CA
134.41.184.0/21 #AS577 BACOM - Bell Canada, CA
134.41.192.0/21 #AS577 BACOM - Bell Canada, CA
134.41.200.0/22 #AS577 BACOM - Bell Canada, CA
134.41.236.0/22 #AS577 BACOM - Bell Canada, CA
134.41.240.0/20 #AS577 BACOM - Bell Canada, CA
139.142.0.0/16 #AS577 BACOM - Bell Canada, CA
142.68.0.0/22 #AS577 BACOM - Bell Canada, CA
142.68.8.0/23 #AS577 BACOM - Bell Canada, CA
142.68.28.0/22 #AS577 BACOM - Bell Canada, CA
142.68.36.0/22 #AS577 BACOM - Bell Canada, CA
142.68.44.0/22 #AS577 BACOM - Bell Canada, CA
142.68.88.0/21 #AS577 BACOM - Bell Canada, CA
142.68.97.0/24 #AS577 BACOM - Bell Canada, CA
142.68.99.0/24 #AS577 BACOM - Bell Canada, CA
142.68.100.0/22 #AS577 BACOM - Bell Canada, CA
142.68.104.0/21 #AS577 BACOM - Bell Canada, CA
142.68.116.0/22 #AS577 BACOM - Bell Canada, CA
142.68.120.0/21 #AS577 BACOM - Bell Canada, CA
142.68.140.0/22 #AS577 BACOM - Bell Canada, CA
142.68.148.0/22 #AS577 BACOM - Bell Canada, CA
142.68.152.0/21 #AS577 BACOM - Bell Canada, CA
142.68.160.0/21 #AS577 BACOM - Bell Canada, CA
142.68.208.0/22 #AS577 BACOM - Bell Canada, CA
142.68.216.0/21 #AS577 BACOM - Bell Canada, CA
142.68.224.0/20 #AS577 BACOM - Bell Canada, CA
142.68.240.0/21 #AS577 BACOM - Bell Canada, CA
142.68.252.0/22 #AS577 BACOM - Bell Canada, CA
142.73.168.0/23 #AS577 BACOM - Bell Canada, CA
142.73.170.0/24 #AS577 BACOM - Bell Canada, CA
142.112.0.0/14 #AS577 BACOM - Bell Canada, CA
142.116.0.0/15 #AS577 BACOM - Bell Canada, CA
142.118.0.0/16 #AS577 BACOM - Bell Canada, CA
142.119.0.0/17 #AS577 BACOM - Bell Canada, CA
142.120.0.0/16 #AS577 BACOM - Bell Canada, CA
142.122.0.0/16 #AS577 BACOM - Bell Canada, CA
142.126.0.0/15 #AS577 BACOM - Bell Canada, CA
