189.104.180.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.198.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.208.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.212.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.220.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.238.0/23 #AS203061 ITPROXIMUS UAB code200, LT
189.104.244.0/22 #AS203061 ITPROXIMUS UAB code200, LT
193.84.183.0/24 #AS203061 ITPROXIMUS UAB code200, LT
193.104.96.0/24 #AS203061 ITPROXIMUS UAB code200, LT
194.32.116.0/22 #AS203061 ITPROXIMUS UAB code200, LT
213.201.132.0/24 #AS203061 ITPROXIMUS UAB code200, LT
213.201.139.0/24 #AS203061 ITPROXIMUS UAB code200, LT
193.219.8.0/23 #AS35135 LBANK-AS Bank of Lithuania, LT
91.206.140.0/24 #AS35500 WESTERNUNION-AS Western Union Processing Lithuania UAB, LT
193.47.143.0/24 #AS35500 WESTERNUNION-AS Western Union Processing Lithuania UAB, LT
193.34.84.0/22 #AS44246 BITOSIS UAB Bitosis, LT
46.255.208.0/21 #AS42774 BB-AS Blue Bridge MSP UAB, LT
185.141.160.0/22 #AS42774 BB-AS Blue Bridge MSP UAB, LT
194.110.220.0/24 #AS42774 BB-AS Blue Bridge MSP UAB, LT
164.37.43.0/24 #AS197417 DEVORO UAB Devoro, LT
78.24.72.0/22 #AS3266 INTERLINK UAB Porenta, LT
78.24.77.0/24 #AS3266 INTERLINK UAB Porenta, LT
78.24.78.0/23 #AS3266 INTERLINK UAB Porenta, LT
185.216.46.0/24 #AS8892 SKLNK UAB Skylink LT., LT
193.8.246.0/24 #AS8892 SKLNK UAB Skylink LT., LT
185.216.208.0/24 #AS47929 BK-AS UAB Baltnetos komunikacijos, LT
77.90.99.0/24 #AS202725 ZETANETAS UAB Zetanetas, LT
185.168.12.0/22 #AS202725 ZETANETAS UAB Zetanetas, LT
45.135.250.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
46.236.216.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
62.3.20.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
64.204.1.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
79.172.193.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
80.240.89.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
82.29.76.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
82.163.56.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
82.198.252.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
91.124.92.0/23 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
92.114.40.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
151.244.142.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
151.245.214.0/23 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
151.246.32.0/21 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
169.40.64.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
169.40.212.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
169.40.216.0/21 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
178.95.152.0/23 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
185.116.91.0/24 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
217.216.160.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
217.217.0.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
217.217.40.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
217.217.140.0/22 #AS212980 UAB-ATLANTIS-CAPITAL UAB Atlantis Capital, LT
103.230.143.0/24 #AS203098 TECH-INTERNET-BROADBAND trafficforce UAB, LT
185.90.63.0/24 #AS203098 TECH-INTERNET-BROADBAND trafficforce UAB, LT
81.7.108.0/22 #AS49602 KRENA Private Limited Liability Company KRENA, LT
81.7.112.0/23 #AS49602 KRENA Private Limited Liability Company KRENA, LT
158.129.128.0/18 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.40.0/21 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.48.0/21 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.56.0/22 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.80.0/20 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.128.0/20 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.219.144.0/21 #AS5479 UNI-VILNIUS Kauno Technologijos Universitetas, LT
193.201.32.0/24 #AS198009 AI-AS Ashburn International Ltd., LT
91.220.59.0/24 #AS51719 GENFIN UAB GF bankas, LT
23.129.200.0/24 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
64.137.56.0/23 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
64.137.92.0/23 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
64.137.96.0/22 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
104.143.224.0/22 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
104.143.244.0/23 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
104.143.246.0/24 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
104.167.10.0/24 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
104.222.184.0/22 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
104.233.16.0/22 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
104.238.8.0/23 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
104.239.40.0/22 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
138.128.148.0/24 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
216.173.72.0/22 #AS202044 GETECHBROTHERS-INTERNET Getechbrothers MB, LT
103.146.118.0/24 #AS214794 PAYAPP-DIGITAL PAYAPP DIGITAL UAB, LT
141.105.142.0/24 #AS214794 PAYAPP-DIGITAL PAYAPP DIGITAL UAB, LT
185.176.92.0/24 #AS214794 PAYAPP-DIGITAL PAYAPP DIGITAL UAB, LT
185.193.20.0/22 #AS214794 PAYAPP-DIGITAL PAYAPP DIGITAL UAB, LT
185.193.100.0/23 #AS214794 PAYAPP-DIGITAL PAYAPP DIGITAL UAB, LT
185.199.146.0/23 #AS214794 PAYAPP-DIGITAL PAYAPP DIGITAL UAB, LT
185.254.66.0/24 #AS214794 PAYAPP-DIGITAL PAYAPP DIGITAL UAB, LT
193.26.127.0/24 #AS214794 PAYAPP-DIGITAL PAYAPP DIGITAL UAB, LT
193.124.227.0/24 #AS214794 PAYAPP-DIGITAL PAYAPP DIGITAL UAB, LT
194.87.224.0/24 #AS214794 PAYAPP-DIGITAL PAYAPP DIGITAL UAB, LT
195.226.88.0/22 #AS214794 PAYAPP-DIGITAL PAYAPP DIGITAL UAB, LT
77.94.32.0/19 #AS51259 ARCUS Arcus Novus UAB, LT
83.171.0.0/18 #AS2847 LITNET Kauno Technologijos Universitetas, LT
158.129.0.0/17 #AS2847 LITNET Kauno Technologijos Universitetas, LT
158.129.192.0/18 #AS2847 LITNET Kauno Technologijos Universitetas, LT
193.219.32.0/21 #AS2847 LITNET Kauno Technologijos Universitetas, LT
193.219.60.0/22 #AS2847 LITNET Kauno Technologijos Universitetas, LT
193.219.64.0/20 #AS2847 LITNET Kauno Technologijos Universitetas, LT
193.219.152.0/21 #AS2847 LITNET Kauno Technologijos Universitetas, LT
193.219.160.0/19 #AS2847 LITNET Kauno Technologijos Universitetas, LT
45.12.4.0/22 #AS212872 SERVERIO Serverio technologijos MB, LT
45.87.104.0/23 #AS212872 SERVERIO Serverio technologijos MB, LT
45.87.106.0/24 #AS212872 SERVERIO Serverio technologijos MB, LT
185.75.249.0/24 #AS212872 SERVERIO Serverio technologijos MB, LT
185.244.163.0/24 #AS212872 SERVERIO Serverio technologijos MB, LT
193.9.60.0/22 #AS212872 SERVERIO Serverio technologijos MB, LT
194.1.236.0/22 #AS212872 SERVERIO Serverio technologijos MB, LT
45.81.252.0/24 #AS212853 REDFOXCLOUD MB Redfox Cloud, LT
45.81.254.0/24 #AS212853 REDFOXCLOUD MB Redfox Cloud, LT
84.46.204.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
84.46.207.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.2.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.4.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.7.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.30.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.40.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.42.0/23 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.51.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.59.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.64.0/23 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.76.0/22 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.84.0/23 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.103.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.112.0/22 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.124.0/23 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.126.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.128.0/22 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.134.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.137.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.138.0/23 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.140.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.174.0/23 #AS210906 BITE-US UAB Bite Lietuva, LT
85.254.180.0/23 #AS210906 BITE-US UAB Bite Lietuva, LT
86.38.26.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
86.38.36.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
86.38.154.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
86.38.222.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
86.38.234.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
86.38.236.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
89.116.14.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
89.116.71.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
89.116.77.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
89.116.78.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
89.116.90.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
89.116.93.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
89.116.97.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.26.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.54.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.62.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.66.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.126.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.128.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.130.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.158.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
159.148.163.0/24 #AS210906 BITE-US UAB Bite Lietuva, LT
