82.129.132.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
82.129.144.0/23 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
82.129.223.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.198.0.0/20 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.198.192.0/22 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.198.224.0/20 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.198.247.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.198.248.0/21 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.1.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.8.0/21 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.17.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.18.0/23 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.20.0/22 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.28.0/22 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.32.0/23 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.38.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.40.0/23 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.44.0/23 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.46.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.48.0/22 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.53.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.55.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.60.0/22 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.64.0/21 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.72.0/22 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.96.0/21 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.104.0/22 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.224.0/20 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.240.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.242.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.246.0/23 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.248.0/22 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
105.199.255.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
196.128.0.0/11 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
196.204.2.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
196.204.207.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
196.204.215.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
213.212.216.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
213.212.229.0/24 #AS36935 VODAFONE-EG Vodafone Egypt Telecommunication S.A.E, EG
102.69.150.0/24 #AS328484 TBE-EGYPT-AS TBE Egypt for Payment Solutions and Services S.A.E, EG
41.32.0.0/12 #AS8452 TE-AS Telecom Egypt, EG
41.232.0.0/13 #AS8452 TE-AS Telecom Egypt, EG
45.85.188.0/24 #AS8452 TE-AS Telecom Egypt, EG
81.10.0.0/17 #AS8452 TE-AS Telecom Egypt, EG
102.40.0.0/13 #AS8452 TE-AS Telecom Egypt, EG
154.176.0.0/12 #AS8452 TE-AS Telecom Egypt, EG
156.192.0.0/11 #AS8452 TE-AS Telecom Egypt, EG
163.121.128.0/17 #AS8452 TE-AS Telecom Egypt, EG
185.187.178.0/24 #AS8452 TE-AS Telecom Egypt, EG
196.202.0.0/17 #AS8452 TE-AS Telecom Egypt, EG
196.218.0.0/15 #AS8452 TE-AS Telecom Egypt, EG
197.32.0.0/11 #AS8452 TE-AS Telecom Egypt, EG
212.103.160.0/19 #AS8452 TE-AS Telecom Egypt, EG
213.158.160.0/19 #AS8452 TE-AS Telecom Egypt, EG
102.223.144.0/22 #AS328645 EGYPTIAN-STOCK-EXCHANGE The Egyptian Stock Exchange, EG
196.216.240.0/23 #AS37348 CAC Cairo American College, EG
102.209.24.0/23 #AS329431 REDSEA-SAHARA-TRAVEL Redsea Sahara Travel, EG
102.164.122.0/24 #AS328308 AZURDE-JEWELRY-AS L'Azurde Company For Jewelry, EG
41.191.80.0/22 #AS37066 MFA-AS Ministry of Foreign Affairs, EG
41.64.0.0/15 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.152.0.0/15 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.0.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.3.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.4.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.8.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.16.0/20 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.32.0/20 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.48.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.62.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.64.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.66.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.68.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.72.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.80.0/20 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.97.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.98.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.100.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.104.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.112.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.120.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.124.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.126.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.128.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.133.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.134.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.136.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.140.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.142.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.146.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.148.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.153.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.156.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.159.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.160.0/23 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.167.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.168.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.176.0/20 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.192.0/19 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.224.0/20 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.240.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.248.0/22 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.252.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.176.255.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.0.0/19 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.32.0/21 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.48.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
41.199.53.0/24 #AS36992 ETISALAT-MISR Etisalat-Misr AS, EG
