121.244.128.0/18 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.244.192.0/19 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.244.224.0/20 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.244.240.0/21 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.245.0.0/19 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.245.64.0/18 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.246.204.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.246.212.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.247.70.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.247.132.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.247.135.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
121.247.147.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
138.104.228.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
139.181.30.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
139.181.36.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
158.144.128.0/18 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
175.158.65.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
192.42.30.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
192.76.190.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
192.94.34.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
193.32.247.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
194.119.4.0/22 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.4.177.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.9.145.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.9.150.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.9.165.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.9.170.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.9.180.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.21.134.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.41.94.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.52.134.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.54.0.0/16 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.162.229.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.162.230.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.162.232.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.177.153.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
202.177.157.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.124.192.0/18 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.160.138.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.196.193.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.196.194.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.196.196.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.196.200.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.196.202.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.196.206.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.196.241.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.196.244.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.196.248.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.196.250.0/24 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
203.196.252.0/23 #AS4755 TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
