58.184.7.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
58.184.11.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
58.184.76.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
58.184.113.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
58.184.146.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
58.184.148.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
59.186.0.0/15 #AS3786 LGDACOM LG DACOM Corporation, KR
60.196.0.0/15 #AS3786 LGDACOM LG DACOM Corporation, KR
61.5.160.0/19 #AS3786 LGDACOM LG DACOM Corporation, KR
61.32.0.0/13 #AS3786 LGDACOM LG DACOM Corporation, KR
61.40.0.0/14 #AS3786 LGDACOM LG DACOM Corporation, KR
61.97.32.0/19 #AS3786 LGDACOM LG DACOM Corporation, KR
61.97.112.0/20 #AS3786 LGDACOM LG DACOM Corporation, KR
61.101.244.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
61.108.89.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
61.111.0.0/18 #AS3786 LGDACOM LG DACOM Corporation, KR
61.249.92.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
61.251.112.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
61.252.76.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
101.55.0.0/18 #AS3786 LGDACOM LG DACOM Corporation, KR
103.49.0.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
103.55.188.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
103.56.96.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
103.80.134.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
103.143.78.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
103.226.96.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
103.236.180.0/22 #AS3786 LGDACOM LG DACOM Corporation, KR
104.77.91.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
106.103.183.0/24 #AS3786 LGDACOM LG DACOM Corporation, KR
106.103.184.0/23 #AS3786 LGDACOM LG DACOM Corporation, KR
