116.103.12.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.103.16.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.103.32.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.103.56.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.103.64.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.103.80.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.103.96.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.103.120.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.103.144.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.103.160.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.103.176.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.103.192.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.103.208.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.103.248.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.104.96.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.104.144.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.104.192.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.104.228.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.105.0.0/19 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.105.32.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.105.72.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.105.80.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.105.92.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.105.112.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.105.128.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.105.160.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.105.184.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.105.192.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.105.208.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.105.224.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.105.240.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.106.16.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.106.28.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.106.32.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.106.40.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.106.48.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.106.64.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.106.80.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.106.104.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.106.112.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.106.128.0/19 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.106.168.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.106.176.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.106.192.0/19 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.106.240.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.107.16.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.107.136.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.108.48.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.108.64.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.108.96.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.108.144.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.108.168.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.108.176.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.108.188.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.108.200.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.108.208.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.108.224.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.108.240.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.109.48.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.109.80.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.109.96.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.109.116.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.109.120.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.109.128.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.109.152.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.109.161.0/24 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.109.162.0/23 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.109.164.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.109.168.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.109.232.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.109.248.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.110.0.0/19 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.110.44.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.110.48.0/20 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.110.64.0/19 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.110.112.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.110.128.0/18 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.110.192.0/19 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.110.232.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.110.240.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.111.136.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.111.148.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.111.152.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.111.160.0/21 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
116.111.184.0/22 #AS24086 VIETTEL-AS-VN Viettel Corporation, VN
