181.235.96.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.235.128.0/17 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.236.0.0/17 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.236.128.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.236.160.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.236.184.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.236.200.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.236.208.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.236.214.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.236.217.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.236.218.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.236.221.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.236.222.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.236.232.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.237.0.0/17 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.237.128.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.237.160.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
181.237.192.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.98.0.0/16 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.99.0.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.99.96.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.99.128.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.99.192.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.99.224.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.99.240.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.99.252.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.99.254.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.102.0.0/17 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.102.160.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.102.192.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.103.0.0/17 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.112.0.0/16 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.0.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.8.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.10.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.14.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.16.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.24.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.28.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.30.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.32.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.64.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.128.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.160.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.168.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.172.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.176.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.192.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.232.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.113.240.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.114.0.0/15 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.116.0.0/14 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.121.0.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.121.64.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.121.96.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.121.112.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.168.0.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.168.32.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.168.64.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.168.128.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.168.192.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.168.208.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.168.216.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.168.224.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.169.3.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.169.4.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.169.8.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.169.16.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.169.32.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.169.64.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.169.128.0/17 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.0.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.16.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.24.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.28.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.30.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.32.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.64.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.80.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.88.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.92.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.94.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.96.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.128.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.208.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.170.224.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.171.0.0/16 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.183.132.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.183.168.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.183.200.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.183.232.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.183.240.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.183.244.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
186.183.254.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.13.0.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.13.48.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.13.96.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.52.0.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.65.0.0/16 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.66.0.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.66.5.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.66.6.0/23 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.66.8.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.66.16.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.66.32.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.66.64.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.66.128.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.66.160.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.66.176.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.66.184.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.66.192.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.67.0.0/16 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.68.0.0/15 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.96.128.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.96.200.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.96.224.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
190.252.0.0/14 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.104.0.0/16 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.106.0.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.106.128.0/17 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.107.0.0/17 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.107.128.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.107.160.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.107.192.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.108.0.0/16 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.109.64.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.109.160.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.109.192.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.110.0.0/16 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.111.0.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.111.64.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
191.111.128.0/17 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
192.135.95.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
198.68.240.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
200.2.65.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
200.3.162.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
200.3.164.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
200.21.0.0/16 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
200.30.96.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
200.89.192.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
201.221.150.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
201.221.156.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
201.228.0.0/17 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
201.228.128.0/18 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
201.228.208.0/20 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
201.228.224.0/19 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
206.105.64.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
206.106.248.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
206.106.251.0/24 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
206.106.252.0/22 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
206.231.72.0/21 #AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP BIC, CO
168.176.0.0/16 #AS5722 Universidad Nacional de Colombia, CO
200.13.192.0/19 #AS7087 Administracion de Redes Colomsat S.A., CO
200.34.30.0/24 #AS7087 Administracion de Redes Colomsat S.A., CO
192.175.48.1/32 #AS7157 Americatel Colombia S.A., CO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
8.242.227.0/24 #AS7195 EDGEUNO S.A.S, CO
8.242.228.0/24 #AS7195 EDGEUNO S.A.S, CO
103.57.250.0/24 #AS7195 EDGEUNO S.A.S, CO
188.190.13.0/24 #AS7195 EDGEUNO S.A.S, CO
200.25.0.0/21 #AS7195 EDGEUNO S.A.S, CO
200.25.8.0/22 #AS7195 EDGEUNO S.A.S, CO
200.25.12.0/24 #AS7195 EDGEUNO S.A.S, CO
200.25.14.0/23 #AS7195 EDGEUNO S.A.S, CO
200.25.16.0/20 #AS7195 EDGEUNO S.A.S, CO
200.25.32.0/19 #AS7195 EDGEUNO S.A.S, CO
200.25.65.0/24 #AS7195 EDGEUNO S.A.S, CO
200.25.66.0/23 #AS7195 EDGEUNO S.A.S, CO
200.25.70.0/23 #AS7195 EDGEUNO S.A.S, CO
200.25.72.0/21 #AS7195 EDGEUNO S.A.S, CO
200.25.81.0/24 #AS7195 EDGEUNO S.A.S, CO
200.25.82.0/23 #AS7195 EDGEUNO S.A.S, CO
200.25.84.0/23 #AS7195 EDGEUNO S.A.S, CO
200.25.86.0/24 #AS7195 EDGEUNO S.A.S, CO
200.25.88.0/21 #AS7195 EDGEUNO S.A.S, CO
200.25.96.0/22 #AS7195 EDGEUNO S.A.S, CO
200.25.101.0/24 #AS7195 EDGEUNO S.A.S, CO
200.25.102.0/23 #AS7195 EDGEUNO S.A.S, CO
200.25.104.0/21 #AS7195 EDGEUNO S.A.S, CO
200.25.112.0/21 #AS7195 EDGEUNO S.A.S, CO
200.25.120.0/23 #AS7195 EDGEUNO S.A.S, CO
200.25.122.0/24 #AS7195 EDGEUNO S.A.S, CO
200.25.124.0/22 #AS7195 EDGEUNO S.A.S, CO
