185.3.189.0/24 #AS201063 AMERIA-AS Ameriabank CJSC, AM
5.134.84.0/23 #AS207810 VTELECOM Virus Net LLC, AM
45.159.73.0/24 #AS207810 VTELECOM Virus Net LLC, AM
45.159.74.0/23 #AS207810 VTELECOM Virus Net LLC, AM
185.167.217.0/24 #AS207810 VTELECOM Virus Net LLC, AM
217.113.12.0/22 #AS207810 VTELECOM Virus Net LLC, AM
217.113.18.0/23 #AS207810 VTELECOM Virus Net LLC, AM
82.199.200.0/24 #AS214198 NEOMETAL-ASN NeoMetals LLC, AM
93.185.153.0/24 #AS211944 MIKRONET Narek Tadevosyan, AM
83.139.40.0/24 #AS208081 FASTBANK Fast Bank CJSC, AM
5.134.87.0/24 #AS215416 MAGNET VIGEN PETROSYAN trading as SAMVELI, AM
195.191.100.0/23 #AS50496 ART-BNK ARARATBANK OJSC, AM
91.212.71.0/24 #AS48860 HARHIMTEL Arm Telecom LLC, AM
46.130.0.0/16 #AS43733 VIVA-ARMENIA Viva Armenia CJSC, AM
83.139.24.0/21 #AS43733 VIVA-ARMENIA Viva Armenia CJSC, AM
83.139.32.0/22 #AS43733 VIVA-ARMENIA Viva Armenia CJSC, AM
185.36.36.0/22 #AS43733 VIVA-ARMENIA Viva Armenia CJSC, AM
217.76.0.0/20 #AS43733 VIVA-ARMENIA Viva Armenia CJSC, AM
185.86.194.0/24 #AS212749 ACBA-AS ACBA Bank OJSC, AM
193.29.226.0/24 #AS207400 VXSOFT VXSOFT LLC, AM
31.7.160.0/21 #AS42109 VIVA-ARMENIA-AS Viva Armenia CJSC, AM
77.95.188.0/22 #AS42109 VIVA-ARMENIA-AS Viva Armenia CJSC, AM
91.103.24.0/21 #AS42109 VIVA-ARMENIA-AS Viva Armenia CJSC, AM
91.103.56.0/23 #AS42109 VIVA-ARMENIA-AS Viva Armenia CJSC, AM
91.103.59.0/24 #AS42109 VIVA-ARMENIA-AS Viva Armenia CJSC, AM
91.103.60.0/24 #AS42109 VIVA-ARMENIA-AS Viva Armenia CJSC, AM
91.103.62.0/23 #AS42109 VIVA-ARMENIA-AS Viva Armenia CJSC, AM
91.208.76.0/24 #AS42109 VIVA-ARMENIA-AS Viva Armenia CJSC, AM
93.94.216.0/21 #AS42109 VIVA-ARMENIA-AS Viva Armenia CJSC, AM
95.140.192.0/20 #AS42109 VIVA-ARMENIA-AS Viva Armenia CJSC, AM
185.79.0.0/24 #AS42109 VIVA-ARMENIA-AS Viva Armenia CJSC, AM
185.3.191.0/24 #AS204194 SCR-AS South Caucasus Railway CJSC, AM
185.3.188.0/24 #AS201639 INECOBANK-AS INECOBANK CJSC, AM
185.86.192.0/24 #AS201639 INECOBANK-AS INECOBANK CJSC, AM
46.182.172.0/23 #AS205368 FNET Fnet LLC, AM
46.182.174.0/24 #AS205368 FNET Fnet LLC, AM
77.95.185.0/24 #AS205368 FNET Fnet LLC, AM
80.86.229.0/24 #AS205368 FNET Fnet LLC, AM
91.237.150.0/24 #AS205368 FNET Fnet LLC, AM
185.215.52.0/22 #AS205368 FNET Fnet LLC, AM
194.30.176.0/23 #AS207991 AM-ACHON ACHON LLC, AM
194.31.4.0/23 #AS207991 AM-ACHON ACHON LLC, AM
185.223.124.0/22 #AS205277 INTERLINK Interlink LLC, AM
109.68.120.0/22 #AS8226 AM-NIC-AS Arpinet LLC, AM
109.68.124.0/23 #AS8226 AM-NIC-AS Arpinet LLC, AM
109.68.126.0/24 #AS8226 AM-NIC-AS Arpinet LLC, AM
194.247.50.0/24 #AS52160 VTB VTB Armenia Bank CJSC, AM
217.113.8.0/24 #AS57206 ASGC Global Credit CJSC, AM
82.199.202.0/24 #AS199698 MAXINET Maxinet LLC, AM
217.113.29.0/24 #AS199698 MAXINET Maxinet LLC, AM
