194.13.72.0/21 #AS1126 VANCIS Vancis Advanced ICT Services, XX
202.9.65.0/24 #AS55509 THESPECIALIZT-AU The Specializt, XX
197.157.200.0/22 #AS37434 AS37434 Unknown AS 37434, XX
148.106.128.0/24 #AS19178 BGC-INTERNATIONAL BGC Partners, XX
148.106.132.0/24 #AS19178 BGC-INTERNATIONAL BGC Partners, XX
148.106.134.0/24 #AS19178 BGC-INTERNATIONAL BGC Partners, XX
148.106.140.0/24 #AS19178 BGC-INTERNATIONAL BGC Partners, XX
148.106.149.0/24 #AS19178 BGC-INTERNATIONAL BGC Partners, XX
148.106.152.0/23 #AS19178 BGC-INTERNATIONAL BGC Partners, XX
148.106.154.0/24 #AS19178 BGC-INTERNATIONAL BGC Partners, XX
12.29.252.0/24 #AS21720 VOCALOCITY Vocalocity, Inc., XX
185.96.236.0/22 #AS34461 BREITBANDSERVICE Breitbandservice Gantert GmbH & Co.KG, XX
12.196.199.0/24 #AS27426 UNKNOWN Unknown, XX
64.58.173.0/24 #AS27426 UNKNOWN Unknown, XX
23.132.240.0/24 #AS46842 NOBLEENERGY Chevron Corporation, XX
103.123.152.0/24 #AS149271 DEFAULT-MAINTAINER-OBJECT Default maintainer object for TWNIC, XX
157.133.24.0/21 #AS395949 SAP-DC-CH SAP America Inc., XX
185.40.108.0/23 #AS203096 BUNQ bunq B.V., XX
148.72.37.0/24 #AS398107 GO-DADDY-COM-LLC GoDaddy.com, LLC, XX
192.155.110.0/24 #AS398107 GO-DADDY-COM-LLC GoDaddy.com, LLC, XX
193.38.176.0/22 #AS1961 MARS-AMERICAS ISI, XX
193.38.180.0/23 #AS1961 MARS-AMERICAS ISI, XX
193.38.190.0/23 #AS1961 MARS-AMERICAS ISI, XX
103.216.91.0/24 #AS135204 KATYANI Katyani Energy Solution Private Limited, XX
185.122.252.0/24 #AS203811 ALM3RAJIRAQ AL-MARAJ AL-ALAMIYA Co, XX
185.122.255.0/24 #AS203811 ALM3RAJIRAQ AL-MARAJ AL-ALAMIYA Co, XX
37.35.81.0/24 #AS2026 HELSINKI City of Helsinki, XX
37.35.82.0/23 #AS2026 HELSINKI City of Helsinki, XX
137.163.0.0/16 #AS2026 HELSINKI City of Helsinki, XX
93.95.40.0/21 #AS20842 FORMULAPLUS IPTP LTD, XX
217.27.40.0/22 #AS20842 FORMULAPLUS IPTP LTD, XX
128.177.179.0/24 #AS63147 USCP United States Capitol Police, XX
192.42.110.0/24 #AS63147 USCP United States Capitol Police, XX
117.121.245.0/24 #AS49901 CHINA-INTERNET-NETWORK China Internet Network Information Center, XX
192.49.11.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.12.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.14.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.16.0/23 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.18.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.21.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.23.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.24.0/23 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.26.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.28.0/22 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.34.0/23 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.74.0/23 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.76.0/23 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.79.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.80.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.82.0/23 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.84.0/23 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.116.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.118.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.127.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.135.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.138.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.145.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
192.49.147.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
194.211.231.0/24 #AS764 FI-PMO-AS Prime Minister's Office, XX
62.192.155.0/24 #AS208700 QC-BG QUAD CODE (GB) LTD, XX
216.24.239.0/24 #AS17358 MOZGROUP-CAMPAIGNER J2 Global Ventures, LLC, XX
185.74.176.0/22 #AS201437 IONWORKS-ASN1 Ionworks Ltd, XX
103.108.247.0/24 #AS45073 ID-NIC ID-NIC, XX
