103.248.20.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.249.84.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.253.12.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
103.255.118.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
108.165.252.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
114.29.252.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
118.107.217.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
118.107.218.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
118.107.220.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
119.160.232.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
123.253.32.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
139.5.177.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
141.11.17.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
143.20.31.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
143.20.166.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
150.107.76.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
154.6.148.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
154.91.146.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
154.216.2.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
154.220.2.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
156.241.2.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
160.250.92.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
163.5.139.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
166.1.210.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
181.215.14.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
181.215.246.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
185.93.164.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
185.189.160.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
185.189.240.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
185.189.243.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
202.9.36.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
202.9.39.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
202.59.9.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
202.59.10.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
202.73.12.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
202.87.220.0/22 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
202.176.4.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
202.176.6.0/24 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
203.99.148.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
220.158.200.0/23 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
223.25.240.0/21 #AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd, MY
43.252.233.0/24 #AS38044 GITN-NETWORK GITN-SCHOOLNET, MY
43.252.235.0/24 #AS38044 GITN-NETWORK GITN-SCHOOLNET, MY
103.245.88.0/22 #AS38044 GITN-NETWORK GITN-SCHOOLNET, MY
175.28.12.0/22 #AS38044 GITN-NETWORK GITN-SCHOOLNET, MY
202.60.56.0/22 #AS38044 GITN-NETWORK GITN-SCHOOLNET, MY
203.12.220.0/24 #AS38044 GITN-NETWORK GITN-SCHOOLNET, MY
203.62.1.0/24 #AS38044 GITN-NETWORK GITN-SCHOOLNET, MY
103.4.88.0/22 #AS45331 I-CITY-AS-AP I-Office2 Sdn Bhd, MY
115.85.128.0/24 #AS45331 I-CITY-AS-AP I-Office2 Sdn Bhd, MY
23.26.201.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.26.204.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.26.237.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.0.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.11.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.12.0/23 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.20.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.22.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.24.0/23 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.26.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.28.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.46.0/23 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.48.0/22 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.52.0/23 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
23.27.96.0/24 #AS149440 EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY
