192.175.48.1/32 #AS711 SB-COMM-AS - Torrejon Air Base, ES - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
193.149.6.0/24 #AS3352 TELEFONICA_DE_ESPANA, ES
193.152.0.0/15 #AS3352 TELEFONICA_DE_ESPANA, ES
194.32.114.0/23 #AS3352 TELEFONICA_DE_ESPANA, ES
194.69.225.0/24 #AS3352 TELEFONICA_DE_ESPANA, ES
194.179.0.0/17 #AS3352 TELEFONICA_DE_ESPANA, ES
194.224.0.0/16 #AS3352 TELEFONICA_DE_ESPANA, ES
195.53.0.0/16 #AS3352 TELEFONICA_DE_ESPANA, ES
195.55.0.0/16 #AS3352 TELEFONICA_DE_ESPANA, ES
195.57.0.0/16 #AS3352 TELEFONICA_DE_ESPANA, ES
195.76.0.0/15 #AS3352 TELEFONICA_DE_ESPANA, ES
195.235.0.0/16 #AS3352 TELEFONICA_DE_ESPANA, ES
195.245.248.0/24 #AS3352 TELEFONICA_DE_ESPANA, ES
212.170.0.0/16 #AS3352 TELEFONICA_DE_ESPANA, ES
213.0.0.0/16 #AS3352 TELEFONICA_DE_ESPANA, ES
213.4.0.0/16 #AS3352 TELEFONICA_DE_ESPANA, ES
213.96.0.0/14 #AS3352 TELEFONICA_DE_ESPANA, ES
217.11.96.0/19 #AS3352 TELEFONICA_DE_ESPANA, ES
217.124.0.0/14 #AS3352 TELEFONICA_DE_ESPANA, ES
185.123.204.0/22 #AS5505 VADAVO, ES
185.210.226.0/23 #AS5505 VADAVO, ES
188.130.247.0/24 #AS5505 VADAVO, ES
188.130.254.0/24 #AS5505 VADAVO, ES
2.154.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
5.40.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
62.42.0.0/15 #AS6739 ONO-AS Vodafone ONO AS, ES
62.57.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
62.81.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
62.82.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
62.100.96.0/19 #AS6739 ONO-AS Vodafone ONO AS, ES
62.174.0.0/17 #AS6739 ONO-AS Vodafone ONO AS, ES
62.175.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
81.60.128.0/18 #AS6739 ONO-AS Vodafone ONO AS, ES
81.61.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
81.184.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
81.202.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
82.159.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
82.213.128.0/18 #AS6739 ONO-AS Vodafone ONO AS, ES
83.173.128.0/18 #AS6739 ONO-AS Vodafone ONO AS, ES
84.120.0.0/14 #AS6739 ONO-AS Vodafone ONO AS, ES
84.124.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
84.125.128.0/17 #AS6739 ONO-AS Vodafone ONO AS, ES
84.126.0.0/15 #AS6739 ONO-AS Vodafone ONO AS, ES
85.219.0.0/17 #AS6739 ONO-AS Vodafone ONO AS, ES
85.251.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
89.140.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
95.39.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
185.86.8.0/24 #AS6739 ONO-AS Vodafone ONO AS, ES
185.115.52.0/22 #AS6739 ONO-AS Vodafone ONO AS, ES
185.128.128.0/22 #AS6739 ONO-AS Vodafone ONO AS, ES
185.128.168.0/22 #AS6739 ONO-AS Vodafone ONO AS, ES
193.150.90.0/24 #AS6739 ONO-AS Vodafone ONO AS, ES
194.106.0.0/19 #AS6739 ONO-AS Vodafone ONO AS, ES
194.140.128.0/18 #AS6739 ONO-AS Vodafone ONO AS, ES
194.149.192.0/19 #AS6739 ONO-AS Vodafone ONO AS, ES
212.21.224.0/19 #AS6739 ONO-AS Vodafone ONO AS, ES
212.40.224.0/19 #AS6739 ONO-AS Vodafone ONO AS, ES
212.78.128.0/19 #AS6739 ONO-AS Vodafone ONO AS, ES
212.79.128.0/19 #AS6739 ONO-AS Vodafone ONO AS, ES
212.95.192.0/19 #AS6739 ONO-AS Vodafone ONO AS, ES
212.97.160.0/19 #AS6739 ONO-AS Vodafone ONO AS, ES
212.183.192.0/18 #AS6739 ONO-AS Vodafone ONO AS, ES
213.37.0.0/16 #AS6739 ONO-AS Vodafone ONO AS, ES
213.201.0.0/17 #AS6739 ONO-AS Vodafone ONO AS, ES
213.227.0.0/18 #AS6739 ONO-AS Vodafone ONO AS, ES
213.231.64.0/18 #AS6739 ONO-AS Vodafone ONO AS, ES
185.130.200.0/22 #AS6750 SDR, ES
194.145.140.0/24 #AS6750 SDR, ES
80.58.252.0/24 #AS6813 FLEXNET Telefonica Soluciones, ES
81.45.156.0/22 #AS6813 FLEXNET Telefonica Soluciones, ES
194.224.158.0/24 #AS6813 FLEXNET Telefonica Soluciones, ES
195.55.74.0/24 #AS6813 FLEXNET Telefonica Soluciones, ES
195.235.59.0/24 #AS6813 FLEXNET Telefonica Soluciones, ES
195.235.232.0/24 #AS6813 FLEXNET Telefonica Soluciones, ES
212.170.227.0/24 #AS6813 FLEXNET Telefonica Soluciones, ES
212.170.228.0/23 #AS6813 FLEXNET Telefonica Soluciones, ES
212.170.232.0/24 #AS6813 FLEXNET Telefonica Soluciones, ES
213.4.28.0/24 #AS6813 FLEXNET Telefonica Soluciones, ES
213.4.98.0/24 #AS6813 FLEXNET Telefonica Soluciones, ES
185.79.172.0/23 #AS6895 ESPANIX-RS-AS Neutral Interconect Exchange for Spain, ES
185.79.174.0/24 #AS6895 ESPANIX-RS-AS Neutral Interconect Exchange for Spain, ES
212.59.192.0/19 #AS8239 NEXTLEVEL-CONNECTIVITY-ISP Servicios Masivos ISP Grupo Lyntia Networks, ES
80.255.117.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
80.255.118.0/24 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
185.84.116.0/22 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
185.132.188.0/23 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
185.212.204.0/22 #AS8311 REDESTEL Redestel - Redes digitales de Telecomunicacion en Internet, ES
