124.195.48.0/21 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
124.195.56.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
124.195.124.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
202.67.32.0/21 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
202.67.44.0/22 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
202.93.32.0/20 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
202.152.160.0/20 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
223.255.224.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
223.255.227.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
223.255.228.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
223.255.231.0/24 #AS4761 INDOSAT-INP-AP INDOSAT Internet Network Provider, ID
45.126.80.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
101.50.16.0/20 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
101.128.64.0/18 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.61.248.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.86.148.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.86.152.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.86.160.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.87.76.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.87.80.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.87.152.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.109.152.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.109.160.0/20 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.109.188.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.109.192.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.109.200.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.111.184.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.111.200.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.111.208.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.112.81.0/24 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.112.222.0/24 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.113.48.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.113.72.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.113.116.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.113.120.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.113.128.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.114.80.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.114.108.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.114.112.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.114.120.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.114.136.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.114.173.0/24 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.118.96.0/20 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.118.128.0/20 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.118.224.0/20 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.119.4.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.119.8.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.119.36.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.120.68.0/24 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.96.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.108.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.132.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.136.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.144.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.168.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.180.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.121.244.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.129.4.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.129.20.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.129.24.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.129.40.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.129.48.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.129.56.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.129.68.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.164.132.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
114.199.112.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
114.199.117.0/24 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
114.199.118.0/23 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
114.199.121.0/24 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
114.199.122.0/23 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
114.199.124.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
116.90.214.0/24 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
116.206.232.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
116.206.240.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
123.253.128.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
125.208.128.0/18 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
148.253.254.0/23 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
163.171.67.0/24 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
175.158.32.0/19 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
202.51.24.0/21 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
202.130.52.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
202.158.0.0/17 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
202.179.136.0/22 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
210.210.128.0/18 #AS4787 ASN-CBN PT Cyberindo Aditama, ID
103.107.4.0/22 #AS4796 BANDUNG-NET-AS-AP Institute of Technology Bandung, ID
167.205.0.0/16 #AS4796 BANDUNG-NET-AS-AP Institute of Technology Bandung, ID
36.37.64.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
36.37.67.0/24 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
36.37.68.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
36.37.72.0/21 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
36.37.80.0/20 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
36.37.96.0/20 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
36.37.112.0/21 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
36.37.121.0/24 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
36.37.123.0/24 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
36.37.124.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
36.50.64.0/21 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
61.8.64.0/20 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.1.156.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.7.194.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.8.64.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.8.184.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.8.192.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.9.140.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.12.206.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.12.224.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.13.4.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.13.164.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.28.81.0/24 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.28.82.0/24 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.39.198.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.42.246.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.43.56.0/21 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.44.8.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.44.92.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.44.152.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.44.198.0/24 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.55.248.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.60.92.0/22 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.65.120.0/21 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.86.128.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.101.40.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.101.164.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
