170.82.244.0/23 #AS264858 SERVICIO-IMPUESTOS-NACIONALES Servicio de Impuestos Nacionales, BO
200.12.254.0/24 #AS263242 DIGITAL-WORK DIGITAL WORK, BO
201.150.162.0/23 #AS263242 DIGITAL-WORK DIGITAL WORK, BO
167.250.135.0/24 #AS272840 EMPRESA-SERVICIOS-DAN EMPRESA DE SERVICIOS DAN SOLUTIONS S.R.L., BO
45.6.3.0/24 #AS271987 ACTEL ACTEL SRL, BO
168.197.240.0/22 #AS264789 AGENCIA-BOLIVIANA-ESPACIAL AGENCIA BOLIVIANA ESPACIAL, BO
190.99.94.0/24 #AS273984 DWTEC DWTEC S.R.L., BO
201.131.45.0/24 #AS263709 UNIVERSIDAD-SAN-FRANCISCO UNIVERSIDAD SAN FRANCISCO XAVIER DE CHUQUISACA, BO
190.14.102.0/24 #AS211397 WEBLINK-AS WebLink SRL, BO
200.106.244.0/23 #AS52355 JALASOFT-CORP Jalasoft Corp., BO
190.171.192.0/18 #AS25620 COTAS COTAS LTDA., BO
190.180.0.0/17 #AS25620 COTAS COTAS LTDA., BO
190.186.0.0/16 #AS25620 COTAS COTAS LTDA., BO
192.223.64.0/20 #AS25620 COTAS COTAS LTDA., BO
192.223.80.0/21 #AS25620 COTAS COTAS LTDA., BO
192.223.96.0/22 #AS25620 COTAS COTAS LTDA., BO
200.58.160.0/19 #AS25620 COTAS COTAS LTDA., BO
200.119.192.0/19 #AS25620 COTAS COTAS LTDA., BO
201.222.64.0/18 #AS25620 COTAS COTAS LTDA., BO
190.103.64.0/20 #AS52495 COTEL Cotel Ltda., BO
190.109.224.0/19 #AS52495 COTEL Cotel Ltda., BO
186.0.157.0/24 #AS267770 COTEGUA COTEGUA LTDA (Coop. de Telecomunicaciones Guayaramerin Ltda.), BO
186.0.159.0/24 #AS267770 COTEGUA COTEGUA LTDA (Coop. de Telecomunicaciones Guayaramerin Ltda.), BO
190.14.111.0/24 #AS271906 WEBLINK WebLink SRL, BO
190.14.112.0/24 #AS271906 WEBLINK WebLink SRL, BO
200.75.171.0/24 #AS271906 WEBLINK WebLink SRL, BO
200.85.128.0/22 #AS271906 WEBLINK WebLink SRL, BO
200.85.132.0/23 #AS271906 WEBLINK WebLink SRL, BO
200.85.134.0/24 #AS271906 WEBLINK WebLink SRL, BO
200.85.143.0/24 #AS271906 WEBLINK WebLink SRL, BO
187.102.200.0/22 #AS270045 TELECOMUNICACIONES-OPORTUNAS-INTELIGENTES TELECOMUNICACIONES OPORTUNAS INTELIGENTES SRL, BO
170.247.160.0/22 #AS262161 COTES COTES Ltda., BO
190.52.48.0/21 #AS262161 COTES COTES Ltda., BO
200.107.240.0/21 #AS262161 COTES COTES Ltda., BO
45.5.13.0/24 #AS265670 BANCO-NACIONAL-BOLIVIA BANCO NACIONAL DE BOLIVIA S.A., BO
200.12.250.0/24 #AS265670 BANCO-NACIONAL-BOLIVIA BANCO NACIONAL DE BOLIVIA S.A., BO
38.46.145.0/24 #AS267685 SIRIO-TELECOMUNICACIONES SIRIO TELECOMUNICACIONES S.R.L, BO
38.75.210.0/24 #AS267685 SIRIO-TELECOMUNICACIONES SIRIO TELECOMUNICACIONES S.R.L, BO
45.163.18.0/23 #AS267685 SIRIO-TELECOMUNICACIONES SIRIO TELECOMUNICACIONES S.R.L, BO
160.20.225.0/24 #AS267685 SIRIO-TELECOMUNICACIONES SIRIO TELECOMUNICACIONES S.R.L, BO
200.33.113.0/24 #AS264747 AGENCIA-NACIONAL-HIDROCARBUROS Agencia Nacional de Hidrocarburos, BO
200.10.156.0/23 #AS264690 BANCO-SOLIDARIO BANCO SOLIDARIO S.A., BO
38.96.56.0/22 #AS274026 MAPLENET-COMUNICACIONES MAPLENET COMUNICACIONES S.A., BO
190.110.241.0/24 #AS274026 MAPLENET-COMUNICACIONES MAPLENET COMUNICACIONES S.A., BO
138.36.76.0/22 #AS262159 AS-DIGTV AS 262159 Digital Tv Cable, BO
143.137.112.0/22 #AS262159 AS-DIGTV AS 262159 Digital Tv Cable, BO
168.228.132.0/22 #AS262159 AS-DIGTV AS 262159 Digital Tv Cable, BO
170.239.120.0/22 #AS262159 AS-DIGTV AS 262159 Digital Tv Cable, BO
179.60.112.0/20 #AS262159 AS-DIGTV AS 262159 Digital Tv Cable, BO
190.211.224.0/20 #AS262159 AS-DIGTV AS 262159 Digital Tv Cable, BO
