194.145.206.0/23 #AS57547 ASALTERNET WIRIX s.r.o., SK
185.196.68.0/22 #AS206110 AS-1CL 1 Cloud Lab s.r.o., SK
185.28.124.0/22 #AS60585 SITEL-VSAT-ASN SITEL-VSAT sro, SK
31.3.32.0/19 #AS28952 O2BSSK O2 Business Services a.s, SK
37.58.0.0/20 #AS28952 O2BSSK O2 Business Services a.s, SK
37.152.96.0/19 #AS28952 O2BSSK O2 Business Services a.s, SK
46.34.224.0/19 #AS28952 O2BSSK O2 Business Services a.s, SK
90.176.0.0/19 #AS28952 O2BSSK O2 Business Services a.s, SK
91.191.69.0/24 #AS28952 O2BSSK O2 Business Services a.s, SK
91.191.80.0/22 #AS28952 O2BSSK O2 Business Services a.s, SK
151.236.224.0/20 #AS28952 O2BSSK O2 Business Services a.s, SK
185.103.144.0/22 #AS28952 O2BSSK O2 Business Services a.s, SK
31.24.176.0/21 #AS43451 SLOVANET-RADIOLAN Slovanet a.s., SK
78.41.168.0/21 #AS43451 SLOVANET-RADIOLAN Slovanet a.s., SK
81.92.248.0/21 #AS43451 SLOVANET-RADIOLAN Slovanet a.s., SK
93.174.176.0/21 #AS43451 SLOVANET-RADIOLAN Slovanet a.s., SK
185.22.212.0/22 #AS43451 SLOVANET-RADIOLAN Slovanet a.s., SK
185.134.212.0/22 #AS43451 SLOVANET-RADIOLAN Slovanet a.s., SK
185.213.144.0/22 #AS43451 SLOVANET-RADIOLAN Slovanet a.s., SK
188.121.160.0/19 #AS43451 SLOVANET-RADIOLAN Slovanet a.s., SK
193.93.72.0/24 #AS43451 SLOVANET-RADIOLAN Slovanet a.s., SK
185.77.144.0/22 #AS8290 SLOVANET-WS Slovanet a.s., SK
195.28.128.0/19 #AS8290 SLOVANET-WS Slovanet a.s., SK
62.169.184.0/21 #AS208668 NETSPACE-AS NetSpace s.r.o., SK
92.245.24.0/23 #AS208668 NETSPACE-AS NetSpace s.r.o., SK
91.229.28.0/23 #AS56926 ASKOMNET KOMNET s.r.o., SK
92.240.224.0/22 #AS42005 LIGHTSTORM-COMMUNICATIONS-SRO-SK-AS LightStorm Services s.r.o., SK
92.240.228.0/24 #AS42005 LIGHTSTORM-COMMUNICATIONS-SRO-SK-AS LightStorm Services s.r.o., SK
92.240.232.0/23 #AS42005 LIGHTSTORM-COMMUNICATIONS-SRO-SK-AS LightStorm Services s.r.o., SK
92.240.238.0/23 #AS42005 LIGHTSTORM-COMMUNICATIONS-SRO-SK-AS LightStorm Services s.r.o., SK
92.240.240.0/24 #AS42005 LIGHTSTORM-COMMUNICATIONS-SRO-SK-AS LightStorm Services s.r.o., SK
92.240.246.0/23 #AS42005 LIGHTSTORM-COMMUNICATIONS-SRO-SK-AS LightStorm Services s.r.o., SK
92.240.248.0/24 #AS42005 LIGHTSTORM-COMMUNICATIONS-SRO-SK-AS LightStorm Services s.r.o., SK
92.240.250.0/24 #AS42005 LIGHTSTORM-COMMUNICATIONS-SRO-SK-AS LightStorm Services s.r.o., SK
92.240.252.0/24 #AS42005 LIGHTSTORM-COMMUNICATIONS-SRO-SK-AS LightStorm Services s.r.o., SK
185.78.152.0/22 #AS42005 LIGHTSTORM-COMMUNICATIONS-SRO-SK-AS LightStorm Services s.r.o., SK
185.155.50.0/24 #AS42005 LIGHTSTORM-COMMUNICATIONS-SRO-SK-AS LightStorm Services s.r.o., SK
78.98.0.0/15 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
84.47.0.0/17 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
85.239.68.0/23 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
85.239.80.0/21 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
85.248.31.0/24 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
85.248.74.0/24 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
87.197.0.0/16 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
91.127.0.0/16 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
91.195.106.0/23 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
91.245.16.0/23 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
95.102.0.0/15 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
178.40.0.0/15 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
185.58.102.0/23 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
193.84.7.0/24 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
193.84.96.0/22 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
193.84.245.0/24 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
193.200.143.0/24 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
193.201.110.0/24 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
193.228.234.0/24 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
194.48.241.0/24 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
194.50.215.0/24 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
194.154.224.0/19 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
194.169.224.0/24 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
195.91.0.0/17 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
195.146.128.0/19 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
195.216.240.0/24 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
212.5.192.0/19 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
213.81.128.0/17 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
213.160.160.0/19 #AS6855 SK-TELEKOM Slovak Telekom a.s., SK
185.216.164.0/22 #AS205428 DALNET DALNet s.r.o., SK
81.162.80.0/20 #AS57606 ASPROXIS Proxis spol. s r.o., SK
164.40.168.0/23 #AS12508 AS12508 Rainside s.r.o., SK
212.89.224.0/19 #AS12508 AS12508 Rainside s.r.o., SK
185.242.190.0/23 #AS204716 PLAYMAX PLAYMAX s.r.o., SK
38.90.226.0/23 #AS50881 ESET-AS ESET spol. s r.o., SK
91.228.164.0/22 #AS50881 ESET-AS ESET spol. s r.o., SK
185.94.157.0/24 #AS50881 ESET-AS ESET spol. s r.o., SK
185.94.158.0/23 #AS50881 ESET-AS ESET spol. s r.o., SK
192.144.33.0/24 #AS214851 ALL2U All2U services s.r.o., SK
109.71.64.0/21 #AS50128 CNC CNC a.s., SK
194.1.130.0/24 #AS50128 CNC CNC a.s., SK
194.88.194.0/23 #AS48907 ASNORTTEL Norttel s.r.o., SK
185.98.208.0/22 #AS30929 GOLEMTECH-AS GOLEM TECH s.r.o., SK
5.35.103.0/24 #AS61424 ESERVER-SK-AS eServer s.r.o., SK
45.129.141.0/24 #AS61424 ESERVER-SK-AS eServer s.r.o., SK
45.151.70.0/24 #AS61424 ESERVER-SK-AS eServer s.r.o., SK
89.46.42.0/24 #AS61424 ESERVER-SK-AS eServer s.r.o., SK
130.49.162.0/24 #AS61424 ESERVER-SK-AS eServer s.r.o., SK
185.48.248.0/23 #AS61424 ESERVER-SK-AS eServer s.r.o., SK
185.112.249.0/24 #AS61424 ESERVER-SK-AS eServer s.r.o., SK
185.115.141.0/24 #AS61424 ESERVER-SK-AS eServer s.r.o., SK
185.115.143.0/24 #AS61424 ESERVER-SK-AS eServer s.r.o., SK
31.131.224.0/20 #AS56933 ASDATAGRAM Datagram s.r.o., SK
195.168.218.0/24 #AS209251 AS1-GLOBALLOGIC GlobalLogic Slovakia s.r.o., SK
185.59.184.0/22 #AS201997 SK-MCOM-AS MCOM-NET s.r.o., SK
84.16.32.0/19 #AS31679 SLOVANET-MICRONET Slovanet a.s., SK
185.165.36.0/22 #AS31679 SLOVANET-MICRONET Slovanet a.s., SK
212.55.224.0/19 #AS31679 SLOVANET-MICRONET Slovanet a.s., SK
45.129.104.0/24 #AS200222 SAMANET Sama Tech s.r.o., SK
45.129.107.0/24 #AS200222 SAMANET Sama Tech s.r.o., SK
5.59.221.0/24 #AS210117 ASORAVASK OravaSK s.r.o., SK
188.95.150.0/24 #AS210117 ASORAVASK OravaSK s.r.o., SK
176.107.16.0/20 #AS57760 ASKINET Kinet s.r.o., SK
147.175.0.0/16 #AS2607 SANET Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET, SK
147.213.0.0/16 #AS2607 SANET Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET, SK
147.232.0.0/16 #AS2607 SANET Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET, SK
158.193.0.0/16 #AS2607 SANET Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET, SK
158.195.0.0/16 #AS2607 SANET Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET, SK
158.197.0.0/16 #AS2607 SANET Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET, SK
192.108.130.0/23 #AS2607 SANET Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET, SK
192.108.132.0/23 #AS2607 SANET Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET, SK
192.108.138.0/23 #AS2607 SANET Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET, SK
192.108.149.0/24 #AS2607 SANET Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET, SK
