192.188.107.0/24 #AS151499 APANAI-AS-AP APANA, AU
202.12.87.0/24 #AS151499 APANAI-AS-AP APANA, AU
202.12.88.0/23 #AS151499 APANAI-AS-AP APANA, AU
203.0.12.0/23 #AS151499 APANAI-AS-AP APANA, AU
203.3.124.0/22 #AS151499 APANAI-AS-AP APANA, AU
203.4.226.0/24 #AS151499 APANAI-AS-AP APANA, AU
203.12.236.0/22 #AS151499 APANAI-AS-AP APANA, AU
203.14.152.0/22 #AS151499 APANAI-AS-AP APANA, AU
203.14.158.0/23 #AS151499 APANAI-AS-AP APANA, AU
203.27.126.0/24 #AS151499 APANAI-AS-AP APANA, AU
103.41.108.0/24 #AS152659 INMARSATAU-AS-AP Inmarsat Australia Pty Ltd, AU
103.74.142.0/24 #AS132812 CCC-AS-AP Central Coast Council, AU
202.92.208.0/22 #AS18065 CENTRAL-AS-AP Central Data System Pty Ltd, AU
103.28.72.0/24 #AS58473 CROSSPOINT-AS-AP Crosspoint Telecommunications Pty Ltd, AU
103.60.132.0/23 #AS58473 CROSSPOINT-AS-AP Crosspoint Telecommunications Pty Ltd, AU
103.240.132.0/24 #AS58473 CROSSPOINT-AS-AP Crosspoint Telecommunications Pty Ltd, AU
103.153.90.0/23 #AS140910 OZOT-AS-AP Ozot, AU
103.148.109.0/24 #AS140094 ISAAC-REGIONAL-COUNCIL ISAAC REGIONAL COUNCIL, AU
155.63.200.0/23 #AS133145 TRIMBLE-AS-AP Trimble Planning Solutions Pty Ltd, AU
103.110.194.0/24 #AS137881 LIVEWIREIT-AS-AP LIVEWIRE IT PTY LTD, AU
43.225.176.0/24 #AS58921 CSL-AS-AP Capricorn Society Limited, AU
43.225.179.0/24 #AS58921 CSL-AS-AP Capricorn Society Limited, AU
103.248.5.0/24 #AS58921 CSL-AS-AP Capricorn Society Limited, AU
103.248.6.0/23 #AS58921 CSL-AS-AP Capricorn Society Limited, AU
202.0.74.0/24 #AS56177 RCMB-SA-GOV-AS-AP The Rural City of Murray Bridge, AU
43.250.232.0/24 #AS10084 WAIA-TRANSIT-AP Internet Association of Australia Inc., AU
43.250.234.0/24 #AS10084 WAIA-TRANSIT-AP Internet Association of Australia Inc., AU
103.2.116.0/22 #AS10084 WAIA-TRANSIT-AP Internet Association of Australia Inc., AU
103.79.72.0/24 #AS10084 WAIA-TRANSIT-AP Internet Association of Australia Inc., AU
103.94.94.0/24 #AS10084 WAIA-TRANSIT-AP Internet Association of Australia Inc., AU
218.100.43.0/24 #AS10084 WAIA-TRANSIT-AP Internet Association of Australia Inc., AU
203.189.93.0/24 #AS45207 CBH-AU Co-Operative Bulk Handling Ltd, AU
27.121.88.0/22 #AS55752 CLOUD-PLUS-AS-AP Cloud Plus Pty Ltd, AU
103.24.210.0/23 #AS55752 CLOUD-PLUS-AS-AP Cloud Plus Pty Ltd, AU
103.169.180.0/24 #AS55752 CLOUD-PLUS-AS-AP Cloud Plus Pty Ltd, AU
