192.175.48.1/32 #AS6945 SVNet, SV - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
186.32.126.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.250.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
186.32.252.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.53.0.0/19 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.53.96.0/20 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.53.112.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.53.116.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.53.118.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.53.120.0/21 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.53.128.0/18 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.24.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.27.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.28.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.31.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.32.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.37.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.38.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.40.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.42.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.44.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.46.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.48.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.50.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.52.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.56.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.58.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.60.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.99.63.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.0.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.3.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.4.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.8.0/21 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.16.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.18.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.20.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.23.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.24.0/21 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.32.0/20 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.48.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.50.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.52.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.56.0/21 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.64.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.68.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.70.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.72.0/21 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.80.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.85.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.86.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.88.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.90.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.92.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.96.0/21 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.104.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.106.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.108.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.112.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.114.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.116.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.121.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.122.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.124.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.128.0/21 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.136.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.138.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.140.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.142.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.144.0/20 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.160.0/20 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.176.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.179.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.181.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.182.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.184.0/22 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.188.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.190.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.194.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.196.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.199.0/24 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
190.150.200.0/23 #AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V., SV
