23.3.72.0/24 #AS27789 GREENDOT GREENDOT, TT
161.0.224.0/19 #AS27665 COLUMBUS-COMMUNICATIONS-TRINIDAD Columbus Communications Trinidad Limited, TT
179.0.28.0/24 #AS27665 COLUMBUS-COMMUNICATIONS-TRINIDAD Columbus Communications Trinidad Limited, TT
181.188.0.0/17 #AS27665 COLUMBUS-COMMUNICATIONS-TRINIDAD Columbus Communications Trinidad Limited, TT
190.6.224.0/20 #AS27665 COLUMBUS-COMMUNICATIONS-TRINIDAD Columbus Communications Trinidad Limited, TT
190.83.128.0/17 #AS27665 COLUMBUS-COMMUNICATIONS-TRINIDAD Columbus Communications Trinidad Limited, TT
190.213.0.0/16 #AS27665 COLUMBUS-COMMUNICATIONS-TRINIDAD Columbus Communications Trinidad Limited, TT
200.1.104.0/21 #AS27665 COLUMBUS-COMMUNICATIONS-TRINIDAD Columbus Communications Trinidad Limited, TT
186.44.0.0/15 #AS5639 TELECOMMUNICATION-SERVICES-OF Telecommunication Services of Trinidad and Tobago, TT
190.58.0.0/15 #AS5639 TELECOMMUNICATION-SERVICES-OF Telecommunication Services of Trinidad and Tobago, TT
196.3.132.0/22 #AS5639 TELECOMMUNICATION-SERVICES-OF Telecommunication Services of Trinidad and Tobago, TT
196.3.136.0/21 #AS5639 TELECOMMUNICATION-SERVICES-OF Telecommunication Services of Trinidad and Tobago, TT
196.3.144.0/22 #AS5639 TELECOMMUNICATION-SERVICES-OF Telecommunication Services of Trinidad and Tobago, TT
200.108.0.0/19 #AS5639 TELECOMMUNICATION-SERVICES-OF Telecommunication Services of Trinidad and Tobago, TT
201.238.64.0/19 #AS5639 TELECOMMUNICATION-SERVICES-OF Telecommunication Services of Trinidad and Tobago, TT
201.238.96.0/20 #AS5639 TELECOMMUNICATION-SERVICES-OF Telecommunication Services of Trinidad and Tobago, TT
201.238.112.0/21 #AS5639 TELECOMMUNICATION-SERVICES-OF Telecommunication Services of Trinidad and Tobago, TT
201.238.120.0/22 #AS5639 TELECOMMUNICATION-SERVICES-OF Telecommunication Services of Trinidad and Tobago, TT
209.94.192.0/19 #AS5639 TELECOMMUNICATION-SERVICES-OF Telecommunication Services of Trinidad and Tobago, TT
190.93.5.0/24 #AS274008 INDEPENDENT-CABLE-NETWORK INDEPENDENT CABLE NETWORK OF TRINIDAD & TOBAGO LIMITED, TT
