45.132.48.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
45.136.48.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
45.137.212.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
45.140.17.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
45.150.6.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
45.157.136.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
45.159.15.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
46.102.106.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
46.162.25.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
46.162.58.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
50.114.160.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
50.114.163.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
50.114.168.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
50.114.170.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
62.68.83.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
62.68.86.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
62.192.152.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
62.197.45.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
62.197.48.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
62.204.36.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
62.204.52.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
62.204.57.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
62.233.45.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
62.233.49.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
62.233.56.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
62.233.60.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
77.81.182.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
77.83.95.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
77.83.184.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
77.83.193.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
78.17.19.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
78.17.22.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
78.142.216.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
78.142.238.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
80.68.145.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
80.68.158.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
80.91.209.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
80.91.210.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
81.29.148.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
81.29.159.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
82.117.242.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
84.21.191.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
85.90.208.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
87.121.163.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
88.216.43.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
89.34.106.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
89.37.192.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
89.40.36.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
89.40.215.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
89.47.36.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
89.125.99.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
89.125.100.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
89.125.193.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
89.187.73.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
89.187.77.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
89.249.202.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
91.124.49.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
91.147.121.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
91.207.116.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
91.226.247.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
91.235.158.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
91.238.101.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
91.240.33.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
91.242.234.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
91.242.238.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
91.243.189.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
92.42.1.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
92.63.224.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
92.119.128.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
92.119.130.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
93.115.107.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
93.157.105.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
93.177.104.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
93.177.107.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
94.143.226.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
94.158.191.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
95.81.92.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
95.81.117.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
103.101.86.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
103.104.141.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
109.72.118.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
109.196.104.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
109.196.106.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
109.196.108.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
109.196.111.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
128.0.41.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
130.193.79.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
130.255.169.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
130.255.172.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
130.255.175.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
138.249.0.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
138.249.14.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
146.19.137.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
146.19.148.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
146.19.150.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
146.19.152.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
146.19.187.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
146.19.190.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
146.247.105.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
146.247.110.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
146.247.124.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
148.222.185.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
148.222.186.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
149.33.0.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
149.33.8.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
149.33.12.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
149.33.14.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
149.33.19.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
149.33.20.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
149.33.24.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
149.33.35.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
149.33.36.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
149.33.39.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
149.33.40.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
159.148.253.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
163.5.183.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.0.116.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.0.119.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.0.124.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.0.127.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.0.208.0/21 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.0.219.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.0.220.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.5.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.7.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.21.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.25.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.33.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.56.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.58.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.63.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.75.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.77.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.79.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.80.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.84.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.92.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.95.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.105.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.106.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.108.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.110.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.216.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.233.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
166.1.234.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
170.168.4.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
170.168.24.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
170.168.32.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
170.168.41.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
170.168.43.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
170.168.48.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
170.168.112.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
170.168.117.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
170.168.118.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
176.56.38.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
176.97.79.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
176.98.40.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
176.100.44.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
176.101.57.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
176.101.58.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
176.101.61.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
176.101.62.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
178.208.184.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
185.93.104.0/22 #AS58061 SCALAXY-AS Scalaxy B.V., LV
185.106.95.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
185.109.21.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
185.109.48.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
185.110.62.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
185.115.32.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
185.115.35.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
185.121.227.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
185.122.206.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
185.155.101.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
185.176.93.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
185.192.20.0/23 #AS58061 SCALAXY-AS Scalaxy B.V., LV
185.192.23.0/24 #AS58061 SCALAXY-AS Scalaxy B.V., LV
